,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-01-31,26-001,TOR,NYI,W,1,0,1,3,0,1,0,0,0,0,0,0,1,100.0,25,16:30,1,0,0,
1,2018-02-01,26-002,TOR,NYR,W,1,0,1,2,0,1,0,0,1,0,0,0,1,100.0,28,18:13,1,0,0,
2,2018-11-01,26-275,TOR,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,12:53,1,0,0,
3,2018-12-23,26-327,TOR,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:25,3,0,0,
4,2019-02-28,27-029,TOR,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25,17:56,1,0,0,
5,2019-03-06,27-035,TOR,VAN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:39,0,0,0,
6,2019-03-15,27-044,TOR,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,10:59,0,0,0,
7,2019-03-16,27-045,TOR,OTT,L,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,19,14:40,0,0,0,
8,2019-03-19,27-048,TOR,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:34,0,0,0,
9,2019-03-20,27-049,TOR,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:43,1,0,0,
10,2019-03-23,27-052,TOR,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:01,0,0,0,
11,2019-03-25,27-054,TOR,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,12:28,2,0,0,
12,2019-04-06,27-066,TOR,MTL,L-SO,0,0,0,3,0,0,0,0,0,0,0,0,3,0.0,23,15:00,1,0,0,
13,2019-10-04,27-247,TOR,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:07,0,0,0,
14,2019-10-07,27-250,TOR,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,17,12:51,1,0,0,
15,2019-10-10,27-253,TOR,TBL,L,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,21,15:28,0,0,0,
16,2019-10-12,27-255,TOR,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:43,0,0,0,
17,2019-10-15,27-258,TOR,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,13:41,1,0,0,
18,2019-10-16,27-259,TOR,WSH,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,12:30,0,0,0,
19,2019-10-19,27-262,TOR,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,13:16,2,0,0,
20,2019-10-21,27-264,TOR,CBJ,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,14:19,2,0,0,
21,2019-10-22,27-265,TOR,BOS,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,23,14:08,2,0,0,
22,2019-10-25,27-268,TOR,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:33,2,0,0,
23,2019-10-26,27-269,TOR,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,15:33,2,0,0,
24,2019-10-29,27-272,TOR,WSH,L-OT,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,30,20:25,0,0,0,
25,2019-11-02,27-276,TOR,PHI,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,23,16:54,1,0,0,
26,2019-11-05,27-279,TOR,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,16:51,2,0,0,
27,2019-11-07,27-281,TOR,VEG,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,13:42,1,0,0,
28,2019-11-09,27-283,TOR,PHI,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,0,,24,13:01,0,0,0,
29,2019-11-10,27-284,TOR,CHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,22,14:33,0,0,0,
30,2019-11-13,27-287,TOR,NYI,L,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,22,15:58,2,0,0,
31,2019-11-15,27-289,TOR,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,15:49,3,0,0,
32,2019-11-16,27-290,TOR,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:35,1,0,0,
33,2019-11-19,27-293,TOR,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,17:26,2,0,0,
34,2019-11-21,27-295,TOR,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,28,17:58,2,0,0,
35,2019-11-23,27-297,TOR,COL,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,31,18:20,2,0,0,
36,2019-11-27,27-301,TOR,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:35,2,0,0,
37,2019-11-29,27-303,TOR,BUF,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,22,12:25,1,0,0,
