,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-10-03,19-362,CGY,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,15,10:19,0,0,0,
1,2018-10-06,20-000,CGY,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,13:06,0,0,0,
2,2018-10-09,20-003,CGY,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,17:46,0,0,0,
3,2018-10-11,20-005,CGY,STL,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,26,16:58,0,0,0,
4,2018-10-13,20-007,CGY,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,13:14,0,0,0,
5,2018-10-17,20-011,CGY,BOS,W,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,21,15:47,2,0,0,
6,2018-10-19,20-013,CGY,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:53,1,0,0,
7,2018-10-21,20-015,CGY,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,17:00,0,0,0,
8,2018-10-23,20-017,CGY,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:50,1,0,0,
9,2018-10-27,20-021,CGY,WSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:33,0,0,0,
10,2018-10-29,20-023,CGY,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:43,3,0,0,
11,2018-10-30,20-024,CGY,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,15:43,2,0,0,
12,2018-11-01,20-026,CGY,COL,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,14:06,2,0,0,
13,2018-11-03,20-028,CGY,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,13:46,0,0,0,
14,2018-11-07,20-032,CGY,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:58,1,0,0,
15,2018-11-10,20-035,CGY,LAK,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,15:24,2,0,0,
16,2018-11-11,20-036,CGY,SJS,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,24,14:44,1,0,0,
17,2018-11-15,20-040,CGY,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:27,1,0,0,
18,2018-11-17,20-042,CGY,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,13:22,1,0,0,
19,2018-11-19,20-044,CGY,VEG,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,23,19:42,1,0,0,
20,2018-11-21,20-046,CGY,WPG,W,0,0,0,1,4,0,0,0,0,0,0,0,1,0.0,21,13:51,0,0,0,
21,2018-11-23,20-048,CGY,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,17:47,1,0,0,
22,2019-04-01,20-177,CGY,LAK,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,23,21:58,1,0,0,
23,2019-04-03,20-179,CGY,ANA,L,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,21,17:39,1,0,0,
24,2021-01-14,22-100,CGY,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:37,1,0,0,
25,2021-01-16,22-102,CGY,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,17:21,0,0,0,
26,2021-01-18,22-104,CGY,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,16:06,0,0,0,
27,2021-01-24,22-110,CGY,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,17:22,0,0,0,
28,2021-01-26,22-112,CGY,TOR,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,21,15:40,0,0,0,
29,2021-01-28,22-114,CGY,MTL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,24,17:56,1,0,0,
30,2021-01-30,22-116,CGY,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:33,0,0,0,
31,2021-02-01,22-118,CGY,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,26,17:19,1,0,0,
32,2021-02-02,22-119,CGY,WPG,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,15:56,0,0,0,
33,2021-02-04,22-121,CGY,WPG,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,28,17:40,1,0,0,
34,2021-02-06,22-123,CGY,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,13:53,0,0,0,
35,2021-02-09,22-126,CGY,WPG,W,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,21,17:09,1,0,0,
36,2021-02-11,22-128,CGY,VAN,W,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,23,17:20,2,0,0,
37,2021-02-13,22-130,CGY,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,15:30,0,0,0,
38,2021-02-15,22-132,CGY,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,27,20:43,0,0,0,
39,2021-02-17,22-134,CGY,VAN,L,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,27,21:01,0,0,0,
40,2021-02-19,22-136,CGY,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,15:28,1,0,0,
41,2021-02-20,22-137,CGY,EDM,L,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,21,13:10,1,0,0,
42,2021-02-22,22-139,CGY,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,9:24,0,0,0,
43,2021-02-24,22-141,CGY,TOR,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,14:03,2,0,0,
