,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-02-01,21-003,VEG,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,16:37,0,0,0,
1,2023-01-02,21-338,VEG,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,16,15:30,3,0,0,
2,2023-01-05,21-341,VEG,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,17:37,0,0,0,
3,2023-01-07,21-343,VEG,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,17:28,4,0,0,
4,2023-01-12,21-348,VEG,FLA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,23,17:54,4,0,0,
5,2023-01-14,21-350,VEG,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,16:34,7,0,0,
6,2023-01-16,21-352,VEG,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,19:30,0,0,0,
7,2023-01-19,21-355,VEG,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:25,0,0,0,
8,2023-01-21,21-357,VEG,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,24,19:17,2,0,0,
9,2023-01-22,21-358,VEG,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,20:10,2,0,0,
10,2023-01-24,21-360,VEG,NJD,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,16:16,3,0,0,
11,2023-10-14,22-258,VEG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:37,4,0,0,
12,2023-10-17,22-261,VEG,DAL,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,22,19:31,1,0,0,
13,2023-10-21,22-265,VEG,CHI,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,23,15:54,4,0,0,
14,2023-10-24,22-268,VEG,PHI,W,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,26,17:34,1,0,0,
15,2023-10-27,22-271,VEG,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:16,2,0,0,
16,2023-10-30,22-274,VEG,MTL,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,14,11:31,0,0,0,
17,2023-11-05,22-280,VEG,ANA,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,23,17:07,1,0,0,
18,2023-11-27,22-302,VEG,CGY,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,19:18,2,0,0,
19,2023-11-28,22-303,VEG,EDM,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,22,17:19,1,0,0,
20,2023-11-30,22-305,VEG,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,17:20,2,0,0,
21,2023-12-02,22-307,VEG,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,17:00,3,0,0,
22,2023-12-04,22-309,VEG,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,17:15,1,0,0,
23,2023-12-06,22-311,VEG,STL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,18,12:51,1,0,0,
24,2023-12-09,22-314,VEG,DAL,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,21,16:57,3,0,0,
25,2023-12-10,22-315,VEG,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,18:50,2,0,0,
26,2024-01-11,22-347,VEG,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:00,3,0,0,
27,2024-01-13,22-349,VEG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,17:09,0,0,0,
28,2024-01-15,22-351,VEG,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,19,14:33,2,0,0,
29,2024-01-18,22-354,VEG,NYR,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,13:08,1,0,0,
30,2024-01-20,22-356,VEG,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,14:30,2,0,0,
31,2024-01-22,22-358,VEG,NJD,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,24,17:40,1,0,0,
32,2024-01-23,22-359,VEG,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:43,0,0,0,
33,2024-01-26,22-362,VEG,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,16:21,2,0,0,
34,2024-01-27,22-363,VEG,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:52,0,0,0,
35,2024-02-06,23-008,VEG,EDM,W,0,0,0,1,2,0,0,0,0,0,0,0,4,0.0,25,20:23,1,0,0,
36,2024-02-08,23-010,VEG,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,18:29,3,0,0,
