,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-01-11,22-278,VEG,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:06,2,1,0,100.0
1,2021-01-14,23-281,VEG,ANA,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,5,4:36,1,0,0,
2,2021-01-16,23-283,VEG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,2:40,2,0,0,
3,2021-01-18,23-285,VEG,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:38,5,1,7,12.5
4,2021-01-20,23-287,VEG,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,8:18,5,0,0,
5,2021-01-22,23-289,VEG,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,7,3:47,2,0,0,
6,2021-01-24,23-291,VEG,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:30,4,0,0,
7,2021-01-26,23-293,VEG,STL,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,0,,8,5:41,0,0,0,
8,2021-02-11,23-309,VEG,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:20,7,0,0,
9,2021-02-13,23-311,VEG,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,12,9:39,3,0,0,
10,2021-02-14,23-312,VEG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:53,4,0,0,
11,2021-02-16,23-314,VEG,COL,L,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,16,10:28,1,1,0,100.0
12,2021-02-20,23-318,VEG,COL,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,9:52,4,0,0,
13,2021-02-22,23-320,VEG,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:09,1,6,2,75.0
14,2021-02-27,23-325,VEG,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,12:40,0,3,4,42.9
15,2021-03-01,23-327,VEG,MIN,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,11:13,2,1,0,100.0
16,2021-03-03,23-329,VEG,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:13,3,0,0,
17,2021-03-05,23-331,VEG,SJS,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,15,9:40,2,6,3,66.7
18,2021-03-08,23-334,VEG,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,9:47,1,0,0,
19,2021-03-10,23-336,VEG,MIN,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,14,9:34,3,1,2,33.3
20,2021-03-12,23-338,VEG,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,7:51,0,1,0,100.0
21,2021-03-13,23-339,VEG,STL,W,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,12,7:19,0,1,1,50.0
22,2021-03-15,23-341,VEG,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:14,5,0,0,
23,2021-03-17,23-343,VEG,SJS,W,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,15,10:33,2,1,0,100.0
24,2021-03-21,23-347,VEG,LAK,L,0,1,1,1,5,0,0,0,0,1,0,0,1,0.0,13,9:02,2,2,3,40.0
25,2021-03-22,23-348,VEG,STL,W,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,17,11:00,3,0,0,
26,2021-03-25,23-351,VEG,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,11:42,2,0,4,0.0
27,2021-03-27,23-353,VEG,COL,W,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,11,5:47,0,1,0,100.0
28,2021-03-29,23-355,VEG,LAK,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,16,12:05,2,0,1,0.0
29,2021-03-31,23-357,VEG,LAK,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,13,8:24,4,0,2,0.0
30,2021-04-01,23-358,VEG,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,9,7:21,0,1,1,50.0
31,2021-04-03,23-360,VEG,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:22,2,0,1,0.0
32,2021-04-05,23-362,VEG,STL,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,17,13:47,2,0,0,
33,2021-04-07,23-364,VEG,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:32,4,1,0,100.0
34,2021-04-09,24-001,VEG,ARI,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,15,10:33,3,0,1,0.0
35,2021-04-11,24-003,VEG,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,6,4:46,1,0,0,
36,2021-04-28,24-020,VEG,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:31,1,2,9,18.2
37,2021-04-30,24-022,VEG,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,14:14,5,2,11,15.4
38,2021-05-01,24-023,VEG,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,9:35,4,6,1,85.7
39,2021-05-03,24-025,VEG,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,12:00,1,5,5,50.0
40,2021-05-05,24-027,VEG,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:42,2,3,1,75.0
41,2021-05-07,24-029,VEG,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,10:30,1,4,1,80.0
42,2021-05-08,24-030,VEG,STL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,11:36,6,8,5,61.5
43,2021-05-10,24-032,VEG,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:46,4,2,2,50.0
44,2021-05-12,24-034,VEG,SJS,W,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,20,15:12,1,3,6,33.3
45,2021-10-12,24-187,VEG,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:25,5,0,2,0.0
46,2021-10-14,24-189,VEG,LAK,L,0,1,1,0,5,0,0,0,0,1,0,0,0,,21,17:42,8,0,0,
47,2021-10-20,24-195,VEG,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,14:42,2,0,1,0.0
48,2021-10-22,24-197,VEG,EDM,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,14:44,5,4,2,66.7
49,2021-10-24,24-199,VEG,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,23,14:23,5,0,0,
50,2021-10-26,24-201,VEG,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,23,13:44,2,0,1,0.0
51,2021-10-27,24-202,VEG,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,16:26,1,0,0,
52,2021-10-29,24-204,VEG,ANA,W,0,0,0,0,5,0,0,0,0,0,0,0,3,0.0,23,15:36,4,1,0,100.0
53,2021-11-02,24-208,VEG,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:19,3,0,0,
