,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2008-03-18,19-337,NYI,TOR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,14:45,1,0,0,
1,2008-03-21,19-340,NYI,NJD,W,1,1,2,1,0,0,1,0,1,,,,1,100.0,17,15:35,0,0,0,
2,2008-03-23,19-342,NYI,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,16,19:45,0,0,0,
3,2008-03-24,19-343,NYI,PIT,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,16,13:50,1,0,0,
4,2008-03-27,19-346,NYI,PIT,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,18,15:41,0,0,0,
5,2008-03-29,19-348,NYI,PHI,L-SO,0,1,1,2,0,0,0,0,0,,,,3,0.0,19,17:40,0,0,0,
6,2008-04-01,19-351,NYI,NJD,L-OT,0,0,0,0,2,0,0,0,0,,,,1,0.0,21,16:47,1,0,0,
7,2008-04-03,19-353,NYI,NYR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,14:45,1,0,0,
8,2008-04-04,19-354,NYI,NYR,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,26,19:21,1,0,0,
9,2008-10-10,20-177,NYI,NJD,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,15,12:56,0,0,0,
10,2008-10-11,20-178,NYI,STL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,17,13:24,0,0,0,
11,2008-10-13,20-180,NYI,BUF,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,24,12:01,1,0,0,
12,2008-10-16,20-183,NYI,TBL,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,15,10:39,0,0,1,0.0
13,2008-10-18,20-185,NYI,FLA,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,18,13:44,2,0,0,
14,2008-10-23,20-190,NYI,DAL,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,16,11:32,0,0,0,
15,2008-10-25,20-192,NYI,CAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,12:39,2,0,0,
16,2008-10-27,20-194,NYI,NYR,L,1,0,1,1,0,1,0,0,0,,,,7,14.3,15,13:47,0,0,0,
17,2008-10-30,20-197,NYI,PHI,L-OT,0,0,0,-2,0,0,0,0,0,,,,1,0.0,20,14:55,2,0,0,
18,2008-11-01,20-199,NYI,MTL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,21,15:51,1,0,0,
19,2008-11-03,20-201,NYI,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,15:20,0,0,0,
20,2008-11-04,20-202,NYI,NYR,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,15:57,1,0,0,
21,2008-11-06,20-204,NYI,ATL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,12:45,0,0,0,
22,2008-11-08,20-206,NYI,PIT,L-SO,0,1,1,1,0,0,0,0,0,,,,0,,18,15:42,0,0,1,0.0
23,2008-11-11,20-209,NYI,PHI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,18:23,2,0,0,
24,2008-11-13,20-211,NYI,OTT,W,1,0,1,0,0,0,1,0,0,,,,3,33.3,13,11:26,0,0,0,
25,2008-11-15,20-213,NYI,OTT,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,14:15,1,0,0,
26,2008-11-17,20-215,NYI,VAN,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,15,12:17,0,0,0,
27,2008-12-19,20-247,NYI,MIN,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,22,18:01,0,0,0,
28,2008-12-20,20-248,NYI,NSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,18:29,0,0,0,
29,2008-12-23,20-251,NYI,ATL,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,21,16:59,3,0,0,
30,2008-12-26,20-254,NYI,TOR,W,1,1,2,2,0,1,0,0,0,,,,4,25.0,18,15:06,0,0,0,
31,2008-12-27,20-255,NYI,BUF,L-SO,0,1,1,0,0,0,0,0,0,,,,1,0.0,21,21:23,0,0,0,
32,2008-12-29,20-257,NYI,NYR,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,26,21:17,1,0,0,
33,2008-12-31,20-259,NYI,FLA,W,0,2,2,1,0,0,0,0,0,,,,3,0.0,25,22:50,0,0,0,
34,2009-01-02,20-261,NYI,PHX,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,21,19:53,1,0,0,
35,2009-01-03,20-262,NYI,SJS,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,22,18:34,0,0,0,
36,2009-01-05,20-264,NYI,EDM,L,1,0,1,1,0,1,0,0,0,,,,4,25.0,22,17:36,1,0,0,
37,2009-01-08,20-267,NYI,CGY,L,0,0,0,-1,4,0,0,0,0,,,,1,0.0,24,21:30,1,0,0,
38,2009-01-13,20-272,NYI,NYR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,19:05,1,0,0,
39,2009-01-15,20-274,NYI,BOS,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,18,19:55,4,0,0,
40,2009-01-17,20-276,NYI,NJD,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,21,16:49,2,0,0,
41,2009-01-19,20-278,NYI,WSH,L-OT,1,0,1,0,0,0,1,0,0,,,,4,25.0,22,21:55,1,0,0,
