,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2024-03-15,21-264,CHI,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:32,2,0,0,
1,2024-03-17,21-266,CHI,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:02,1,0,0,
2,2024-03-19,21-268,CHI,LAK,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,12:48,2,0,0,
3,2024-03-21,21-270,CHI,ANA,L,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,17,12:36,1,0,1,0.0
4,2024-03-23,21-272,CHI,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,14,9:03,1,0,0,
5,2024-03-26,21-275,CHI,CGY,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,17,12:50,1,0,0,
6,2024-03-28,21-277,CHI,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:24,0,0,1,0.0
7,2024-03-30,21-279,CHI,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,10:35,2,0,0,
8,2024-04-02,21-282,CHI,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:35,1,0,0,
9,2024-04-06,21-286,CHI,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,9:14,0,0,0,
10,2024-04-07,21-287,CHI,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,14,11:25,0,0,0,
11,2024-04-10,21-290,CHI,STL,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,16,11:59,0,0,0,
12,2024-04-12,21-292,CHI,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:24,0,0,1,0.0
13,2024-04-14,21-294,CHI,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:36,2,0,0,
14,2024-04-16,21-296,CHI,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,13:01,3,0,0,
15,2024-04-18,21-298,CHI,LAK,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,9:10,0,0,2,0.0
