,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-15,19-114,ARI,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,5:36,2,0,0,
1,2016-10-18,19-117,ARI,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:01,2,0,0,
2,2016-10-21,19-120,ARI,NYI,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,8,4:04,2,0,0,
3,2016-10-23,19-122,ARI,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,10:10,0,0,0,
4,2016-10-25,19-124,ARI,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:37,2,0,0,
5,2016-11-01,19-131,ARI,SJS,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,23,13:07,4,0,0,
6,2016-11-03,19-133,ARI,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,14:24,3,0,0,
7,2016-11-04,19-134,ARI,ANA,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,21,14:15,2,0,0,
8,2016-11-08,19-138,ARI,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:54,4,0,0,
9,2016-11-10,19-140,ARI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,9:02,0,0,0,
10,2016-11-12,19-142,ARI,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:49,0,0,0,
11,2016-11-16,19-146,ARI,CGY,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,10:01,1,0,0,
12,2016-11-17,19-147,ARI,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,12:04,1,0,0,
13,2016-11-23,19-153,ARI,VAN,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,16,10:14,2,0,0,
14,2016-11-25,19-155,ARI,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:37,2,0,0,
