,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-10-19,18-297,ANA,DAL,L,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,21,19:00,1,1,6,14.3
1,2023-10-21,18-299,ANA,ARI,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,20,21:33,2,0,2,0.0
2,2023-10-26,18-304,ANA,BOS,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,23,22:37,1,5,8,38.5
3,2023-10-28,18-306,ANA,PHI,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,19,17:09,0,2,11,15.4
4,2023-10-30,18-308,ANA,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,15:54,0,1,6,14.3
5,2023-11-01,18-310,ANA,ARI,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,22,16:17,1,1,13,7.1
6,2023-11-05,18-314,ANA,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:36,0,0,4,0.0
7,2023-11-07,18-316,ANA,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,18:40,1,3,10,23.1
8,2023-11-10,18-319,ANA,PHI,L,3,0,3,0,0,1,2,0,0,0,0,0,5,60.0,20,20:44,1,5,4,55.6
9,2023-11-12,18-321,ANA,SJS,W,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,20,18:04,0,3,4,42.9
10,2023-11-15,18-324,ANA,COL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,17:44,0,3,9,25.0
11,2023-11-19,18-328,ANA,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,17:12,1,2,5,28.6
12,2023-11-22,18-331,ANA,MTL,L,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,17,16:02,2,1,6,14.3
13,2023-11-24,18-333,ANA,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,16:05,2,5,6,45.5
14,2023-11-30,18-339,ANA,WSH,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,21:26,2,8,9,47.1
15,2023-12-02,18-341,ANA,COL,W,1,1,2,1,0,1,0,0,0,0,1,0,4,25.0,26,19:28,2,9,7,56.3
16,2023-12-05,18-344,ANA,COL,L,1,0,1,-2,0,0,1,0,0,0,0,0,5,20.0,21,18:46,1,5,6,45.5
17,2023-12-07,18-346,ANA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,19:39,0,2,12,14.3
18,2023-12-10,18-349,ANA,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,21,17:02,0,6,7,46.2
19,2023-12-13,18-352,ANA,NYI,L,0,1,1,-1,2,0,0,0,0,0,1,0,2,0.0,24,17:50,1,4,9,30.8
20,2023-12-15,18-354,ANA,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:32,0,5,11,31.3
21,2023-12-18,18-357,ANA,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,17:42,0,5,10,33.3
22,2023-12-21,18-360,ANA,CGY,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,14:04,0,6,4,60.0
23,2024-01-15,19-020,ANA,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,20:05,3,6,16,27.3
24,2024-01-16,19-021,ANA,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,20:31,0,6,7,46.2
25,2024-01-20,19-025,ANA,SJS,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21,19:06,0,4,3,57.1
26,2024-01-21,19-026,ANA,NYR,L,0,2,2,1,0,0,0,0,0,2,0,0,3,0.0,21,20:59,0,3,5,37.5
27,2024-01-23,19-028,ANA,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,19,19:12,0,0,3,0.0
28,2024-01-25,19-030,ANA,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,19:14,0,1,2,33.3
29,2024-01-27,19-032,ANA,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,18:23,0,3,5,37.5
30,2024-01-31,19-036,ANA,SJS,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,22,19:08,0,7,5,58.3
31,2024-02-09,19-045,ANA,EDM,L,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,18,16:53,1,0,4,0.0
32,2024-02-13,19-049,ANA,MTL,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,20,18:05,1,2,2,50.0
33,2024-02-15,19-051,ANA,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,15:36,2,3,1,75.0
34,2024-02-17,19-053,ANA,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,20:08,0,0,7,0.0
35,2024-02-19,19-055,ANA,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:52,0,1,2,33.3
36,2024-02-21,19-057,ANA,CBJ,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,21,18:01,0,2,5,28.6
37,2024-02-24,19-060,ANA,LAK,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,18:48,0,0,0,
38,2024-02-25,19-061,ANA,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,21,19:25,0,2,1,66.7
39,2024-02-29,19-065,ANA,SJS,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,21,14:13,0,3,7,30.0
40,2024-03-17,19-082,ANA,STL,L,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,22,19:05,0,4,9,30.8
41,2024-03-19,19-084,ANA,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,17:59,0,0,7,0.0
42,2024-03-21,19-086,ANA,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,11:38,0,7,5,58.3
43,2024-03-24,19-089,ANA,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,21,20:01,0,4,8,33.3
44,2024-03-26,19-091,ANA,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:05,0,4,9,30.8
45,2024-03-28,19-093,ANA,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,18:14,2,5,4,55.6
46,2024-03-30,19-095,ANA,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,20,17:39,1,3,11,21.4
47,2024-03-31,19-096,ANA,VAN,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,20:29,0,5,11,31.3
48,2024-04-02,19-098,ANA,CGY,W,0,1,1,1,0,0,0,0,0,0,1,0,0,,25,19:41,0,6,12,33.3
49,2024-04-05,19-101,ANA,SEA,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,20,18:21,0,8,8,50.0
50,2024-04-07,19-103,ANA,STL,L-SO,2,0,2,-1,0,1,1,0,0,0,0,0,5,40.0,24,18:55,0,6,10,37.5
51,2024-04-09,19-105,ANA,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:04,0,3,2,60.0
52,2024-04-12,19-108,ANA,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,17:10,0,6,8,42.9
53,2024-04-13,19-109,ANA,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,21:54,0,3,11,21.4
54,2024-04-18,19-114,ANA,VEG,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,17:00,0,6,7,46.2
