,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-02-10,20-006,CBJ,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,10:23,1,0,0,
1,2020-02-13,20-009,CBJ,BUF,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,18:03,2,0,0,
2,2021-01-14,20-345,CBJ,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:25,1,0,1,0.0
3,2021-01-16,20-347,CBJ,NSH,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,14:43,0,0,0,
4,2021-01-18,20-349,CBJ,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:40,0,0,0,
5,2021-01-19,20-350,CBJ,DET,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,12:54,0,1,0,100.0
6,2021-01-21,20-352,CBJ,TBL,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,22,17:24,1,0,1,0.0
7,2021-01-23,20-354,CBJ,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,19,14:54,1,1,0,100.0
8,2021-01-26,20-357,CBJ,FLA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,14:32,0,0,1,0.0
9,2021-01-28,20-359,CBJ,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,19,16:22,0,0,0,
10,2021-01-29,20-360,CBJ,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,13:33,0,0,1,0.0
11,2021-01-31,20-362,CBJ,CHI,L,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,16,12:41,1,0,0,
12,2021-02-02,20-364,CBJ,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,13:33,0,0,0,
13,2021-02-07,21-003,CBJ,CAR,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,16,12:35,2,0,0,
14,2021-03-30,21-054,CBJ,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,9:18,2,0,0,
15,2021-04-01,21-056,CBJ,TBL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,7:32,0,0,0,
16,2021-04-03,21-058,CBJ,FLA,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,15:11,0,0,4,0.0
17,2021-04-04,21-059,CBJ,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,11:05,1,0,0,
18,2021-04-06,21-061,CBJ,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,11,6:49,1,0,0,
19,2021-04-08,21-063,CBJ,TBL,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,9:09,0,0,0,
20,2021-04-27,21-082,CBJ,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:25,0,0,0,
21,2021-05-01,21-086,CBJ,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,15:08,0,0,0,
22,2021-05-03,21-088,CBJ,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:17,1,0,0,
23,2021-05-05,21-090,CBJ,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,11:10,0,0,0,
24,2021-05-07,21-092,CBJ,DET,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,16,14:17,2,0,0,
25,2021-05-08,21-093,CBJ,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,16,14:37,0,0,0,
26,2022-01-15,21-345,CBJ,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:51,1,0,0,
27,2022-10-23,22-261,CBJ,NYR,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,19,13:23,0,0,1,0.0
28,2022-10-28,22-266,CBJ,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:51,0,0,0,
29,2022-10-30,22-268,CBJ,NJD,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,19,11:23,0,0,0,
30,2022-11-04,22-273,CBJ,COL,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,12,8:23,0,0,1,0.0
31,2022-11-05,22-274,CBJ,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:46,1,0,0,
32,2022-11-10,22-279,CBJ,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:12,0,0,0,
33,2022-11-12,22-281,CBJ,NYI,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,17,12:41,0,0,0,
34,2022-11-15,22-284,CBJ,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:38,2,0,0,
35,2022-11-17,22-286,CBJ,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:17,0,0,0,
36,2022-11-19,22-288,CBJ,DET,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,15,12:03,1,0,1,0.0
37,2022-11-23,22-292,CBJ,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:40,2,0,0,
38,2022-11-28,22-297,CBJ,VEG,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:42,2,0,0,
39,2022-12-02,22-301,CBJ,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,10:53,3,0,0,
40,2022-12-04,22-303,CBJ,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,6:35,1,0,0,
41,2022-12-15,22-314,CBJ,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:37,4,0,0,
42,2022-12-20,22-319,CBJ,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,9:06,3,0,0,
43,2022-12-23,22-322,CBJ,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,6:51,1,0,2,0.0
