,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2014-10-09,20-072,WSH,MTL,L-SO,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,6,2:40,3,0,0,
1,2014-10-11,20-074,WSH,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,6:59,1,1,0,100.0
2,2014-10-14,20-077,WSH,SJS,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,9,6:12,0,0,0,
3,2014-10-16,20-079,WSH,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:16,5,0,1,0.0
4,2014-10-18,20-081,WSH,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:41,2,0,0,
5,2014-10-22,20-085,WSH,EDM,L,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,11,7:16,6,0,0,
6,2014-10-25,20-088,WSH,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,9:45,1,0,0,
7,2014-10-26,20-089,WSH,VAN,L,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,15,8:04,1,0,0,
8,2014-10-29,20-092,WSH,DET,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,7:50,2,0,0,
9,2014-11-04,20-098,WSH,CGY,L-OT,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,17,12:51,4,0,0,
10,2014-11-07,20-101,WSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,6:13,4,0,0,
11,2014-11-11,20-105,WSH,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:35,3,0,0,
12,2014-11-26,20-120,WSH,NYI,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,10,6:42,3,0,0,
13,2017-01-09,22-164,WSH,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:08,1,0,0,
