,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-18,22-237,WPG,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:19,1,0,0,
1,2021-01-19,22-238,WPG,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,6:46,0,0,0,
2,2021-01-21,22-240,WPG,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,13:49,0,0,0,
3,2021-01-23,22-242,WPG,OTT,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,18,14:09,1,0,0,
4,2021-01-24,22-243,WPG,EDM,L,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,16,14:22,2,0,0,
5,2021-01-26,22-245,WPG,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:30,0,0,0,
6,2021-01-30,22-249,WPG,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,12:35,0,0,0,
7,2021-02-01,22-251,WPG,CGY,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,14:25,2,0,0,
8,2021-02-02,22-252,WPG,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,11:17,0,0,0,
9,2021-02-04,22-254,WPG,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,16,14:18,2,0,0,
10,2021-02-09,22-259,WPG,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:59,1,0,0,
11,2021-02-11,22-261,WPG,OTT,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,16,9:35,1,0,0,
12,2021-02-13,22-263,WPG,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,12,9:56,0,0,0,
13,2021-03-11,22-289,WPG,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,11:01,0,0,0,
