,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-01-13,19-241,CHI,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,15:55,0,0,3,0.0
1,2022-01-15,19-243,CHI,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,14:51,0,5,6,45.5
2,2022-02-18,19-277,CHI,DAL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,17:41,0,4,3,57.1
3,2022-02-20,19-279,CHI,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,13:52,0,2,9,18.2
4,2022-02-25,19-284,CHI,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:34,0,3,6,33.3
5,2022-04-07,19-325,CHI,SEA,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,15:04,0,0,0,
6,2022-04-10,19-328,CHI,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:12,0,0,1,0.0
7,2022-04-12,19-330,CHI,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,15:17,0,0,0,
8,2022-04-14,19-332,CHI,SJS,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,10:19,0,1,0,100.0
9,2022-04-16,19-334,CHI,NSH,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,12:05,0,1,1,50.0
10,2022-04-18,19-336,CHI,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,12,9:19,0,0,1,0.0
11,2022-12-06,20-203,CHI,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,13:58,0,3,1,75.0
12,2023-01-06,20-234,CHI,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,15:05,0,0,0,
13,2023-01-08,20-236,CHI,CGY,W,1,2,3,3,0,1,0,0,0,2,0,0,5,20.0,22,16:16,0,0,0,
14,2023-01-12,20-240,CHI,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:32,2,0,0,
15,2023-03-02,20-289,CHI,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,16:57,1,0,1,0.0
16,2023-03-04,20-291,CHI,NSH,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,17,14:43,0,0,0,
17,2023-03-06,20-293,CHI,OTT,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,15,14:58,0,0,0,
18,2023-03-08,20-295,CHI,DET,L,0,1,1,0,2,0,0,0,0,0,1,0,0,,19,18:51,1,0,0,
19,2023-03-10,20-297,CHI,FLA,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,16:23,0,0,0,
20,2023-03-11,20-298,CHI,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,17:57,0,0,0,
21,2023-03-14,20-301,CHI,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:21,0,0,0,
22,2023-03-16,20-303,CHI,NSH,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,16,15:11,1,0,0,
23,2023-03-18,20-305,CHI,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,16:40,0,0,0,
24,2023-03-20,20-307,CHI,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,17:45,0,0,0,
25,2023-03-23,20-310,CHI,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,16:35,1,0,1,0.0
26,2023-03-25,20-312,CHI,MIN,L,1,0,1,0,2,1,0,0,0,0,0,0,2,50.0,20,17:58,0,0,0,
