,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-02-28,21-007,NSH,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,14:28,1,0,0,
1,2023-03-02,21-009,NSH,FLA,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,16,12:53,0,0,0,
2,2023-03-04,21-011,NSH,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,16:25,0,0,0,
3,2023-03-06,21-013,NSH,VAN,L-SO,2,0,2,2,0,2,0,0,0,0,0,0,6,33.3,21,16:27,1,0,0,
4,2023-03-09,21-016,NSH,ARI,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,20,20:27,2,0,0,
5,2023-03-11,21-018,NSH,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:00,0,0,0,
6,2023-03-14,21-021,NSH,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,13:47,0,0,0,
7,2023-03-16,21-023,NSH,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,17:11,0,0,0,
8,2023-03-18,21-025,NSH,WPG,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,17,12:42,0,0,0,
9,2023-03-19,21-026,NSH,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,16:54,0,0,0,
10,2023-03-21,21-028,NSH,BUF,W,2,2,4,4,0,2,0,0,1,2,0,0,7,28.6,15,15:49,0,0,0,
11,2023-03-23,21-030,NSH,SEA,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,23,20:28,1,0,0,
12,2023-03-25,21-032,NSH,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,16:08,0,0,0,
13,2023-03-26,21-033,NSH,TOR,L,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,17,19:11,1,0,0,
