,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-04-11,19-214,NJD,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,11:15,1,0,0,
1,2023-04-13,19-216,NJD,WSH,W,1,1,2,1,0,1,0,0,1,1,0,0,2,50.0,27,21:13,0,0,0,
2,2023-10-12,20-033,NJD,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:35,0,0,0,
3,2023-10-13,20-034,NJD,ARI,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,25,20:10,0,0,0,
4,2023-10-16,20-037,NJD,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,20:49,0,0,0,
5,2023-10-20,20-041,NJD,NYI,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,26,17:41,0,0,0,
6,2023-10-24,20-045,NJD,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,18:59,1,0,0,
7,2023-10-25,20-046,NJD,WSH,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,22,23:56,1,0,0,
8,2023-10-27,20-048,NJD,BUF,W,0,2,2,0,0,0,0,0,0,1,1,0,4,0.0,27,22:33,0,0,0,
9,2023-10-29,20-050,NJD,MIN,W,0,2,2,-1,0,0,0,0,0,0,2,0,1,0.0,18,15:29,0,0,0,
10,2023-11-02,20-054,NJD,MIN,W,0,1,1,1,0,0,0,0,0,0,1,0,5,0.0,23,22:01,0,0,0,
11,2023-11-03,20-055,NJD,STL,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,28,22:53,0,0,0,
12,2023-11-05,20-057,NJD,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,16:19,0,0,0,
13,2023-11-07,20-059,NJD,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,24,18:34,0,0,0,
14,2023-11-10,20-062,NJD,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,18:09,1,0,0,
15,2023-11-14,20-066,NJD,WPG,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,26,20:24,1,0,0,
16,2023-11-16,20-068,NJD,PIT,W,0,2,2,3,0,0,0,0,0,2,0,0,0,,20,16:12,0,0,0,
17,2023-11-18,20-070,NJD,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,20,17:17,0,0,0,
18,2023-11-22,20-074,NJD,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,18:49,2,0,0,
19,2023-11-24,20-076,NJD,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,22:24,0,0,0,
20,2023-11-25,20-077,NJD,BUF,W,1,1,2,1,0,0,1,0,0,1,0,0,3,33.3,23,20:27,2,0,0,
21,2023-11-28,20-080,NJD,NYI,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,28,22:53,1,0,0,
22,2023-11-30,20-082,NJD,PHI,W,1,0,1,1,2,1,0,0,1,0,0,0,3,33.3,25,21:45,0,0,0,
23,2023-12-01,20-083,NJD,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,26,22:32,0,0,0,
24,2023-12-05,20-087,NJD,VAN,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,20,16:11,0,0,0,
25,2023-12-07,20-089,NJD,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,20:16,0,0,0,
26,2023-12-09,20-091,NJD,CGY,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,27,23:17,0,0,0,
27,2023-12-10,20-092,NJD,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,23:29,0,0,0,
28,2023-12-13,20-095,NJD,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,20:06,1,0,0,
29,2023-12-16,20-098,NJD,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,20:13,0,0,0,
30,2023-12-17,20-099,NJD,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,24,23:54,0,0,0,
31,2023-12-19,20-101,NJD,PHI,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,23,17:39,1,0,0,
32,2023-12-21,20-103,NJD,EDM,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,23,18:29,1,0,0,
33,2023-12-23,20-105,NJD,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,18:43,0,0,0,
34,2023-12-27,20-109,NJD,CBJ,W,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,28,20:41,0,0,0,
35,2023-12-29,20-111,NJD,OTT,W,1,2,3,2,0,1,0,0,0,0,2,0,2,50.0,24,18:21,1,0,0,
36,2023-12-30,20-112,NJD,BOS,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,25,20:26,1,0,0,
37,2024-01-03,20-116,NJD,WSH,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,26,20:12,0,0,0,
38,2024-01-05,20-118,NJD,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,20:52,0,0,0,
39,2024-01-06,20-119,NJD,VAN,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,31,22:54,0,0,0,
40,2024-01-11,20-124,NJD,TBL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,27,20:38,1,0,0,
41,2024-01-13,20-126,NJD,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,21:53,0,0,0,
42,2024-01-15,20-128,NJD,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,34,28:10,0,0,0,
43,2024-01-17,20-130,NJD,MTL,L,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,28,23:40,0,0,0,
44,2024-01-19,20-132,NJD,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,22:03,0,0,0,
45,2024-01-20,20-133,NJD,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,26,20:29,1,0,0,
46,2024-01-22,20-135,NJD,VEG,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,32,26:16,0,0,0,
47,2024-01-25,20-138,NJD,CAR,L,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,29,22:05,2,0,0,
48,2024-01-27,20-140,NJD,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,26,22:32,0,0,0,
49,2024-02-06,20-150,NJD,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,28,24:32,0,0,0,
50,2024-02-08,20-152,NJD,CGY,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,27,25:03,0,0,0,
51,2024-02-10,20-154,NJD,CAR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,30,25:19,0,0,0,
52,2024-02-12,20-156,NJD,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,22:28,1,0,0,
53,2024-02-13,20-157,NJD,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,26,23:38,0,0,0,
54,2024-02-15,20-159,NJD,LAK,L,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,28,24:27,0,0,0,
55,2024-02-17,20-161,NJD,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,28,25:19,0,0,0,
56,2024-02-20,20-164,NJD,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,24,24:59,0,0,0,
57,2024-02-22,20-166,NJD,NYR,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,24,21:02,0,0,0,
58,2024-02-24,20-168,NJD,MTL,W,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,26,20:51,0,0,0,
59,2024-02-25,20-169,NJD,TBL,L,0,1,1,-3,2,0,0,0,0,0,1,0,0,,24,22:48,0,0,0,
60,2024-02-27,20-171,NJD,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,20:17,0,0,0,
61,2024-03-01,20-174,NJD,ANA,L,0,2,2,-1,0,0,0,0,0,0,2,0,3,0.0,25,23:22,0,0,0,
62,2024-03-03,20-176,NJD,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,26,23:07,0,0,0,
63,2024-03-05,20-178,NJD,FLA,L,0,1,1,0,2,0,0,0,0,0,1,0,0,,27,23:38,0,0,0,
64,2024-03-07,20-180,NJD,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,15:27,0,0,0,
65,2024-03-09,20-182,NJD,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,22,22:19,1,0,0,
66,2024-03-11,20-184,NJD,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,24:19,0,0,0,
67,2024-03-14,20-187,NJD,DAL,W,0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,26,20:40,0,0,0,
68,2024-03-16,20-189,NJD,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,26:22,0,0,0,
69,2024-03-17,20-190,NJD,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,20:11,0,0,0,
70,2024-03-19,20-192,NJD,PIT,W,0,2,2,3,2,0,0,0,0,1,1,0,2,0.0,21,18:12,0,0,0,
71,2024-03-21,20-194,NJD,WPG,W,0,3,3,0,0,0,0,0,0,0,3,0,6,0.0,22,20:30,0,0,0,
72,2024-03-23,20-196,NJD,OTT,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,21,19:20,0,0,0,
73,2024-03-24,20-197,NJD,NYI,W,0,1,1,0,0,0,0,0,0,0,1,0,6,0.0,18,20:45,0,0,0,
74,2024-03-26,20-199,NJD,TOR,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,26,20:51,1,0,0,
75,2024-03-29,20-202,NJD,BUF,L,0,1,1,-2,0,0,0,0,0,1,0,0,4,0.0,22,21:33,1,0,0,
76,2024-04-02,20-206,NJD,PIT,L,0,1,1,-3,0,0,0,0,0,0,1,0,1,0.0,21,20:38,0,0,0,
77,2024-04-03,20-207,NJD,NYR,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,30,32:49,0,0,0,
78,2024-04-06,20-210,NJD,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,19:20,0,0,0,
79,2024-04-07,20-211,NJD,NSH,L-SO,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,29,24:43,0,0,0,
80,2024-04-09,20-213,NJD,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,23:22,0,0,0,
81,2024-04-11,20-215,NJD,TOR,W,0,2,2,-2,0,0,0,0,0,0,2,0,1,0.0,24,19:04,0,0,0,
82,2024-04-13,20-217,NJD,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,23:40,1,0,0,
83,2024-04-15,20-219,NJD,NYI,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,27,24:35,1,0,0,
