,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2024-03-14,21-241,MIN,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:54,2,6,3,66.7
1,2024-03-16,21-243,MIN,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:19,0,2,4,33.3
2,2024-03-19,21-246,MIN,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,13:48,2,6,3,66.7
3,2024-03-20,21-247,MIN,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:32,2,2,4,33.3
4,2024-03-23,21-250,MIN,STL,L-OT,0,0,0,-3,0,0,0,0,0,0,0,0,0,,11,7:35,1,3,2,60.0
5,2024-03-28,21-255,MIN,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,14:08,2,0,2,0.0
6,2024-03-30,21-257,MIN,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:45,0,3,3,50.0
7,2024-04-02,21-260,MIN,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,13:47,1,1,3,25.0
8,2024-04-04,21-262,MIN,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,11:33,3,2,4,33.3
9,2024-04-06,21-264,MIN,WPG,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,12,11:12,1,1,3,25.0
10,2024-04-07,21-265,MIN,CHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,14:58,2,2,3,40.0
11,2024-04-09,21-267,MIN,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,9:44,0,0,1,0.0
12,2024-04-12,21-270,MIN,VEG,L,1,0,1,-1,0,0,1,0,0,0,0,0,1,100.0,20,16:47,0,2,6,25.0
13,2024-04-13,21-271,MIN,SJS,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,17,15:36,0,9,6,60.0
14,2024-04-15,21-273,MIN,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,15:41,0,7,4,63.6
15,2024-04-18,21-276,MIN,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,15:27,0,3,3,50.0
