,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2007-10-04,20-264,NYR,FLA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,16:04,0,0,0,
1,2007-10-06,20-266,NYR,OTT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,14:01,0,0,0,
2,2007-10-10,20-270,NYR,NYI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,11:26,1,0,0,
3,2007-10-12,20-272,NYR,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,21,13:01,1,0,0,
4,2007-10-13,20-273,NYR,OTT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:12,3,0,0,
5,2007-10-18,20-278,NYR,ATL,L,0,0,0,0,0,0,0,0,0,,,,0,,18,14:03,1,0,0,
6,2007-10-20,20-280,NYR,BOS,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,17,14:50,1,0,0,
7,2007-10-23,20-283,NYR,PIT,L,0,0,0,0,0,0,0,0,0,,,,0,,15,12:59,1,0,0,
8,2007-10-25,20-285,NYR,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,15,13:46,1,0,0,
9,2007-10-27,20-287,NYR,TOR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,13:06,2,0,0,
10,2007-10-29,20-289,NYR,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,11:55,4,0,0,
11,2007-11-01,20-292,NYR,WSH,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,22,16:31,1,0,0,
12,2007-11-03,20-294,NYR,NJD,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,22:31,3,0,0,
13,2007-11-05,20-296,NYR,PHI,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,21:19,3,0,0,
14,2007-11-06,20-297,NYR,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,18:11,2,0,0,
15,2007-11-08,20-299,NYR,PIT,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,26,20:10,1,0,0,
16,2007-11-10,20-301,NYR,TOR,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,26,22:12,1,0,0,
17,2007-11-14,20-305,NYR,NJD,W,1,0,1,1,4,1,0,0,0,,,,2,50.0,24,17:23,2,0,0,
18,2007-11-15,20-306,NYR,PHI,W,0,0,0,1,2,0,0,0,0,,,,2,0.0,30,23:28,2,0,0,
19,2007-11-17,20-308,NYR,PIT,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,23,19:40,2,0,0,
20,2007-11-19,20-310,NYR,NYI,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,20,20:42,2,0,0,
21,2007-11-21,20-312,NYR,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,28,24:07,2,0,0,
22,2007-11-23,20-314,NYR,FLA,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,28,19:10,0,0,0,
23,2007-11-25,20-316,NYR,DAL,L,0,0,0,1,0,0,0,0,0,,,,0,,28,22:21,0,0,0,
24,2007-11-29,20-320,NYR,NYI,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,26,19:19,0,0,0,
25,2007-12-01,20-322,NYR,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,23,15:57,0,0,0,
26,2007-12-03,20-324,NYR,CAR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,18:18,2,0,0,
27,2007-12-06,20-327,NYR,TOR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,16:27,3,0,0,
28,2007-12-07,20-328,NYR,ATL,L,0,1,1,-1,0,0,0,0,0,,,,3,0.0,26,22:24,0,0,0,
29,2007-12-09,20-330,NYR,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,20:19,2,0,0,
30,2007-12-12,20-333,NYR,WSH,L-OT,0,0,0,1,0,0,0,0,0,,,,1,0.0,27,20:40,0,0,0,
31,2007-12-16,20-337,NYR,PHX,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,16:14,1,0,0,
32,2007-12-18,20-339,NYR,PIT,W,0,1,1,2,0,0,0,0,0,,,,0,,28,16:32,1,0,0,
33,2007-12-20,20-341,NYR,MIN,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,30,22:37,0,0,0,
34,2007-12-21,20-342,NYR,COL,L-OT,1,0,1,1,2,1,0,0,0,,,,3,33.3,32,21:09,4,0,0,
35,2007-12-23,20-344,NYR,OTT,L,0,0,0,-2,0,0,0,0,0,,,,0,,26,18:40,1,0,0,
36,2007-12-26,20-347,NYR,CAR,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,24,17:50,1,0,0,
