,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-01-06,20-105,MIN,BOS,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,21,16:19,1,3,6,33.3
1,2022-01-08,20-107,MIN,WSH,W,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,22,14:51,0,4,9,30.8
2,2022-10-13,21-020,MIN,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:24,0,3,3,50.0
3,2022-10-15,21-022,MIN,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,7,4:33,0,2,0,100.0
4,2022-10-20,21-027,MIN,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:00,0,2,1,66.7
5,2022-10-22,21-029,MIN,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:18,0,4,2,66.7
6,2022-10-25,21-032,MIN,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:06,0,6,7,46.2
7,2022-10-27,21-034,MIN,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:57,0,6,5,54.5
8,2022-10-29,21-036,MIN,DET,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,13:15,1,6,5,54.5
9,2022-10-30,21-037,MIN,CHI,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17,13:27,0,5,9,35.7
10,2022-11-01,21-039,MIN,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,13:48,1,2,5,28.6
11,2022-11-03,21-041,MIN,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,16:39,0,5,6,45.5
12,2022-11-08,21-046,MIN,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:05,0,2,4,33.3
13,2022-11-09,21-047,MIN,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:02,0,2,5,28.6
14,2022-11-11,21-049,MIN,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,13:25,0,3,3,50.0
15,2022-11-13,21-051,MIN,SJS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:59,0,5,4,55.6
16,2022-11-15,21-053,MIN,NSH,L,0,0,0,-1,4,0,0,0,0,0,0,0,0,,16,13:13,2,2,7,22.2
17,2022-11-17,21-055,MIN,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:51,0,1,1,50.0
18,2023-04-10,21-199,MIN,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,12:47,1,4,4,50.0
19,2023-04-11,21-200,MIN,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,8:37,0,5,2,71.4
20,2023-04-13,21-202,MIN,NSH,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,17:31,1,4,4,50.0
21,2023-10-12,22-019,MIN,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,13:03,0,4,6,40.0
22,2023-10-14,22-021,MIN,TOR,L,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,16,11:49,1,5,6,45.5
23,2023-10-17,22-024,MIN,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:56,1,2,5,28.6
24,2023-10-19,22-026,MIN,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,15:35,0,6,1,85.7
25,2023-10-21,22-028,MIN,CBJ,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,15:17,0,3,5,37.5
26,2023-10-24,22-031,MIN,EDM,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,16,13:03,0,2,5,28.6
27,2023-10-26,22-033,MIN,PHI,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,15:27,0,1,1,50.0
28,2023-10-27,22-034,MIN,WSH,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,20,18:46,0,4,4,50.0
29,2023-10-29,22-036,MIN,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,16:39,0,5,5,50.0
30,2023-11-02,22-040,MIN,NJD,L,1,1,2,2,2,1,0,0,0,1,0,0,4,25.0,21,20:04,0,7,10,41.2
31,2023-11-04,22-042,MIN,NYR,W,1,0,1,-1,0,1,0,0,0,0,0,0,4,25.0,19,22:44,0,2,7,22.2
32,2023-11-07,22-045,MIN,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,16:45,0,1,2,33.3
33,2023-11-09,22-047,MIN,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,15:53,0,3,4,42.9
34,2023-11-10,22-048,MIN,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,15:02,1,3,1,75.0
35,2023-11-12,22-050,MIN,DAL,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,18,14:33,0,3,6,33.3
36,2023-11-18,22-056,MIN,OTT,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,23,18:13,0,2,9,18.2
37,2023-11-19,22-057,MIN,TOR,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,18:13,0,4,8,33.3
38,2023-11-24,22-062,MIN,COL,L,0,1,1,0,2,0,0,0,0,1,0,0,0,,20,16:13,0,5,2,71.4
39,2023-11-26,22-064,MIN,DET,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,16:58,0,5,4,55.6
40,2023-11-28,22-066,MIN,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,15:32,0,5,10,33.3
41,2023-11-30,22-068,MIN,NSH,W,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,19,16:45,0,3,8,27.3
42,2023-12-03,22-071,MIN,CHI,W,2,0,2,2,0,1,1,0,1,0,0,0,4,50.0,18,15:10,0,4,6,40.0
43,2023-12-05,22-073,MIN,CGY,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,20,17:45,0,5,8,38.5
44,2023-12-07,22-075,MIN,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:44,0,8,9,47.1
45,2023-12-08,22-076,MIN,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,14:04,0,3,2,60.0
46,2023-12-10,22-078,MIN,SEA,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,16,12:59,0,2,3,40.0
