,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-02-15,21-283,ANA,CHI,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,18,13:28,0,0,0,
1,2018-02-17,21-285,ANA,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,11:46,1,0,0,
2,2018-02-19,21-287,ANA,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:53,0,0,0,
3,2018-02-21,21-289,ANA,DAL,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,17,12:47,2,0,0,
4,2018-02-24,21-292,ANA,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,15:02,1,0,0,
5,2018-02-25,21-293,ANA,EDM,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,12:16,1,0,0,
6,2018-03-02,21-298,ANA,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,10:06,0,0,0,
7,2018-03-04,21-300,ANA,CHI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,14:47,1,0,0,
8,2018-03-06,21-302,ANA,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:16,0,0,0,
9,2018-03-09,21-305,ANA,DAL,L,0,0,0,1,2,0,0,0,0,0,0,0,0,,15,12:08,0,0,0,
10,2018-03-14,21-310,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,13:55,1,0,0,
11,2018-03-16,21-312,ANA,DET,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,17,12:53,0,0,0,
12,2018-03-18,21-314,ANA,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,15:18,2,0,0,
13,2018-03-21,21-317,ANA,CGY,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,22,16:40,2,0,0,
14,2018-03-23,21-319,ANA,WPG,L-OT,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,21,18:06,1,0,0,
15,2018-03-25,21-321,ANA,EDM,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,13:18,2,0,0,
16,2018-03-27,21-323,ANA,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,13:12,0,0,0,
17,2018-03-30,21-326,ANA,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:57,1,0,0,
18,2018-04-01,21-328,ANA,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,11:20,0,0,0,
19,2018-04-04,21-331,ANA,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,16:08,1,0,0,
20,2018-04-06,21-333,ANA,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:29,0,0,0,
21,2018-04-07,21-334,ANA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,15:38,2,0,0,
22,2018-10-03,22-148,ANA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:13,0,0,0,
23,2018-10-06,22-151,ANA,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:06,1,0,0,
24,2018-10-08,22-153,ANA,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:23,0,0,0,
25,2018-10-10,22-155,ANA,ARI,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,12:01,2,0,0,
26,2018-10-13,22-158,ANA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,11:27,0,0,0,
27,2018-10-14,22-159,ANA,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,10:55,0,0,0,
28,2018-10-17,22-162,ANA,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,13:59,0,0,0,
29,2018-10-20,22-165,ANA,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:43,1,0,0,
30,2018-10-21,22-166,ANA,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:45,1,0,0,
31,2018-10-23,22-168,ANA,CHI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,10:41,2,0,0,
32,2018-10-25,22-170,ANA,DAL,L,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,25,15:13,0,0,0,
33,2018-10-30,22-175,ANA,PHI,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,11:56,0,0,0,
34,2018-11-01,22-177,ANA,NYR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:21,0,0,0,
35,2018-11-04,22-180,ANA,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,12:25,0,0,0,
36,2018-11-06,22-182,ANA,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,15:39,0,0,0,
37,2018-11-07,22-183,ANA,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,10:35,1,0,0,
38,2018-11-12,22-188,ANA,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:34,0,0,0,
39,2018-11-14,22-190,ANA,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,14:53,0,0,0,
40,2018-11-16,22-192,ANA,TOR,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,14:45,1,0,0,
41,2018-11-18,22-194,ANA,COL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:34,0,0,0,
42,2018-11-21,22-197,ANA,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,13:14,3,0,0,
43,2018-11-23,22-199,ANA,EDM,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,22,16:59,1,0,0,
44,2018-11-25,22-201,ANA,NSH,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,31,20:14,0,0,0,
45,2018-11-27,22-203,ANA,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,27,18:36,1,0,0,
46,2018-11-28,22-204,ANA,FLA,W,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,29,21:49,2,0,0,
47,2018-11-30,22-206,ANA,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,31,18:22,0,0,0,
48,2018-12-02,22-208,ANA,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,14:10,0,0,0,
49,2018-12-04,22-210,PIT,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,13:54,0,0,0,
50,2018-12-06,22-212,PIT,NYI,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,20,16:11,3,0,0,
51,2018-12-08,22-214,PIT,OTT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:27,0,0,0,
52,2018-12-10,22-216,PIT,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,15:55,1,0,0,
53,2018-12-12,22-218,PIT,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,16:35,2,0,0,
54,2018-12-14,22-220,PIT,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,16:22,2,0,0,
55,2018-12-15,22-221,PIT,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:18,5,0,0,
56,2018-12-17,22-223,PIT,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,26,18:07,0,0,0,
57,2018-12-19,22-225,PIT,WSH,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,25,16:54,0,0,0,
58,2018-12-20,22-226,PIT,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:13,2,0,0,
59,2018-12-22,22-228,PIT,CAR,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,21,14:35,1,0,0,
60,2018-12-27,22-233,PIT,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,16:55,3,0,0,
61,2018-12-29,22-235,PIT,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,26,18:13,0,0,0,
62,2018-12-31,22-237,PIT,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:32,1,0,0,
63,2019-01-02,22-239,PIT,NYR,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,21,17:25,2,0,0,
64,2019-01-04,22-241,PIT,WPG,W,0,1,1,2,0,0,0,0,0,0,1,0,0,,24,18:02,1,0,0,
65,2019-01-06,22-243,PIT,CHI,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,15:24,0,0,0,
66,2019-01-08,22-245,PIT,FLA,W,0,2,2,3,5,0,0,0,0,2,0,0,0,,23,14:49,0,0,0,
67,2019-01-11,22-248,PIT,ANA,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,23,18:05,1,0,0,
68,2019-01-12,22-249,PIT,LAK,L,0,0,0,-2,5,0,0,0,0,0,0,0,3,0.0,22,16:26,1,0,0,
69,2019-01-15,22-252,PIT,SJS,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,27,18:29,4,0,0,
70,2019-01-18,22-255,PIT,ARI,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,22,17:47,1,0,0,
71,2019-01-19,22-256,PIT,VEG,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,25,18:12,1,0,0,
72,2019-01-28,22-265,PIT,NJD,L,0,1,1,2,0,0,0,0,0,1,0,0,4,0.0,26,19:55,0,0,0,
73,2019-01-30,22-267,PIT,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,18:16,2,0,0,
74,2019-02-01,22-269,PIT,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,23,15:48,1,0,0,
75,2019-02-02,22-270,PIT,TOR,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,26,16:56,1,0,0,
76,2019-02-05,22-273,PIT,CAR,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,23,16:12,3,0,0,
77,2019-02-07,22-275,PIT,FLA,L-OT,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,26,18:30,3,0,0,
78,2019-02-09,22-277,PIT,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,32,22:57,2,1,0,100.0
79,2019-02-11,22-279,PIT,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,16:51,2,0,0,
80,2019-02-13,22-281,PIT,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:40,5,0,0,
81,2019-02-16,22-284,PIT,CGY,L,0,0,0,0,5,0,0,0,0,0,0,0,0,,20,12:43,3,0,0,
82,2019-02-17,22-285,PIT,NYR,W,1,1,2,1,0,0,1,0,0,1,0,0,3,33.3,19,15:47,0,0,0,
83,2019-02-19,22-287,PIT,NJD,W,0,1,1,2,0,0,0,0,0,0,1,0,1,0.0,22,17:27,0,0,0,
84,2019-02-21,22-289,PIT,SJS,L,0,0,0,0,10,0,0,0,0,0,0,0,1,0.0,21,15:53,1,0,0,
85,2019-02-23,22-291,PIT,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,34,22:41,1,0,0,
86,2019-02-26,22-294,PIT,CBJ,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,34,22:22,0,0,0,
87,2019-03-01,22-297,PIT,BUF,L-OT,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,32,24:38,3,0,0,
88,2019-03-02,22-298,PIT,MTL,W,0,1,1,3,2,0,0,0,0,1,0,0,1,0.0,31,20:07,0,0,0,
89,2019-03-05,22-301,PIT,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,18:27,2,0,0,
90,2019-03-07,22-303,PIT,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,19:01,3,0,0,
91,2019-03-09,22-305,PIT,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,23:36,0,0,0,
