,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-04-11,22-165,NJD,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,10:02,2,0,0,
1,2021-04-15,22-169,NJD,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:33,4,0,0,
2,2021-04-17,22-171,NJD,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:23,1,0,0,
3,2021-04-18,22-172,NJD,NYR,L,1,0,1,1,4,1,0,0,0,0,0,0,3,33.3,23,12:18,0,0,0,
4,2021-04-20,22-174,NJD,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,13:58,0,0,0,
5,2021-04-24,22-178,NJD,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,7:59,1,0,0,
6,2021-05-04,22-188,NJD,BOS,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,10:24,3,0,0,
7,2021-05-06,22-190,NJD,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:38,2,0,0,
8,2021-10-15,22-352,NJD,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,12:08,2,0,1,0.0
9,2021-10-23,22-360,NJD,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:17,0,0,0,
10,2021-10-30,23-002,NJD,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,12:21,0,0,0,
11,2021-10-31,23-003,NJD,CBJ,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,12:24,1,0,1,0.0
12,2021-11-02,23-005,NJD,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:37,0,0,0,
13,2021-12-14,23-047,NJD,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,12:09,1,0,0,
14,2021-12-16,23-049,NJD,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:48,0,0,0,
15,2021-12-18,23-051,NJD,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:49,0,0,0,
16,2021-12-19,23-052,NJD,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:24,2,0,0,
17,2021-12-29,23-062,NJD,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,12:25,0,0,0,
18,2021-12-31,23-064,NJD,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:24,2,0,0,
19,2022-01-02,23-066,NJD,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:29,1,0,0,
20,2022-01-04,23-068,NJD,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:26,0,1,1,50.0
21,2022-01-06,23-070,NJD,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,6:04,1,0,0,
22,2022-01-08,23-072,NJD,CBJ,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,17,9:56,1,0,0,
23,2022-02-13,23-108,NJD,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,10:52,0,0,0,
24,2022-02-15,23-110,NJD,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,11:58,1,0,0,
25,2022-03-15,23-138,DAL,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:11,1,0,0,
26,2022-03-17,23-140,DAL,MTL,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,11,7:52,1,0,0,
27,2022-03-19,23-142,DAL,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:21,2,0,0,
28,2022-03-20,23-143,DAL,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,8:56,0,0,0,
29,2022-03-22,23-145,DAL,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,12:26,0,0,0,
30,2022-03-24,23-147,DAL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:17,1,0,0,
31,2022-03-31,23-154,DAL,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:44,0,0,0,
32,2022-04-05,23-159,DAL,NYI,W,1,0,1,2,2,1,0,0,0,0,0,0,5,20.0,20,12:41,0,0,0,
33,2022-04-07,23-161,DAL,TOR,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,13:34,1,0,0,
34,2022-04-09,23-163,DAL,NJD,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,9:39,1,0,0,
35,2022-04-12,23-166,DAL,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:15,0,0,0,
36,2022-04-14,23-168,DAL,MIN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,7:14,0,0,0,
37,2022-04-16,23-170,DAL,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:49,1,0,0,
38,2022-04-18,23-172,DAL,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,11:10,1,0,0,
39,2022-04-20,23-174,DAL,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,9:58,3,0,0,
40,2022-04-21,23-175,DAL,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,11:13,1,0,0,
41,2023-02-08,24-103,DAL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,13,8:12,1,0,0,
42,2023-02-11,24-106,DAL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:17,1,0,0,
43,2023-02-14,24-109,DAL,BOS,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:35,1,0,0,
44,2023-11-30,25-033,SEA,TOR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:53,3,0,0,
45,2023-12-02,25-035,SEA,OTT,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,9,6:20,1,0,0,
