,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-04-06,23-102,PHI,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,12:33,1,0,0,
1,2020-01-08,24-014,PHI,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:49,1,0,0,
2,2020-01-11,24-017,PHI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:29,1,0,0,
3,2020-01-13,24-019,PHI,BOS,W,0,1,1,0,2,0,0,0,0,1,0,0,0,,20,14:10,0,0,0,
4,2020-01-15,24-021,PHI,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,10:24,1,0,0,
5,2020-01-16,24-022,PHI,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:14,1,0,0,
6,2020-02-20,24-057,PHI,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,16:26,4,0,0,
7,2021-01-21,25-027,PHI,BOS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:35,0,0,0,
8,2021-01-23,25-029,PHI,BOS,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,23,15:35,2,0,0,
9,2021-01-26,25-032,PHI,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,12:44,1,0,0,
10,2021-02-21,25-058,PHI,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,10:10,2,0,1,0.0
11,2021-03-02,25-067,PIT,PHI,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,17,10:25,2,0,0,
12,2021-03-04,25-069,PIT,PHI,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,7,4:55,2,0,0,
13,2021-05-03,25-129,PIT,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,21,13:02,2,0,0,
14,2021-05-04,25-130,PIT,PHI,W,1,0,1,1,5,1,0,0,0,0,0,0,2,50.0,20,13:20,3,0,0,
15,2021-05-06,25-132,PIT,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,13:39,0,0,0,
16,2021-10-12,25-291,PIT,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,14:07,2,0,0,
17,2021-10-14,25-293,PIT,FLA,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,0,,18,10:49,1,0,0,
18,2021-10-16,25-295,PIT,CHI,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,18,13:55,0,0,0,
19,2021-10-23,25-302,PIT,TOR,W,0,1,1,5,4,0,0,0,0,1,0,0,0,,19,12:49,2,0,0,
20,2021-10-26,25-305,PIT,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:40,1,0,0,
21,2021-10-28,25-307,PIT,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,21,15:07,1,0,0,
22,2021-11-04,25-314,PIT,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:43,4,0,0,
23,2021-11-06,25-316,PIT,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:00,1,0,0,
24,2021-11-09,25-319,PIT,CHI,L-SO,0,1,1,0,2,0,0,0,0,1,0,0,0,,19,9:52,3,0,0,
25,2021-11-11,25-321,PIT,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,17:35,1,0,0,
26,2021-11-13,25-323,PIT,OTT,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,16:17,3,0,0,
27,2022-01-08,26-014,PIT,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,14,6:44,0,0,0,
28,2022-02-26,26-063,PIT,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:11,0,0,0,
29,2022-02-27,26-064,PIT,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,14:26,0,0,0,
30,2022-03-03,26-068,PIT,TBL,W,0,0,0,2,2,0,0,0,0,0,0,0,0,,21,13:57,0,0,0,
31,2022-03-04,26-069,PIT,CAR,L-OT,0,0,0,-2,5,0,0,0,0,0,0,0,0,,16,12:17,0,0,0,
32,2022-03-08,26-073,PIT,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:30,1,0,0,
33,2022-03-11,26-076,PIT,VEG,W,1,0,1,1,2,1,0,0,1,0,0,0,3,33.3,20,16:23,1,0,0,
34,2022-03-13,26-078,PIT,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:33,0,0,0,
35,2022-03-15,26-080,PIT,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,15:04,2,0,0,
36,2022-03-25,26-090,PIT,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,5:08,0,0,0,
37,2022-03-31,26-096,PIT,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:28,0,0,0,
38,2022-04-02,26-098,PIT,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,13:08,0,0,0,
39,2022-04-07,26-103,PIT,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:03,2,0,0,
40,2022-04-12,26-108,PIT,NYI,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,19,13:09,0,0,0,
