,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2006-01-30,22-119,CGY,STL,L-SO,0,0,0,1,2,0,0,0,0,,,,1,0.0,18,14:01,,,,
1,2006-02-01,22-121,CGY,CBJ,L-SO,0,0,0,0,2,0,0,0,0,,,,0,,14,7:55,,,,
2,2006-04-07,22-186,CGY,MIN,W,0,0,0,2,0,0,0,0,0,,,,0,,20,12:29,,,,
3,2006-04-08,22-187,CGY,VAN,L-OT,0,1,1,-1,0,0,0,0,0,,,,0,,21,15:56,,,,
4,2006-04-11,22-190,CGY,MDA,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,12:33,,,,
5,2006-04-13,22-192,CGY,COL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,21,13:04,,,,
6,2006-04-15,22-194,CGY,LAK,L-SO,0,0,0,0,2,0,0,0,0,,,,0,,10,8:34,,,,
7,2006-10-05,23-002,CGY,EDM,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,9:23,,,,
8,2006-10-07,23-004,CGY,EDM,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,12,8:14,,,,
9,2006-10-09,23-006,CGY,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,8:35,,,,
10,2006-10-12,23-009,CGY,OTT,W,0,0,0,0,2,0,0,0,0,,,,0,,15,8:57,,,,
11,2006-10-14,23-011,CGY,TOR,L-OT,2,0,2,2,0,2,0,0,0,,,,2,100.0,19,7:45,,,,
12,2006-10-28,23-025,CGY,NSH,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,18,13:06,,,,
13,2006-11-07,23-035,CGY,DAL,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,17,8:34,,,,
14,2006-11-22,23-050,CGY,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,20,12:03,,,,
15,2006-11-25,23-053,CGY,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,15:51,,,,
16,2006-11-26,23-054,CGY,ANA,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,21,12:53,,,,
17,2006-12-12,23-070,CGY,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,19,13:35,,,,
18,2006-12-14,23-072,CGY,VAN,L,0,0,0,1,2,0,0,0,0,,,,2,0.0,25,20:09,,,,
19,2006-12-16,23-074,CGY,PHX,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,26,18:21,,,,
20,2006-12-18,23-076,CGY,ANA,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,26,18:39,,,,
21,2006-12-19,23-077,CGY,LAK,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,25,16:44,,,,
22,2006-12-23,23-081,CGY,SJS,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,23,14:11,,,,
23,2006-12-26,23-084,CGY,VAN,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,23,18:16,,,,
24,2006-12-27,23-085,CGY,VAN,L-OT,0,1,1,0,0,0,0,0,0,,,,1,0.0,19,13:36,,,,
25,2006-12-29,23-087,CGY,LAK,W,0,1,1,0,0,0,0,0,0,,,,0,,19,17:14,,,,
26,2006-12-31,23-089,CGY,EDM,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,24,13:14,,,,
27,2007-01-02,23-091,CGY,VAN,L,0,1,1,0,2,0,0,0,0,,,,1,0.0,20,12:36,,,,
28,2007-01-04,23-093,CGY,FLA,W,1,0,1,0,0,1,0,0,1,,,,1,100.0,21,14:10,,,,
29,2007-01-06,23-095,CGY,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,24,13:45,,,,
30,2007-01-09,23-098,CGY,MIN,W,1,0,1,0,2,0,1,0,0,,,,2,50.0,22,13:21,,,,
31,2007-01-11,23-100,CGY,COL,W,0,2,2,3,4,0,0,0,0,,,,0,,22,13:42,,,,
32,2007-01-15,23-104,CGY,NSH,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,19,12:04,,,,
33,2007-01-17,23-106,CGY,DAL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,12:14,,,,
34,2007-01-19,23-108,CGY,ANA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,12:11,,,,
35,2007-01-20,23-109,CGY,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,15,11:00,,,,
36,2007-01-26,23-115,CGY,MIN,L-SO,1,0,1,0,2,0,1,0,0,,,,1,100.0,21,11:06,,,,
37,2007-01-28,23-117,CGY,CHI,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,13,8:00,,,,
38,2007-01-30,23-119,CGY,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,17,12:46,,,,
39,2007-02-02,23-122,CGY,CBJ,W,1,1,2,0,0,0,1,0,1,,,,2,50.0,23,15:03,,,,
40,2007-02-03,23-123,CGY,VAN,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,13,9:41,,,,
41,2007-02-06,23-126,CGY,CHI,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,23,16:44,,,,
42,2007-02-08,23-128,CGY,CBJ,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:18,,,,
43,2007-02-10,23-130,CGY,BUF,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,20,15:00,,,,
44,2007-02-11,23-131,CGY,DET,L,1,0,1,0,2,1,0,0,0,,,,1,100.0,25,17:25,,,,
45,2007-02-13,23-133,CGY,ATL,W,0,0,0,-1,4,0,0,0,0,,,,1,0.0,25,16:41,,,,
46,2007-02-15,23-135,CGY,COL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,15:08,,,,
47,2007-02-22,23-142,CGY,PHX,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,20,13:16,,,,
48,2007-02-24,23-144,CGY,SJS,W,0,0,0,-1,2,0,0,0,0,,,,0,,17,13:15,,,,
49,2007-03-08,23-156,CGY,NSH,L,0,0,0,0,2,0,0,0,0,,,,0,,24,14:21,,,,
50,2007-03-14,23-162,CGY,COL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,11:37,,,,
51,2007-03-15,23-163,CGY,DAL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,16:02,,,,
52,2007-03-17,23-165,CGY,MIN,L,0,0,0,-2,0,0,0,0,0,,,,0,,16,8:12,,,,
53,2007-04-07,23-186,CGY,EDM,L,0,0,0,2,0,0,0,0,0,,,,2,0.0,28,17:57,,,,
54,2007-04-08,23-187,CGY,COL,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,26,17:32,,,,
55,2008-10-09,25-006,CGY,VAN,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,29,24:00,1,0,0,
56,2008-10-11,25-008,CGY,VAN,L-OT,0,1,1,2,0,0,0,0,0,,,,2,0.0,32,26:41,3,0,0,
57,2008-10-14,25-011,CGY,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:34,1,0,0,
