,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-11-28,22-076,CGY,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:18,1,5,3,62.5
1,2017-10-24,23-041,CGY,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,11:38,0,5,7,41.7
2,2017-10-25,23-042,CGY,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:16,0,2,6,25.0
3,2017-10-27,23-044,CGY,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:53,0,5,3,62.5
4,2017-10-29,23-046,CGY,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:27,0,7,5,58.3
5,2017-11-02,23-050,CGY,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:52,0,3,3,50.0
6,2017-11-05,23-053,CGY,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:12,0,5,7,41.7
7,2017-11-07,23-055,CGY,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,13:14,0,4,8,33.3
8,2017-11-09,23-057,CGY,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,19,11:44,1,4,6,40.0
9,2017-11-13,23-061,CGY,STL,W,2,1,3,2,0,2,0,0,0,1,0,0,5,40.0,21,14:25,0,10,4,71.4
10,2017-11-15,23-063,CGY,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,15:19,1,4,7,36.4
11,2017-11-18,23-066,CGY,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,13:14,0,7,5,58.3
12,2017-11-20,23-068,CGY,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,17,12:39,0,7,7,50.0
13,2017-11-22,23-070,CGY,CBJ,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,15:44,0,6,7,46.2
