,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2011-10-09,18-208,WPG,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:44,0,3,7,30.0
1,2011-10-13,18-212,WPG,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,13,9:25,1,1,4,20.0
2,2011-10-15,18-214,WPG,PHX,L,0,0,0,1,0,0,0,0,0,,,,0,,22,16:22,0,5,11,31.3
3,2011-10-17,18-216,WPG,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,7:06,1,3,2,60.0
4,2011-10-19,18-218,WPG,TOR,L-SO,1,0,1,0,0,0,1,0,0,,,,2,50.0,16,10:27,1,1,4,20.0
5,2011-10-20,18-219,WPG,OTT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,12:12,0,3,4,42.9
6,2011-10-22,18-221,WPG,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,9,7:21,0,2,1,66.7
7,2013-01-19,19-310,WPG,OTT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,16,11:49,2,0,0,
8,2013-01-21,19-312,WPG,BOS,L-SO,0,0,0,1,0,0,0,0,0,,,,1,0.0,13,8:40,1,1,0,100.0
9,2013-01-22,19-313,WPG,WSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,11,8:50,1,1,0,100.0
10,2013-02-01,19-323,WPG,TBL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,16:47,0,8,4,66.7
11,2013-10-01,20-200,WPG,EDM,W,1,0,1,0,0,0,1,0,0,,,,4,25.0,22,17:58,0,7,11,38.9
12,2013-10-04,20-203,WPG,LAK,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,19,13:08,2,3,7,30.0
13,2013-10-06,20-205,WPG,ANA,L,0,0,0,0,0,0,0,0,0,,,,0,,15,13:52,0,2,8,20.0
14,2013-10-10,20-209,WPG,MIN,L,0,0,0,-1,0,0,0,0,0,,,,0,,18,14:03,1,6,4,60.0
15,2013-10-11,20-210,WPG,DAL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:18,2,6,7,46.2
16,2013-10-13,20-212,WPG,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,14:20,0,4,7,36.4
17,2013-10-15,20-214,WPG,MTL,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,19,18:09,1,5,5,50.0
18,2013-10-18,20-217,WPG,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,17:57,0,3,7,30.0
19,2013-10-20,20-219,WPG,NSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,14:28,0,4,7,36.4
20,2013-10-22,20-221,WPG,WSH,L-SO,0,1,1,1,0,0,0,0,0,,,,2,0.0,26,22:40,2,12,9,57.1
21,2013-10-24,20-223,WPG,NSH,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,19,14:19,2,4,8,33.3
22,2013-10-26,20-225,WPG,DAL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,11,7:39,0,1,7,12.5
23,2013-10-27,20-226,WPG,COL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,14:13,0,3,6,33.3
24,2013-10-29,20-228,WPG,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,10:31,0,3,6,33.3
25,2013-11-02,20-232,WPG,CHI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,16:13,0,6,5,54.5
26,2013-11-04,20-234,WPG,DET,W,0,2,2,1,0,0,0,0,0,,,,3,0.0,23,18:25,0,5,4,55.6
27,2013-11-06,20-236,WPG,CHI,L,0,0,0,0,0,0,0,0,0,,,,0,,21,19:05,1,6,6,50.0
28,2013-11-08,20-238,WPG,NSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,14:25,0,2,9,18.2
29,2013-11-10,20-240,WPG,SJS,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,16,12:50,0,4,7,36.4
30,2013-11-12,20-242,WPG,DET,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,16,13:44,0,2,5,28.6
31,2013-11-15,20-245,WPG,PHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,14:07,0,6,6,50.0
32,2013-11-17,20-247,WPG,MIN,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,19,13:56,0,4,6,40.0
33,2013-11-18,20-248,WPG,CGY,L-SO,0,0,0,-2,0,0,0,0,0,,,,1,0.0,14,9:58,1,4,1,80.0
34,2013-11-21,20-251,WPG,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,19,11:47,0,2,6,25.0
35,2013-11-23,20-253,WPG,MIN,L-SO,0,1,1,2,0,0,0,0,0,,,,2,0.0,17,12:46,1,3,4,42.9
36,2013-11-25,20-255,WPG,NJD,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,17,13:24,1,7,2,77.8
37,2013-11-27,20-257,WPG,NYI,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,17,13:07,3,4,4,50.0
38,2013-11-29,20-259,WPG,PHI,L,0,1,1,0,0,0,0,0,0,,,,0,,20,14:50,1,5,8,38.5
39,2013-12-02,20-262,WPG,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,20,16:57,3,2,8,20.0
40,2013-12-05,20-265,WPG,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,14:32,4,6,5,54.5
41,2013-12-07,20-267,WPG,TBL,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,22,17:12,1,7,5,58.3
42,2013-12-10,20-270,WPG,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,16:55,1,5,10,33.3
43,2013-12-12,20-272,WPG,COL,L-SO,0,1,1,0,0,0,0,0,0,,,,1,0.0,25,19:20,1,5,13,27.8
44,2013-12-14,20-274,WPG,DAL,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,21,17:05,1,6,6,50.0
45,2013-12-16,20-276,WPG,CBJ,W,1,0,1,2,2,1,0,0,0,,,,4,25.0,23,20:39,2,7,12,36.8
46,2013-12-17,20-277,WPG,BUF,L,2,0,2,1,0,2,0,0,0,,,,3,66.7,20,17:41,1,4,10,28.6
47,2013-12-20,20-280,WPG,FLA,W,0,2,2,0,0,0,0,0,0,,,,0,,22,16:58,2,9,5,64.3
48,2013-12-22,20-282,WPG,VAN,L,0,1,1,-1,2,0,0,0,0,,,,2,0.0,22,18:08,0,5,5,50.0
49,2013-12-23,20-283,WPG,EDM,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,18,16:40,1,4,11,26.7
