,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-11-04,23-350,CGY,SEA,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,19,10:13,2,0,0,
1,2023-11-07,23-353,CGY,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,12:29,2,0,0,
2,2023-11-10,23-356,CGY,TOR,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,22,12:50,6,0,0,
3,2023-11-11,23-357,CGY,OTT,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,17,11:22,6,0,0,
4,2023-11-14,23-360,CGY,MTL,W,0,1,1,2,0,0,0,0,0,1,0,0,4,0.0,17,11:55,4,0,0,
5,2023-11-16,23-362,CGY,VAN,W,0,0,0,0,4,0,0,0,0,0,0,0,0,,21,12:26,2,2,0,100.0
6,2023-11-18,23-364,CGY,NYI,L-SO,1,0,1,2,0,1,0,0,0,0,0,0,6,16.7,25,17:37,4,0,1,0.0
7,2023-11-20,24-001,CGY,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:43,3,0,1,0.0
8,2023-11-22,24-003,CGY,NSH,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,19,15:18,1,0,0,
9,2023-11-24,24-005,CGY,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,16:42,2,0,1,0.0
10,2023-11-25,24-006,CGY,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,14:11,2,0,0,
11,2023-11-27,24-008,CGY,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:27,1,1,0,100.0
12,2023-11-30,24-011,CGY,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:10,1,0,0,
13,2023-12-02,24-013,CGY,VAN,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,13,8:37,4,0,0,
14,2023-12-07,24-018,CGY,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:04,4,0,1,0.0
15,2023-12-11,24-022,CGY,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,5:43,1,0,1,0.0
16,2023-12-12,24-023,CGY,VEG,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,11:57,2,2,0,100.0
17,2023-12-14,24-025,CGY,MIN,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,16,13:04,6,0,0,
18,2023-12-16,24-027,CGY,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,12:22,9,0,0,
19,2023-12-18,24-029,CGY,FLA,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,18,12:04,4,0,0,
20,2023-12-21,24-032,CGY,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,13:23,2,0,0,
21,2023-12-23,24-034,CGY,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,9:48,1,0,0,
22,2023-12-27,24-038,CGY,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:10,5,0,0,
23,2023-12-31,24-042,CGY,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,9:16,2,1,0,100.0
24,2024-01-02,24-044,CGY,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:59,3,0,0,
25,2024-01-04,24-046,CGY,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:23,2,1,0,100.0
26,2024-01-06,24-048,CGY,PHI,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,12,8:07,1,0,1,0.0
27,2024-01-07,24-049,CGY,CHI,L,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,15,10:52,1,0,1,0.0
28,2024-01-09,24-051,CGY,OTT,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,18,11:13,7,1,1,50.0
29,2024-01-11,24-053,CGY,ARI,W,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,17,10:42,1,0,1,0.0
30,2024-01-13,24-055,CGY,VEG,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,18,13:47,3,2,1,66.7
31,2024-01-16,24-058,CGY,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,14:39,4,0,1,0.0
32,2024-01-18,24-060,CGY,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,3:46,2,0,1,0.0
33,2024-02-06,24-079,CGY,BOS,W,0,0,0,1,15,0,0,0,0,0,0,0,0,,6,4:32,3,0,1,0.0
34,2024-02-08,24-081,CGY,NJD,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,18,12:23,2,0,1,0.0
35,2024-02-10,24-083,CGY,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,12:08,1,0,1,0.0
36,2024-02-12,24-085,CGY,NYR,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,22,15:21,8,1,1,50.0
37,2024-02-15,24-088,CGY,SJS,L,0,1,1,-1,2,0,0,0,0,1,0,0,2,0.0,21,14:20,6,2,0,100.0
38,2024-02-17,24-090,CGY,DET,L,0,0,0,-1,6,0,0,0,0,0,0,0,3,0.0,22,12:56,7,0,1,0.0
39,2024-02-19,24-092,CGY,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:33,5,0,0,
40,2024-02-22,24-095,CGY,BOS,W,1,0,1,1,2,1,0,0,0,0,0,0,4,25.0,24,15:28,7,0,0,
41,2024-02-24,24-097,CGY,EDM,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,18,12:24,6,0,0,
42,2024-02-27,24-100,CGY,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,16:25,8,0,0,
43,2024-03-02,24-104,CGY,PIT,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,12:17,9,0,1,0.0
44,2024-03-04,24-106,CGY,SEA,L,0,0,0,0,17,0,0,0,0,0,0,0,2,0.0,21,14:06,4,1,0,100.0
45,2024-03-12,24-114,CGY,COL,L,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,24,17:49,5,0,0,
46,2024-03-14,24-116,CGY,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,18:52,5,3,1,75.0
47,2024-03-16,24-118,CGY,MTL,W,1,0,1,1,4,1,0,0,1,0,0,0,2,50.0,18,12:20,3,0,0,
