,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-11-02,22-289,BOS,TOR,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,30,21:28,1,0,0,
1,2023-11-04,22-291,BOS,DET,L,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,30,21:20,1,0,0,
2,2023-11-06,22-293,BOS,DAL,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,18,15:33,0,0,0,
3,2023-11-09,22-296,BOS,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,18:29,1,0,0,
4,2023-11-11,22-298,BOS,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:21,1,0,0,
5,2023-11-14,22-301,BOS,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,19:51,1,0,0,
6,2023-11-18,22-305,BOS,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,18:38,1,0,0,
7,2023-11-20,22-307,BOS,TBL,L-OT,0,1,1,-1,2,0,0,0,0,1,0,0,1,0.0,21,12:46,0,0,0,
8,2023-11-22,22-309,BOS,FLA,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,14:36,0,0,0,
9,2023-11-24,22-311,BOS,DET,L,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,24,17:47,0,0,0,
10,2023-12-07,22-324,BOS,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,16:53,0,0,0,
11,2023-12-09,22-326,BOS,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:05,0,0,0,
12,2023-12-13,22-330,BOS,NJD,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,17:05,0,0,0,
13,2023-12-15,22-332,BOS,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,25,16:30,2,0,0,
14,2023-12-16,22-333,BOS,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:26,1,0,0,
15,2023-12-22,22-339,BOS,WPG,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,29,19:35,0,0,0,
16,2023-12-23,22-340,BOS,MIN,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,19:07,2,0,0,
17,2023-12-27,22-344,BOS,BUF,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,26,19:42,2,0,0,
18,2023-12-30,22-347,BOS,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,17:22,0,0,0,
19,2023-12-31,22-348,BOS,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:57,3,0,0,
20,2024-01-02,22-350,BOS,CBJ,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,24,14:50,0,0,0,
21,2024-01-04,22-352,BOS,PIT,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,14,8:29,0,0,0,
22,2024-01-09,22-357,BOS,ARI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,13:05,2,0,0,
23,2024-01-11,22-359,BOS,VEG,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,15:34,0,0,0,
24,2024-01-13,22-361,BOS,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:21,1,0,0,
25,2024-01-15,22-363,BOS,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:33,1,0,0,
26,2024-01-18,23-001,BOS,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,16:31,5,0,0,
27,2024-02-21,23-035,BOS,EDM,W,0,3,3,2,0,0,0,0,0,2,1,0,0,,29,23:32,0,0,0,
28,2024-02-22,23-036,BOS,CGY,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,29,21:29,1,0,0,
29,2024-02-24,23-038,BOS,VAN,L-OT,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,22,17:01,0,0,0,
30,2024-02-26,23-040,BOS,SEA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:46,0,0,0,
31,2024-02-29,23-043,BOS,VEG,W,1,0,1,-1,0,0,1,0,1,0,0,0,1,100.0,23,16:58,2,0,0,
32,2024-03-02,23-045,BOS,NYI,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,25,18:18,0,0,0,
33,2024-03-04,23-047,BOS,TOR,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,25,16:46,0,0,0,
34,2024-03-05,23-048,BOS,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,20:02,1,0,0,
35,2024-03-07,23-050,BOS,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,14:53,0,0,0,
36,2024-03-09,23-052,BOS,PIT,W,0,1,1,2,0,0,0,0,0,0,1,0,0,,22,17:17,0,0,0,
37,2024-03-11,23-054,BOS,STL,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,22,19:48,1,0,0,
38,2024-03-14,23-057,BOS,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,16:46,0,0,0,
39,2024-03-23,23-066,BOS,PHI,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,20,16:21,2,0,0,
40,2024-04-02,23-076,BOS,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,24,16:25,0,0,0,
