,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-01-02,24-198,TOR,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,6:50,1,0,0,
1,2020-01-04,24-200,TOR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:21,1,0,0,
2,2020-01-06,24-202,TOR,EDM,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,7,4:55,0,0,0,
3,2020-02-16,24-243,TOR,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,12:14,1,1,0,100.0
4,2021-02-07,25-234,FLA,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:56,3,0,0,
5,2021-02-25,25-252,FLA,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,13,8:51,3,0,1,0.0
6,2021-02-27,25-254,FLA,CAR,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,12:52,3,0,0,
7,2021-03-01,25-256,FLA,CAR,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,12:57,3,0,0,
8,2021-03-04,25-259,FLA,NSH,W,1,0,1,-2,0,1,0,0,0,0,0,0,2,50.0,19,13:23,0,0,0,
9,2021-03-06,25-261,FLA,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:16,2,0,0,
10,2021-03-07,25-262,FLA,CAR,L,1,0,1,0,4,1,0,0,0,0,0,0,2,50.0,20,13:53,1,0,1,0.0
11,2021-03-09,25-264,FLA,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,16:45,4,0,0,
12,2021-03-11,25-266,FLA,CBJ,W,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,20,15:21,1,0,0,
13,2021-03-13,25-268,FLA,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,12:47,1,0,1,0.0
14,2021-03-15,25-270,FLA,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,20,13:14,0,0,0,
15,2021-03-18,25-273,FLA,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:38,1,0,0,
16,2021-03-20,25-275,FLA,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:02,0,2,0,100.0
17,2021-03-21,25-276,FLA,TBL,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,22,12:31,3,0,0,
18,2021-03-23,25-278,FLA,CHI,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,18:46,3,1,3,25.0
19,2021-03-25,25-280,FLA,CHI,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,18,15:48,3,0,0,
20,2021-03-27,25-282,FLA,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:25,1,2,1,66.7
21,2021-03-28,25-283,FLA,DAL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,11:49,2,0,1,0.0
22,2021-03-30,25-285,FLA,DET,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,18,14:20,1,0,1,0.0
23,2021-04-01,25-287,FLA,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,20:23,3,0,1,0.0
24,2021-04-03,25-289,FLA,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,18:11,4,0,0,
25,2021-04-04,25-290,FLA,CBJ,W,0,0,0,1,2,0,0,0,0,0,0,0,4,0.0,17,16:18,2,0,0,
26,2021-04-06,25-292,FLA,CAR,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,23,19:13,3,0,0,
27,2021-04-08,25-294,FLA,CAR,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,21,16:40,5,0,0,
28,2021-04-10,25-296,FLA,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,21:42,4,0,0,
29,2021-04-13,25-299,FLA,DAL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,11:43,1,0,0,
30,2021-04-15,25-301,FLA,TBL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:59,3,0,1,0.0
31,2021-04-17,25-303,FLA,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,15:29,4,0,0,
32,2021-04-19,25-305,FLA,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,16:42,1,1,0,100.0
33,2021-04-20,25-306,FLA,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,8,5:12,1,0,0,
34,2021-05-03,25-319,FLA,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:57,0,2,4,33.3
35,2021-05-08,25-324,FLA,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,11:50,4,1,0,100.0
36,2021-05-10,25-326,FLA,TBL,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,18,12:36,3,4,6,40.0
37,2021-10-19,26-123,FLA,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,14:21,2,0,0,
38,2021-10-21,26-125,FLA,COL,W,0,2,2,2,2,0,0,0,0,2,0,0,2,0.0,19,12:22,2,0,0,
39,2021-10-23,26-127,FLA,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,20,13:28,4,0,3,0.0
40,2021-10-25,26-129,FLA,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,14:34,5,0,1,0.0
41,2021-10-27,26-131,FLA,BOS,W,1,0,1,2,2,1,0,0,0,0,0,0,3,33.3,18,13:37,3,0,0,
42,2021-10-29,26-133,FLA,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,13:47,1,0,1,0.0
43,2021-10-30,26-134,FLA,BOS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:54,3,0,1,0.0
44,2021-11-04,26-139,FLA,WSH,W,0,1,1,-1,0,0,0,0,0,1,0,0,0,,16,12:12,2,0,0,
45,2021-11-06,26-141,FLA,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:19,0,3,7,30.0
46,2021-11-08,26-143,FLA,NYR,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,9:03,2,0,0,
47,2021-12-29,26-194,FLA,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,12:23,4,0,0,
48,2021-12-30,26-195,FLA,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,17,12:44,3,0,3,0.0
49,2022-01-01,26-197,FLA,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,13,10:04,0,0,0,
50,2022-01-18,26-214,FLA,CGY,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,20,13:08,2,0,0,
51,2022-01-20,26-216,FLA,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,13:15,2,0,0,
52,2022-01-21,26-217,FLA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:01,0,0,0,
53,2022-01-23,26-219,FLA,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:19,1,0,0,
54,2022-01-25,26-221,FLA,WPG,W,2,1,3,3,2,2,0,0,0,1,0,0,6,33.3,18,15:17,3,0,0,
55,2022-01-27,26-223,FLA,VEG,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,15:02,7,0,1,0.0
56,2022-01-29,26-225,FLA,SJS,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,18,13:42,3,1,0,100.0
57,2022-01-31,26-227,FLA,CBJ,W,2,4,6,6,2,2,0,0,0,4,0,0,6,33.3,21,15:30,0,0,0,
58,2022-02-01,26-228,FLA,NYR,L,0,0,0,-1,7,0,0,0,0,0,0,0,2,0.0,16,9:57,2,0,1,0.0
59,2022-02-16,26-243,FLA,CAR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,15:16,2,0,0,
60,2022-02-18,26-245,FLA,MIN,W,3,0,3,3,0,3,0,0,0,0,0,0,5,60.0,22,13:55,1,0,0,
61,2022-02-20,26-247,FLA,CHI,W,0,1,1,0,4,0,0,0,0,1,0,0,1,0.0,19,14:01,5,0,0,
62,2022-02-22,26-249,FLA,NSH,L,0,0,0,2,0,0,0,0,0,0,0,0,0,,19,14:04,1,0,0,
63,2022-02-24,26-251,FLA,CBJ,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,17,13:23,1,0,1,0.0
64,2022-02-26,26-253,FLA,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,24,18:54,2,0,2,0.0
65,2022-03-03,26-258,FLA,OTT,W,1,1,2,0,0,0,1,0,1,0,1,0,2,50.0,16,12:58,1,0,1,0.0
66,2022-03-05,26-260,FLA,DET,W,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,17,14:24,2,0,0,
67,2022-03-07,26-262,FLA,BUF,W,0,3,3,3,2,0,0,0,0,3,0,0,0,,17,13:16,0,0,0,
68,2022-03-08,26-263,FLA,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,16:10,2,1,0,100.0
69,2022-03-10,26-265,FLA,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,20,15:00,1,0,0,
70,2022-03-13,26-268,FLA,LAK,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,14:00,4,0,0,
