,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-13,18-256,ANA,WPG,W,1,1,2,2,0,1,0,0,1,0,1,0,1,100.0,20,14:40,1,0,1,0.0
1,2021-10-15,18-258,ANA,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:29,1,0,0,
2,2021-10-18,18-261,ANA,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,9,5:23,0,0,0,
3,2021-11-07,18-281,ANA,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:39,2,0,0,
4,2021-11-09,18-283,ANA,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,10:33,1,0,0,
5,2021-11-11,18-285,ANA,SEA,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,19,14:29,0,0,1,0.0
6,2021-11-14,18-288,ANA,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:26,1,0,0,
7,2021-11-16,18-290,ANA,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,16:41,0,0,0,
8,2021-11-18,18-292,ANA,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:23,2,0,1,0.0
9,2022-10-12,19-255,ANA,SEA,W,0,2,2,0,2,0,0,0,0,1,1,0,3,0.0,14,13:03,0,0,0,
10,2022-10-15,19-258,ANA,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,15:05,0,0,0,
11,2022-10-17,19-260,ANA,NYR,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,15:58,1,1,0,100.0
12,2022-10-18,19-261,ANA,NJD,L,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,20,15:55,0,1,2,33.3
13,2022-10-20,19-263,ANA,BOS,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,22,16:44,0,0,0,
14,2022-10-23,19-266,ANA,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,16:02,2,1,1,50.0
15,2022-10-26,19-269,ANA,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:09,0,1,0,100.0
16,2022-10-28,19-271,ANA,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:07,5,0,2,0.0
17,2022-10-30,19-273,ANA,TOR,W,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,16,11:04,1,0,0,
18,2022-11-01,19-275,ANA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:31,1,1,0,100.0
19,2022-11-03,19-277,ANA,VAN,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,12,9:41,0,3,3,50.0
20,2022-11-05,19-279,ANA,SJS,W,1,1,2,2,2,1,0,0,0,1,0,0,2,50.0,16,11:33,0,5,3,62.5
21,2022-11-06,19-280,ANA,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:47,0,1,0,100.0
22,2022-11-09,19-283,ANA,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,14:40,0,1,1,50.0
23,2022-11-12,19-286,ANA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:59,1,0,1,0.0
24,2022-11-15,19-289,ANA,DET,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,16,12:24,0,3,2,60.0
25,2022-11-17,19-291,ANA,WPG,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,16,12:01,0,1,2,33.3
26,2022-11-19,19-293,ANA,STL,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,23,19:00,2,4,6,40.0
27,2022-11-21,19-295,ANA,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,15:46,2,4,4,50.0
28,2022-11-23,19-297,ANA,NYR,W,1,0,1,0,4,1,0,0,0,0,0,0,2,50.0,20,14:10,0,3,3,50.0
29,2022-11-25,19-299,ANA,OTT,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,20,16:38,1,3,6,33.3
30,2022-11-27,19-301,ANA,SEA,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,19,18:01,1,5,6,45.5
31,2022-11-29,19-303,ANA,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,11:44,0,2,5,28.6
32,2022-12-01,19-305,ANA,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:30,5,6,6,50.0
33,2022-12-03,19-307,ANA,MIN,L-SO,0,2,2,0,0,0,0,0,0,0,2,0,2,0.0,24,14:17,1,7,3,70.0
34,2022-12-04,19-308,ANA,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,17:18,3,5,8,38.5
35,2022-12-06,19-310,ANA,CAR,W,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,23,18:55,0,6,5,54.5
36,2022-12-09,19-313,ANA,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,16:12,0,5,6,45.5
37,2022-12-12,19-316,ANA,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,16:10,1,7,10,41.2
38,2022-12-13,19-317,ANA,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,15:52,4,5,10,33.3
39,2022-12-15,19-319,ANA,MTL,W,0,2,2,1,0,0,0,0,0,1,1,0,3,0.0,23,15:09,0,3,3,50.0
40,2022-12-17,19-321,ANA,EDM,W,0,2,2,0,0,0,0,0,0,1,1,0,2,0.0,24,15:15,1,4,6,40.0
41,2022-12-20,19-324,ANA,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,15:46,0,5,8,38.5
42,2022-12-21,19-325,ANA,MIN,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,17,12:47,1,2,7,22.2
