,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-12-09,23-036,MIN,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,10:38,1,0,1,0.0
1,2021-12-11,23-038,MIN,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,7:10,1,1,1,50.0
2,2022-03-04,23-121,MIN,BUF,L,0,0,0,0,5,0,0,0,0,0,0,0,4,0.0,12,9:10,4,0,0,
3,2022-10-17,23-348,MIN,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,5:46,0,0,1,0.0
4,2022-10-27,23-358,MIN,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,8:16,2,0,0,
5,2022-10-29,23-360,MIN,DET,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,11,9:25,2,0,0,
6,2022-10-30,23-361,MIN,CHI,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,18,14:54,1,0,0,
7,2022-11-01,23-363,MIN,MTL,W,1,0,1,1,5,1,0,0,0,0,0,0,2,50.0,21,16:31,3,0,1,0.0
8,2022-11-03,24-000,MIN,SEA,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,21,15:24,4,1,1,50.0
9,2022-11-08,24-005,MIN,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,14:05,3,0,1,0.0
10,2022-11-09,24-006,MIN,ANA,W,0,1,1,1,12,0,0,0,0,1,0,0,2,0.0,15,10:52,2,0,0,
11,2022-11-11,24-008,MIN,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,15:02,1,1,0,100.0
12,2022-11-13,24-010,MIN,SJS,L-SO,0,1,1,1,0,0,0,0,0,0,0,1,3,0.0,18,14:00,3,0,0,
13,2022-11-15,24-012,MIN,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,16,14:26,2,1,1,50.0
14,2022-11-17,24-014,MIN,PIT,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,21,15:26,1,0,0,
15,2022-11-19,24-016,MIN,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:48,0,1,0,100.0
