,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-10-05,19-072,MIN,ANA,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,10:22,1,0,0,
1,2013-10-10,19-077,MIN,WPG,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,16,11:43,1,0,0,
2,2013-10-12,19-079,MIN,DAL,W,1,0,1,0,0,0,1,0,0,,,,3,33.3,22,15:02,0,0,0,
3,2013-10-14,19-081,MIN,BUF,W,0,0,0,0,2,0,0,0,0,,,,0,,21,15:30,0,0,0,
4,2013-10-17,19-084,MIN,TBL,L,0,0,0,0,0,0,0,0,0,,,,0,,16,14:13,2,0,0,
5,2013-10-19,19-086,MIN,FLA,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,10:58,1,0,0,
6,2013-10-24,19-091,MIN,CAR,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,16,12:17,0,0,0,
7,2013-10-26,19-093,MIN,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,14,10:13,0,0,0,
8,2013-10-28,19-095,MIN,CHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,19,14:25,0,0,0,
9,2013-11-09,19-107,MIN,CAR,W,0,0,0,-1,0,0,0,0,0,,,,0,,14,10:51,0,0,0,
10,2013-11-17,19-115,MIN,WPG,W,0,0,0,0,0,0,0,0,0,,,,0,,19,11:41,2,0,0,
11,2013-11-20,19-118,MIN,OTT,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,9:53,1,0,0,
12,2013-11-23,19-121,MIN,WPG,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,14:42,1,0,0,
13,2014-10-09,20-076,MIN,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,16:27,1,0,0,
14,2014-10-11,20-078,MIN,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,10:46,0,0,0,
15,2014-10-17,20-084,MIN,ANA,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,11:29,2,0,0,
16,2014-10-23,20-090,MIN,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,12:42,1,0,0,
17,2014-10-25,20-092,MIN,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:35,0,0,0,
18,2014-10-27,20-094,MIN,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,9:56,0,0,0,
19,2014-10-28,20-095,MIN,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,20,16:43,0,0,0,
20,2014-10-30,20-097,MIN,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,21,17:04,0,0,0,
21,2014-11-01,20-099,MIN,DAL,W,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,19,13:47,0,0,0,
22,2014-11-04,20-102,MIN,PIT,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,18,16:16,1,0,0,
23,2014-11-06,20-104,MIN,OTT,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,20,15:15,1,0,0,
24,2014-11-08,20-106,MIN,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,7:37,0,0,0,
25,2014-11-13,20-111,MIN,BUF,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,19,15:37,0,0,0,
26,2014-11-15,20-113,MIN,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,14:25,1,0,0,
27,2014-11-16,20-114,MIN,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,8:35,0,0,0,
28,2014-11-20,20-118,MIN,PHI,W,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,14,11:05,1,0,0,
29,2014-11-22,20-120,MIN,TBL,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,12:42,0,0,0,
30,2014-11-24,20-122,MIN,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:36,0,0,0,
31,2014-11-26,20-124,MIN,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,12:11,0,0,0,
32,2014-11-28,20-126,MIN,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:10,0,0,0,
33,2015-01-15,20-174,MIN,BUF,W,1,0,1,3,5,1,0,0,0,0,0,0,2,50.0,25,16:11,3,0,0,
34,2015-01-17,20-176,MIN,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:24,0,0,0,
35,2015-01-19,20-178,MIN,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:15,0,0,0,
36,2015-01-29,20-188,MIN,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:07,0,0,0,
37,2015-02-01,20-191,MIN,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,9:06,0,0,0,
38,2015-02-03,20-193,MIN,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:58,1,0,0,
39,2015-02-07,20-197,MIN,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:22,0,0,0,
40,2015-02-09,20-199,MIN,VAN,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,24,14:30,2,0,0,
41,2015-02-10,20-200,MIN,WPG,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,9:13,1,0,0,
42,2015-02-12,20-202,MIN,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:37,0,0,0,
