,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-10-06,21-239,TBL,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,13:50,3,0,0,
1,2018-10-11,21-244,TBL,VAN,L,0,0,0,-2,2,0,0,0,0,0,0,0,5,0.0,22,13:53,1,1,1,50.0
2,2018-10-13,21-246,TBL,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:06,2,1,1,50.0
3,2018-10-16,21-249,TBL,CAR,W,0,1,1,0,0,0,0,0,0,0,0,1,0,,19,12:15,0,0,1,0.0
4,2018-10-18,21-251,TBL,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,11:52,1,0,3,0.0
5,2018-10-20,21-253,TBL,MIN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:20,0,0,1,0.0
6,2018-10-21,21-254,TBL,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,11:43,3,0,0,
7,2018-10-24,21-257,TBL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:44,0,0,0,
8,2018-10-26,21-259,TBL,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:58,3,0,0,
9,2018-10-27,21-260,TBL,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,13:30,4,0,0,
10,2018-10-30,21-263,TBL,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:23,4,0,0,
11,2018-11-01,21-265,TBL,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,13:39,3,0,0,
12,2018-11-03,21-267,TBL,MTL,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,15,12:42,2,0,1,0.0
13,2018-11-04,21-268,TBL,OTT,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,12:20,3,0,0,
14,2018-11-06,21-270,TBL,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:22,2,0,0,
15,2018-11-08,21-272,TBL,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,11:38,1,0,0,
16,2018-11-10,21-274,TBL,OTT,L,2,1,3,2,2,2,0,0,0,1,0,0,2,100.0,19,10:29,1,0,0,
17,2018-11-13,21-277,TBL,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,11:19,2,0,0,
18,2018-11-15,21-279,TBL,PIT,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,12:38,2,1,0,100.0
19,2018-11-17,21-281,TBL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:04,1,0,1,0.0
20,2018-11-19,21-283,TBL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:53,1,1,0,100.0
21,2018-11-21,21-285,TBL,FLA,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,16,11:14,0,1,0,100.0
22,2018-11-23,21-287,TBL,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:21,1,0,1,0.0
23,2018-11-25,21-289,TBL,NJD,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,17,11:46,1,1,2,33.3
24,2018-11-27,21-291,TBL,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:25,0,0,1,0.0
25,2018-11-29,21-293,TBL,BUF,W,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,17,11:30,2,0,0,
26,2018-12-01,21-295,TBL,FLA,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,15,9:08,4,0,0,
27,2018-12-03,21-297,TBL,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:41,2,1,0,100.0
28,2018-12-04,21-298,TBL,DET,W,2,1,3,4,0,2,0,0,0,0,0,1,2,100.0,18,12:15,1,0,1,0.0
29,2018-12-06,21-300,TBL,BOS,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,13:00,4,0,0,
30,2018-12-08,21-302,TBL,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,15:57,0,0,0,
31,2018-12-10,21-304,TBL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:45,2,0,0,
32,2018-12-29,21-323,TBL,MTL,W,0,0,0,-3,0,0,0,0,0,0,0,0,0,,12,6:54,0,0,0,
33,2018-12-31,21-325,TBL,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,8:06,1,0,0,
34,2019-01-03,21-328,TBL,LAK,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,10:33,0,0,0,
35,2019-01-05,21-330,TBL,SJS,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,10:23,3,0,0,
36,2019-01-08,21-333,TBL,CBJ,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,16,12:27,0,0,0,
37,2019-01-10,21-335,TBL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:24,0,0,1,0.0
38,2019-01-13,21-338,TBL,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,11:48,1,0,0,
39,2019-01-15,21-340,TBL,DAL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,9:21,6,0,3,0.0
40,2019-01-19,21-344,TBL,SJS,W,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,20,13:02,3,0,0,
41,2019-01-30,21-355,TBL,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,10:08,3,0,1,0.0
42,2019-02-01,21-357,TBL,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:49,0,0,0,
43,2019-02-02,21-358,TBL,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,21,12:47,3,0,0,
44,2019-02-05,21-361,TBL,VEG,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,14,8:36,2,0,0,
45,2019-02-07,21-363,TBL,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,7:52,0,0,0,
46,2019-02-09,22-000,TBL,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,10:29,1,0,0,
47,2019-02-10,22-001,TBL,FLA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,11:38,3,0,1,0.0
48,2019-02-14,22-005,TBL,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:00,1,0,2,0.0
49,2019-02-16,22-007,TBL,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:19,1,0,0,
50,2019-02-18,22-009,TBL,CBJ,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,13:04,2,0,0,
51,2019-02-21,22-012,TBL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,8:31,1,0,0,
52,2019-02-25,22-016,TBL,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,8:08,0,0,0,
53,2019-02-28,22-019,TBL,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,12:33,3,0,0,
54,2019-03-02,22-021,TBL,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,12:57,2,0,0,
55,2019-03-05,22-024,TBL,WPG,W,0,2,2,2,2,0,0,0,0,2,0,0,1,0.0,15,9:45,3,0,0,
56,2019-03-07,22-026,TBL,MIN,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,11:36,2,0,1,0.0
57,2019-03-09,22-028,TBL,DET,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,16,10:29,1,0,0,
58,2019-03-11,22-030,TBL,TOR,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,19,12:37,1,0,1,0.0
59,2019-03-14,22-033,TBL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:53,4,0,0,
60,2019-03-16,22-035,TBL,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,9:28,4,1,0,100.0
61,2019-03-18,22-037,TBL,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,8:59,0,0,0,
62,2019-03-20,22-039,TBL,WSH,W,0,1,1,-1,0,0,0,0,0,1,0,0,0,,12,7:15,1,0,0,
63,2019-03-21,22-040,TBL,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:21,3,1,0,100.0
64,2019-03-23,22-042,TBL,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:14,3,1,0,100.0
65,2019-03-25,22-044,TBL,BOS,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,12:30,3,0,0,
66,2019-04-01,22-051,TBL,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,12:48,3,0,0,
67,2019-04-02,22-052,TBL,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,11:42,3,0,0,
68,2019-04-04,22-054,TBL,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:33,2,0,0,
69,2019-04-06,22-056,TBL,BOS,W,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,21,15:27,4,0,0,
70,2019-10-03,22-236,TBL,FLA,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,13,10:39,1,1,1,50.0
