,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-11-19,22-281,NSH,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:03,3,0,0,
1,2019-11-21,22-283,NSH,VAN,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,7,3:58,0,0,0,
2,2019-11-23,22-285,NSH,STL,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,20,9:21,2,0,0,
3,2019-11-25,22-287,NSH,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:56,2,0,0,
4,2019-11-27,22-289,NSH,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:29,3,0,0,
5,2019-11-29,22-291,NSH,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,8:31,4,0,0,
6,2019-11-30,22-292,NSH,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:30,0,0,0,
7,2019-12-03,22-295,NSH,TBL,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,11,7:34,3,0,0,
8,2021-01-16,23-340,NSH,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,11:58,6,0,0,
9,2021-01-18,23-342,NSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,10:10,2,0,0,
10,2021-01-22,23-346,NSH,DAL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,10:06,1,0,0,
11,2021-01-26,23-350,NSH,CHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,11,10:28,2,1,0,100.0
12,2021-01-27,23-351,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:34,2,0,0,
13,2021-01-30,23-354,NSH,TBL,L,1,0,1,-1,2,0,1,0,0,0,0,0,3,33.3,16,10:08,2,1,0,100.0
14,2021-02-01,23-356,NSH,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,13:09,2,1,0,100.0
15,2021-02-05,23-360,NSH,FLA,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,12:40,2,0,0,
16,2021-02-08,23-363,NSH,TBL,L,0,0,0,0,5,0,0,0,0,0,0,0,0,,12,8:58,2,0,2,0.0
17,2021-02-09,23-364,NSH,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:37,4,0,0,
18,2021-03-02,24-019,NSH,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,9:23,3,0,0,
19,2021-03-06,24-023,NSH,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,8:09,2,0,0,
20,2021-03-07,24-024,NSH,DAL,W,0,0,0,0,7,0,0,0,0,0,0,0,0,,13,10:11,2,0,0,
21,2021-03-09,24-026,NSH,CAR,L-OT,0,0,0,0,6,0,0,0,0,0,0,0,1,0.0,14,9:27,0,1,2,33.3
22,2021-03-11,24-028,NSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:03,4,0,0,
23,2021-03-13,24-030,NSH,TBL,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,12:01,1,0,0,
24,2021-03-15,24-032,NSH,TBL,W,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,17,11:06,1,0,0,
25,2021-03-18,24-035,NSH,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:51,0,0,0,
26,2021-03-20,24-037,NSH,FLA,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,6,3:24,1,0,0,
27,2021-03-21,24-038,NSH,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:18,2,0,0,
28,2021-03-23,24-040,NSH,DET,W,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,15,10:10,1,0,0,
29,2021-03-25,24-042,NSH,DET,W,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,17,12:39,1,0,0,
30,2021-03-27,24-044,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:38,4,0,0,
31,2021-03-28,24-045,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:39,2,0,0,
32,2021-03-30,24-047,NSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:39,4,0,0,
