,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-01-06,20-276,MIN,BOS,W,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,20,13:13,0,0,0,
1,2022-01-08,20-278,MIN,WSH,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,23,20:54,0,1,0,100.0
2,2022-01-14,20-284,MIN,ANA,W,1,1,2,2,0,1,0,0,1,1,0,0,3,33.3,19,14:28,0,0,0,
3,2022-01-17,20-287,MIN,COL,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,24,17:14,3,1,1,50.0
4,2022-01-21,20-291,MIN,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,15,17:13,0,1,0,100.0
5,2022-01-22,20-292,MIN,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,18:09,0,0,1,0.0
6,2022-01-24,20-294,MIN,MTL,W,1,1,2,1,0,0,1,0,0,1,0,0,5,20.0,17,18:21,0,0,0,
7,2022-01-28,20-298,MIN,NYR,W,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,19,15:40,1,1,0,100.0
8,2022-01-30,20-300,MIN,NYI,W,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,16,13:06,0,0,0,
9,2022-02-02,20-303,MIN,CHI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,15,16:27,0,0,1,0.0
10,2022-02-08,20-309,MIN,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,14:51,0,0,0,
11,2022-02-12,20-313,MIN,CAR,W,0,0,0,2,2,0,0,0,0,0,0,0,3,0.0,15,14:02,0,1,0,100.0
12,2022-02-14,20-315,MIN,DET,W,3,1,4,0,0,1,2,0,0,0,1,0,6,50.0,17,17:11,0,1,0,100.0
13,2022-02-16,20-317,MIN,WPG,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,17,17:11,0,0,0,
14,2022-02-18,20-319,MIN,FLA,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,19:07,0,0,0,
15,2022-02-20,20-321,MIN,EDM,W,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,15,15:05,0,0,1,0.0
16,2022-02-22,20-323,MIN,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,18,18:33,0,0,1,0.0
17,2022-02-24,20-325,MIN,TOR,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,16,17:02,1,1,1,50.0
18,2022-02-26,20-327,MIN,CGY,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,18,15:09,0,1,0,100.0
19,2022-03-01,20-330,MIN,CGY,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,21,17:16,2,1,3,25.0
20,2022-03-03,20-332,MIN,PHI,W,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,16,15:31,1,0,0,
21,2022-03-04,20-333,MIN,BUF,L,0,1,1,-1,0,0,0,0,0,0,1,0,0,,18,16:58,1,0,0,
22,2022-03-06,20-335,MIN,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,15:37,0,0,0,
23,2022-03-08,20-337,MIN,NYR,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,19,16:31,3,0,0,
24,2022-03-10,20-339,MIN,DET,W,2,0,2,-1,0,2,0,0,0,0,0,0,3,66.7,15,15:11,2,0,2,0.0
25,2022-03-11,20-340,MIN,CBJ,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,15:55,1,0,0,
26,2022-03-13,20-342,MIN,NSH,L,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,20,19:02,1,0,0,
27,2022-03-16,20-345,MIN,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,15:26,0,0,0,
28,2022-03-19,20-348,MIN,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,12:53,1,0,0,
29,2022-03-21,20-350,MIN,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,12:35,2,0,0,
30,2022-03-24,20-353,MIN,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,14,13:43,0,0,0,
31,2022-03-26,20-355,MIN,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:40,0,0,0,
32,2022-03-27,20-356,MIN,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:36,1,0,2,0.0
33,2022-03-29,20-358,MIN,PHI,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,15,12:40,1,0,0,
34,2022-03-31,20-360,MIN,PIT,L-OT,0,2,2,0,0,0,0,0,0,1,1,0,0,,11,9:17,0,0,0,
35,2022-04-10,21-005,MIN,LAK,W,1,1,2,1,0,1,0,0,0,0,1,0,5,20.0,13,13:08,0,0,0,
36,2022-04-12,21-007,MIN,EDM,W,0,1,1,2,2,0,0,0,0,1,0,0,2,0.0,18,16:41,0,0,0,
37,2022-04-14,21-009,MIN,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,15,13:41,0,0,0,
38,2022-04-16,21-011,MIN,STL,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,19,12:32,0,0,0,
39,2022-04-17,21-012,MIN,SJS,W,1,1,2,1,0,1,0,0,0,1,0,0,5,20.0,17,15:01,0,0,0,
40,2022-04-19,21-014,MIN,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,13,12:12,0,0,1,0.0
41,2022-04-21,21-016,MIN,VAN,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,15:57,0,0,0,
42,2022-04-22,21-017,MIN,SEA,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,15:49,2,0,0,
43,2022-04-24,21-019,MIN,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,8,0.0,18,15:51,0,0,0,
44,2022-04-26,21-021,MIN,ARI,L,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,15,14:55,0,0,1,0.0
45,2022-04-28,21-023,MIN,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,13:18,0,0,0,
46,2022-04-29,21-024,MIN,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,15:10,0,0,0,
47,2022-10-13,21-191,MIN,NYR,L,2,0,2,2,0,2,0,0,0,0,0,0,3,66.7,21,18:21,2,0,1,0.0
48,2022-10-15,21-193,MIN,LAK,L,0,2,2,1,0,0,0,0,0,1,1,0,3,0.0,19,20:19,2,1,1,50.0
49,2022-10-17,21-195,MIN,COL,L,0,1,1,-2,0,0,0,0,0,0,1,0,0,,18,19:28,2,0,1,0.0
50,2022-10-20,21-198,MIN,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,21,19:42,1,0,0,
51,2022-10-22,21-200,MIN,BOS,L-OT,1,0,1,0,2,0,1,0,0,0,0,0,4,25.0,19,19:15,1,0,0,
52,2022-10-25,21-203,MIN,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,20,19:05,1,0,0,
53,2022-10-27,21-205,MIN,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,16:54,1,0,2,0.0
54,2022-10-29,21-207,MIN,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,17:10,0,0,0,
55,2022-10-30,21-208,MIN,CHI,W,2,0,2,1,0,2,0,0,0,0,0,0,5,40.0,23,22:42,0,0,0,
56,2022-11-01,21-210,MIN,MTL,W,1,1,2,2,2,1,0,0,0,0,1,0,3,33.3,24,19:50,1,0,0,
57,2022-11-03,21-212,MIN,SEA,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,21,22:56,1,4,1,80.0
58,2022-11-08,21-217,MIN,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,21:45,2,2,0,100.0
