,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-03-01,22-002,CHI,SJS,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,19,12:33,0,1,3,25.0
1,2018-03-03,22-004,CHI,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,12:17,1,0,0,
2,2018-03-04,22-005,CHI,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,10:35,1,0,0,
3,2018-03-06,22-007,CHI,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:50,1,0,0,
4,2018-03-08,22-009,CHI,CAR,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,14,9:58,0,0,0,
5,2018-03-10,22-011,CHI,BOS,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,15:48,2,0,0,
6,2018-03-11,22-012,CHI,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,16,11:41,0,0,1,0.0
7,2018-03-15,22-016,CHI,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,17,13:19,0,0,0,
8,2018-03-17,22-018,CHI,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,17,12:08,0,0,0,
9,2018-03-18,22-019,CHI,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:44,0,0,0,
10,2018-03-22,22-023,CHI,VAN,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,17,13:21,1,0,0,
11,2018-03-24,22-025,CHI,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,14:42,1,0,0,
12,2018-03-26,22-027,CHI,SJS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:03,2,0,0,
13,2019-11-26,23-272,CHI,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:10,1,0,0,
14,2019-11-29,23-275,CHI,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:19,3,0,0,
15,2019-12-12,23-288,CHI,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:19,2,0,0,
16,2019-12-14,23-290,CHI,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,9:30,0,0,0,
17,2019-12-15,23-291,CHI,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,11:59,0,0,0,
18,2019-12-18,23-294,CHI,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,9:23,1,0,0,
19,2019-12-19,23-295,CHI,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:29,1,0,0,
20,2019-12-21,23-297,CHI,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,14,9:18,0,0,0,
21,2019-12-23,23-299,CHI,NJD,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,11:05,0,0,0,
22,2019-12-27,23-303,CHI,NYI,W,1,0,1,1,2,1,0,0,0,0,0,0,4,25.0,14,9:50,0,0,0,
23,2019-12-29,23-305,CHI,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,8:51,0,0,0,
24,2019-12-31,23-307,CHI,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,11:53,0,0,0,
25,2020-01-02,23-309,CHI,VAN,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,8:36,0,0,0,
26,2020-01-05,23-312,CHI,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,8:32,3,0,0,
27,2020-01-09,23-316,CHI,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,7:59,1,0,0,
28,2020-01-11,23-318,CHI,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,17,12:29,4,0,0,
29,2020-01-14,23-321,CHI,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:57,1,1,0,100.0
30,2020-01-15,23-322,CHI,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,11:48,1,0,2,0.0
31,2020-01-18,23-325,CHI,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:01,3,0,0,
32,2020-01-19,23-326,CHI,WPG,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,14,10:00,1,0,0,
33,2020-01-21,23-328,CHI,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:49,1,0,0,
34,2020-02-09,23-347,CHI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:09,1,0,0,
35,2020-02-11,23-349,CHI,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,6:51,0,0,0,
36,2020-02-15,23-353,CHI,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,15,10:24,0,0,1,0.0
37,2020-02-16,23-354,CHI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:56,0,0,0,
38,2020-02-19,23-357,CHI,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:04,1,0,0,
39,2020-02-21,23-359,CHI,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,8:31,3,0,0,
40,2020-02-23,23-361,CHI,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,9:03,1,0,0,
41,2020-02-25,23-363,CHI,STL,L,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,12,9:46,1,0,0,
42,2020-02-27,24-000,CHI,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:58,3,0,0,
43,2020-02-29,24-002,CHI,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,12:22,1,0,0,
44,2020-03-03,24-005,CHI,ANA,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,15,9:56,0,0,0,
45,2020-03-05,24-007,CHI,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:20,1,0,0,
46,2020-03-06,24-008,CHI,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:13,0,0,0,
47,2020-03-08,24-010,CHI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:57,0,0,0,
48,2020-03-11,24-013,CHI,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:29,3,0,0,
49,2021-01-13,24-321,CHI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:47,0,0,0,
50,2021-01-15,24-323,CHI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:45,1,0,0,
51,2021-01-17,24-325,CHI,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:26,1,0,0,
52,2021-01-26,24-334,CHI,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:49,1,0,0,
53,2021-01-31,24-339,CHI,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,13,10:43,2,0,0,
54,2021-02-02,24-341,CHI,CAR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,8:21,1,0,0,
55,2021-02-04,24-343,CHI,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:05,1,0,0,
56,2021-02-07,24-346,CHI,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:15,0,0,0,
57,2021-02-11,24-350,CHI,CBJ,L,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,16,13:01,0,0,0,
58,2021-02-13,24-352,CHI,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,8:33,1,0,0,
59,2021-02-23,24-362,CHI,CBJ,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,8:04,0,0,0,
60,2021-02-25,24-364,CHI,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,8:23,2,0,0,
61,2021-02-27,25-000,CHI,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:07,3,0,0,
62,2021-02-28,25-001,CHI,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,9:32,0,0,0,
63,2021-03-04,25-005,CHI,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,8:11,1,0,0,
64,2021-03-05,25-006,CHI,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,5:43,0,0,0,
65,2021-03-07,25-008,CHI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:57,1,0,0,
66,2021-03-09,25-010,CHI,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,16,10:13,3,0,0,
67,2021-03-11,25-012,CHI,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,8,5:50,1,0,0,
68,2021-03-13,25-014,CHI,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:48,0,0,0,
69,2021-03-15,25-016,CHI,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:48,0,0,0,
70,2021-03-25,25-026,CHI,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:28,3,0,0,
71,2021-03-28,25-029,CHI,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:17,0,0,0,
72,2021-04-03,25-035,CHI,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,8:53,0,0,0,
73,2021-04-20,25-052,VAN,TOR,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,22,15:54,0,0,0,
74,2021-04-22,25-054,VAN,OTT,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,13:46,1,0,0,
75,2021-04-24,25-056,VAN,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,29,15:39,2,0,0,
76,2021-04-26,25-058,VAN,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:51,3,0,0,
77,2021-04-28,25-060,VAN,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:09,0,0,0,
78,2021-04-29,25-061,VAN,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,11:49,4,0,0,
79,2021-05-01,25-063,VAN,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,14:39,2,0,1,0.0
80,2021-05-03,25-065,VAN,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:03,1,1,1,50.0
81,2021-05-04,25-066,VAN,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:15,1,0,0,
82,2021-05-06,25-068,VAN,EDM,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,28,15:18,1,1,0,100.0
83,2021-05-08,25-070,VAN,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,14:11,0,2,0,100.0
84,2021-05-10,25-072,VAN,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,26,20:15,0,0,0,
85,2021-05-11,25-073,VAN,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:11,2,0,0,
86,2021-05-13,25-075,VAN,CGY,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,25,17:27,2,1,0,100.0
87,2021-05-15,25-077,VAN,EDM,W,2,0,2,1,0,2,0,0,1,0,0,0,4,50.0,23,17:35,1,0,1,0.0
88,2021-05-16,25-078,VAN,CGY,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,18:34,1,0,2,0.0
89,2021-05-18,25-080,VAN,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:47,0,0,0,
90,2021-05-19,25-081,VAN,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:12,0,0,0,
91,2021-10-13,25-228,VAN,EDM,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,14:46,3,0,0,
92,2021-10-15,25-230,VAN,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,11:40,1,0,0,
93,2021-10-16,25-231,VAN,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,11:21,0,0,0,
94,2021-10-19,25-234,VAN,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,10:34,1,0,0,
95,2021-10-21,25-236,VAN,CHI,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,22,13:19,2,0,0,
96,2021-10-23,25-238,VAN,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:35,1,0,0,
97,2021-10-26,25-241,VAN,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,14:04,0,0,1,0.0
98,2021-10-28,25-243,VAN,PHI,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,13,9:20,0,0,0,
99,2021-12-30,25-306,VAN,LAK,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:01,3,0,0,
100,2022-01-01,25-308,VAN,SEA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,15:28,1,0,0,
101,2022-01-11,25-318,VAN,FLA,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,11:27,2,0,0,
102,2022-01-13,25-320,VAN,TBL,L,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,18,12:15,1,0,0,
103,2022-01-15,25-322,VAN,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:14,1,0,0,
104,2022-01-16,25-323,VAN,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:04,1,0,0,
105,2022-01-18,25-325,VAN,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,11:25,2,0,0,
106,2022-01-21,25-328,VAN,FLA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,28,20:20,1,0,0,
107,2022-01-23,25-330,VAN,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,14:48,1,0,0,
108,2022-01-25,25-332,VAN,EDM,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,24,16:07,0,0,0,
109,2022-01-27,25-334,VAN,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,13:42,1,0,0,
110,2022-01-29,25-336,VAN,CGY,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,12:55,1,0,0,
111,2022-01-31,25-338,VAN,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,14:28,0,0,0,
112,2022-02-01,25-339,VAN,NSH,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,9:59,1,0,0,
113,2022-02-17,25-355,VAN,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,10:58,1,0,0,
114,2022-02-19,25-357,VAN,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,13:04,0,0,0,
115,2022-02-21,25-359,VAN,SEA,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,21,12:39,1,0,0,
116,2022-02-24,25-362,VAN,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:04,1,0,0,
117,2022-02-27,26-000,VAN,NYR,W,1,1,2,1,0,0,1,0,0,1,0,0,2,50.0,20,13:34,1,0,0,
118,2022-02-28,26-001,VAN,NJD,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,9:25,0,0,0,
119,2022-03-03,26-004,VAN,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:47,2,0,0,
120,2022-03-05,26-006,VAN,TOR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,12:00,2,0,0,
121,2022-03-09,26-010,VAN,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:58,0,0,0,
122,2022-03-11,26-012,VAN,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,9:56,2,0,0,
123,2022-03-13,26-014,VAN,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,10:42,1,0,1,0.0
124,2022-03-15,26-016,VAN,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,14:46,1,0,0,
125,2022-03-17,26-018,VAN,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:21,1,1,0,100.0
126,2022-03-19,26-020,VAN,CGY,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,19,13:57,1,0,0,
127,2022-03-20,26-021,VAN,BUF,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,13:03,0,0,0,
128,2022-03-23,26-024,VAN,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,9:15,0,0,0,
129,2022-03-24,26-025,VAN,MIN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:53,0,0,0,
