,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-04-02,22-283,STL,BOS,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:17,0,0,0,
1,2023-04-04,22-285,STL,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,15:02,0,0,0,
2,2023-12-30,23-190,STL,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:32,1,0,0,
3,2024-01-04,23-195,STL,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,17:59,2,0,0,
4,2024-01-06,23-197,STL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,19:43,0,0,0,
5,2024-01-09,23-200,STL,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:49,0,0,0,
6,2024-01-11,23-202,STL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,19:49,1,0,0,
7,2024-01-13,23-204,STL,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:54,0,0,0,
8,2024-01-15,23-206,STL,PHI,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,16:40,0,0,0,
9,2024-01-18,23-209,STL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:00,0,0,0,
10,2024-01-20,23-211,STL,WSH,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,15:17,0,0,0,
11,2024-01-23,23-214,STL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:23,0,0,0,
12,2024-01-24,23-215,STL,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,19:01,0,0,0,
13,2024-01-26,23-217,STL,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,23:42,1,0,0,
14,2024-01-28,23-219,STL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:11,1,0,0,
15,2024-01-30,23-221,STL,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,21:00,1,0,0,
16,2024-02-10,23-232,STL,BUF,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,21,17:30,2,0,0,
17,2024-02-11,23-233,STL,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,16:07,0,0,0,
18,2024-02-13,23-235,STL,TOR,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,26,21:56,2,0,0,
19,2024-02-15,23-237,STL,EDM,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,25,18:11,3,0,0,
20,2024-02-17,23-239,STL,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,16:41,2,0,0,
21,2024-02-19,23-241,STL,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:46,0,0,0,
22,2024-02-22,23-244,STL,NYI,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,24,16:32,0,0,0,
23,2024-02-24,23-246,STL,DET,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,23,17:37,1,0,0,
24,2024-03-11,23-262,STL,BOS,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,13:45,2,0,0,
25,2024-03-13,23-264,STL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:57,3,0,0,
26,2024-03-16,23-267,STL,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,14:22,2,0,0,
27,2024-03-17,23-268,STL,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,14:37,2,0,0,
28,2024-03-19,23-270,STL,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,13:00,1,0,0,
29,2024-03-21,23-272,STL,OTT,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,12:22,4,0,0,
30,2024-03-23,23-274,STL,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:06,1,0,0,
31,2024-03-25,23-276,STL,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:51,3,0,0,
32,2024-03-28,23-279,STL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:12,0,0,0,
33,2024-03-30,23-281,STL,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:17,1,0,0,
34,2024-04-04,23-286,STL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,7:57,0,0,0,
35,2024-04-06,23-288,STL,SJS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,29,20:01,1,0,0,
36,2024-04-07,23-289,STL,ANA,W,1,0,1,-1,2,1,0,0,0,0,0,0,1,100.0,23,17:17,0,0,0,
37,2024-04-10,23-292,STL,CHI,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,25,22:30,1,0,0,
38,2024-04-12,23-294,STL,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,28,21:20,1,0,0,
39,2024-04-14,23-296,STL,SEA,W,0,1,1,3,0,0,0,0,0,1,0,0,1,0.0,24,22:57,1,0,0,
40,2024-04-17,23-299,STL,DAL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,22:08,0,0,0,
