,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-05-19,23-043,CGY,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,14:19,0,0,0,
1,2022-12-10,24-248,CGY,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:21,0,0,0,
2,2022-12-12,24-250,CGY,MTL,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,8:43,0,0,0,
3,2023-10-13,25-190,WSH,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,11:21,0,0,0,
4,2023-10-16,25-193,WSH,CGY,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,17,12:43,1,0,0,
5,2023-10-18,25-195,WSH,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:56,0,1,0,100.0
6,2023-10-21,25-198,WSH,MTL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,12:25,1,0,0,
7,2023-10-24,25-201,WSH,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,15:06,0,0,0,
8,2023-10-25,25-202,WSH,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,5:38,1,0,0,
9,2023-10-27,25-204,WSH,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,3:18,0,0,0,
10,2023-10-29,25-206,WSH,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:26,0,0,0,
11,2023-11-02,25-210,WSH,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:53,0,0,0,
12,2023-11-04,25-212,WSH,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,9:42,0,0,0,
13,2023-11-08,25-216,WSH,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:09,0,0,0,
14,2023-11-10,25-218,WSH,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:23,0,0,0,
15,2023-11-11,25-219,WSH,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,10:26,0,0,0,
16,2023-11-14,25-222,WSH,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,13:52,0,0,0,
17,2023-11-27,25-235,WSH,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,12:19,1,0,0,
18,2023-11-29,25-237,WSH,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:07,0,0,0,
19,2023-12-04,25-242,WSH,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,15:32,2,0,1,0.0
20,2023-12-07,25-245,WSH,DAL,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,11:40,0,0,0,
21,2023-12-14,25-252,WSH,PHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2:44,0,0,0,
22,2023-12-17,25-255,WSH,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,5:32,0,0,0,
23,2023-12-20,25-258,WSH,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:23,0,0,0,
24,2023-12-21,25-259,WSH,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,12:11,0,0,0,
25,2023-12-29,25-267,WSH,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:25,0,0,0,
26,2023-12-30,25-268,WSH,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:59,0,0,0,
27,2024-01-02,25-271,WSH,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,11,7:30,0,0,0,
28,2024-01-03,25-272,WSH,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:51,0,0,0,
29,2024-02-08,25-308,WSH,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,8:54,1,0,0,
30,2024-02-18,25-318,PIT,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:00,1,0,0,
31,2024-02-20,25-320,PIT,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,13:00,0,0,0,
32,2024-02-22,25-322,PIT,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,9:59,0,0,0,
33,2024-03-22,25-351,WSH,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,7,4:15,0,0,1,0.0
