,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-10-03,19-268,ANA,SJS,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,17,11:16,1,0,0,
1,2018-10-06,19-271,ANA,ARI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,21,16:05,4,0,0,
2,2018-10-08,19-273,ANA,DET,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,24,17:45,7,0,0,
3,2018-10-10,19-275,ANA,ARI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,15:46,3,0,1,0.0
4,2018-10-13,19-278,ANA,DAL,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,27,17:31,3,1,3,25.0
5,2018-10-14,19-279,ANA,STL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,20,14:09,2,0,1,0.0
6,2018-10-17,19-282,ANA,NYI,W,0,1,1,1,5,0,0,0,0,1,0,0,2,0.0,17,17:34,2,1,0,100.0
7,2018-10-20,19-285,ANA,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:12,0,1,0,100.0
8,2018-10-21,19-286,ANA,BUF,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,11:53,3,0,0,
9,2018-10-23,19-288,ANA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,12:43,2,0,3,0.0
10,2019-10-11,20-276,ANA,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,11:26,5,0,0,
11,2019-10-14,20-279,ANA,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,21,15:18,6,0,0,
12,2019-10-16,20-281,ANA,BUF,W,0,1,1,1,4,0,0,0,0,1,0,0,0,,19,12:11,1,0,0,
13,2019-10-18,20-283,ANA,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,13:57,2,0,0,
14,2019-10-20,20-285,ANA,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:53,1,0,0,
15,2019-10-24,20-289,ANA,DAL,L,1,0,1,-1,0,0,1,0,0,0,0,0,1,100.0,22,15:34,1,0,1,0.0
16,2019-10-26,20-291,ANA,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,24,14:32,1,0,2,0.0
17,2019-10-27,20-292,ANA,VEG,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,15:48,1,0,0,
18,2019-10-29,20-294,ANA,WPG,W,0,1,1,-1,0,0,0,0,0,1,0,0,0,,17,14:09,4,1,0,100.0
19,2019-11-01,20-297,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,14:22,1,0,2,0.0
20,2019-11-03,20-299,ANA,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:50,2,0,1,0.0
21,2019-11-05,20-301,ANA,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,20,15:29,2,0,1,0.0
22,2019-11-10,20-306,ANA,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:06,3,0,0,
23,2019-12-08,20-334,ANA,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,24,13:52,5,0,0,
24,2019-12-10,20-336,ANA,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:32,1,0,2,0.0
25,2019-12-12,20-338,ANA,LAK,L,0,1,1,0,2,0,0,0,0,0,1,0,0,,18,12:59,1,0,1,0.0
26,2019-12-14,20-340,ANA,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:04,1,0,0,
27,2019-12-17,20-343,ANA,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,19,15:14,2,1,1,50.0
28,2019-12-18,20-344,ANA,NJD,L,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,17,9:06,0,0,0,
29,2019-12-21,20-347,ANA,NYI,W,1,0,1,-2,0,0,1,0,0,0,0,0,1,100.0,23,20:01,2,0,0,
