,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2024-01-13,23-269,TBL,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:00,0,0,0,
1,2024-01-18,23-274,TBL,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,16:12,1,0,0,
2,2024-01-20,23-276,TBL,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:32,2,0,0,
3,2024-01-21,23-277,TBL,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:22,1,0,0,
4,2024-01-23,23-279,TBL,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,19,14:03,2,0,0,
5,2024-01-25,23-281,TBL,ARI,W,0,1,1,0,5,0,0,0,0,1,0,0,2,0.0,21,16:26,2,0,0,
6,2024-01-27,23-283,TBL,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,16:56,2,0,0,
7,2024-02-24,23-311,TBL,NYI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,10:13,1,0,0,
8,2024-02-25,23-312,TBL,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,10:52,2,0,0,
9,2024-02-27,23-314,TBL,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:10,0,0,0,
10,2024-02-29,23-316,TBL,BUF,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,9:27,1,0,0,
11,2024-03-02,23-318,TBL,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,14:37,2,0,0,
12,2024-03-07,23-323,TBL,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,12:19,0,0,0,
