,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-02-29,20-280,LAK,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,18:59,3,0,0,
1,2020-03-01,20-281,LAK,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,18:08,0,0,0,
2,2020-03-05,20-285,LAK,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:42,0,0,0,
3,2020-03-07,20-287,LAK,MIN,W,0,0,0,2,0,0,0,0,0,0,0,0,4,0.0,21,18:23,4,0,0,
4,2020-03-09,20-289,LAK,COL,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,22,18:52,3,0,0,
5,2020-03-11,20-291,LAK,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,18:48,0,0,0,
6,2021-01-14,21-234,LAK,MIN,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,30,21:42,1,0,0,
7,2021-01-16,21-236,LAK,MIN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,20:03,1,0,0,
8,2021-01-19,21-239,LAK,COL,L,0,1,1,1,2,0,0,0,0,1,0,0,0,,23,18:56,0,0,0,
9,2021-01-21,21-241,LAK,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,27,24:54,1,0,0,
10,2021-01-23,21-243,LAK,STL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,23,19:18,1,0,0,
11,2021-01-24,21-244,LAK,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,21:30,2,0,0,
12,2021-01-26,21-246,LAK,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,21:02,2,0,0,
13,2021-01-28,21-248,LAK,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,24,21:42,0,0,0,
14,2021-02-02,21-253,LAK,ANA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,22:12,1,0,0,
15,2021-02-05,21-256,LAK,VEG,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,22,22:44,2,0,0,
16,2021-02-07,21-258,LAK,VEG,L,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,24,18:14,0,0,0,
17,2021-02-09,21-260,LAK,SJS,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,0,,28,23:46,2,0,0,
18,2021-02-11,21-262,LAK,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,28,22:05,1,0,0,
19,2021-02-16,21-267,LAK,MIN,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,25,21:49,1,0,0,
20,2021-02-18,21-269,LAK,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,20:39,1,0,0,
21,2021-02-20,21-271,LAK,ARI,W,0,1,1,1,0,0,0,0,0,0,0,1,0,,24,22:09,2,0,0,
22,2021-02-22,21-273,LAK,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,21:03,4,0,0,
23,2021-02-27,21-278,LAK,MIN,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,25:09,2,0,0,
24,2021-03-03,21-282,LAK,ARI,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,16:59,0,0,0,
25,2021-03-05,21-284,LAK,STL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,22:33,0,0,0,
26,2021-03-06,21-285,LAK,STL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,24,19:44,0,0,0,
27,2021-03-08,21-287,LAK,ANA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,20:45,1,0,0,
28,2021-03-10,21-289,LAK,ANA,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,23,19:31,2,0,0,
29,2021-03-12,21-291,LAK,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,26,19:09,0,0,0,
30,2021-03-14,21-293,LAK,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,24,20:16,0,0,0,
31,2021-03-17,21-296,LAK,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,21:43,1,0,0,
32,2021-03-19,21-298,LAK,VEG,L,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,24,19:51,3,0,0,
33,2021-03-21,21-300,LAK,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,23:39,1,0,0,
34,2021-03-22,21-301,LAK,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,18:31,1,0,0,
35,2021-03-24,21-303,LAK,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,24:08,0,0,0,
36,2021-03-29,21-308,LAK,VEG,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,20:07,0,0,0,
37,2021-03-31,21-310,LAK,VEG,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,24,23:37,1,0,0,
38,2021-04-02,21-312,LAK,SJS,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,22,19:27,2,0,0,
39,2021-04-03,21-313,LAK,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,23:00,0,0,0,
40,2021-04-05,21-315,LAK,ARI,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,21,16:56,2,0,0,
41,2021-04-07,21-317,LAK,ARI,W,0,0,0,3,2,0,0,0,0,0,0,0,1,0.0,27,28:54,2,0,0,
42,2021-04-09,21-319,LAK,SJS,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,26,21:59,0,0,0,
43,2021-04-10,21-320,LAK,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,20:17,1,0,0,
44,2021-04-12,21-322,LAK,VEG,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,20:37,0,0,0,
45,2021-04-14,21-324,LAK,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,24:21,0,0,0,
46,2021-04-20,21-330,LAK,ANA,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,25,21:19,1,0,0,
47,2021-04-23,21-333,LAK,MIN,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,21,17:29,1,0,0,
48,2021-04-24,21-334,LAK,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,19:33,1,0,0,
49,2021-04-26,21-336,LAK,ANA,W,1,0,1,2,0,1,0,0,1,0,0,0,1,100.0,18,16:53,0,0,0,
