,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-12-19,20-287,MTL,DAL,L,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,19,12:10,0,1,2,33.3
1,2015-12-21,20-289,MTL,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,5:58,0,0,0,
2,2016-02-27,20-357,MTL,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,19,10:17,4,6,8,42.9
3,2016-02-29,20-359,MTL,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,13:37,4,9,5,64.3
4,2016-03-02,20-361,MTL,ANA,L-SO,0,0,0,1,5,0,0,0,0,0,0,0,1,0.0,18,13:26,3,4,4,50.0
5,2016-03-03,20-362,MTL,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:54,3,4,3,57.1
6,2016-03-05,20-364,MTL,WPG,L,0,0,0,-3,0,0,0,0,0,0,0,0,6,0.0,18,12:54,1,4,4,50.0
7,2016-03-08,21-001,MTL,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:24,4,2,4,33.3
8,2016-03-10,21-003,MTL,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,10:57,4,7,2,77.8
9,2016-03-12,21-005,MTL,MIN,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,20,12:29,6,3,5,37.5
10,2016-03-15,21-008,MTL,FLA,L,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,16,11:07,2,6,8,42.9
11,2016-03-16,21-009,MTL,BUF,W,0,0,0,0,14,0,0,0,0,0,0,0,1,0.0,12,8:58,2,5,3,62.5
12,2016-03-19,21-012,MTL,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,21,15:24,3,9,9,50.0
13,2016-03-20,21-013,MTL,CGY,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,22,13:39,4,3,5,37.5
14,2016-03-22,21-015,MTL,ANA,W,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,19,12:18,2,4,5,44.4
15,2016-03-24,21-017,MTL,DET,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,19,11:33,0,4,6,40.0
16,2016-03-26,21-019,MTL,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:16,2,5,1,83.3
