,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2013-01-30,20-189,COL,VAN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:29,2,3,3,50.0
1,2013-01-31,20-190,COL,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,8:50,0,2,3,40.0
2,2013-02-02,20-192,COL,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,8:42,1,0,1,0.0
3,2013-02-04,20-194,COL,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,11:26,0,1,2,33.3
4,2013-02-06,20-196,COL,ANA,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,14,11:11,1,3,5,37.5
5,2013-02-11,20-201,COL,PHX,L-OT,0,0,0,-1,2,0,0,0,0,,,,0,,13,8:33,0,0,2,0.0
6,2014-12-01,22-129,COL,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:51,0,2,2,50.0
7,2014-12-04,22-132,COL,CGY,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,0,,10,5:34,0,5,5,50.0
8,2014-12-05,22-133,COL,WPG,L,0,0,0,-1,10,0,0,0,0,0,0,0,0,,8,4:52,0,2,4,33.3
9,2016-04-09,23-259,ANA,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:21,0,2,2,50.0
10,2016-10-23,24-090,ANA,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:06,0,3,2,60.0
11,2016-10-25,24-092,ANA,SJS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:42,0,3,5,37.5
12,2016-10-26,24-093,ANA,NSH,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,16,12:26,0,4,6,40.0
13,2016-10-28,24-095,ANA,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:18,2,4,5,44.4
14,2016-11-02,24-100,ANA,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,10:29,1,3,2,60.0
15,2016-11-04,24-102,ANA,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,23,16:34,1,8,10,44.4
16,2016-11-10,24-108,ANA,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,5:58,0,3,3,50.0
17,2016-11-12,24-110,ANA,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,8:10,2,4,9,30.8
18,2016-11-15,24-113,ANA,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:30,0,2,5,28.6
19,2016-12-29,24-157,FLA,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:25,1,6,6,50.0
20,2016-12-31,24-159,FLA,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,12:46,2,1,4,20.0
21,2017-01-04,24-163,FLA,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,13:21,1,3,3,50.0
22,2017-01-06,24-165,FLA,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:06,1,7,2,77.8
23,2017-01-07,24-166,FLA,BOS,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,13:08,1,0,8,0.0
24,2017-01-09,24-168,FLA,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,12:28,3,3,5,37.5
25,2017-01-11,24-170,FLA,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,14:18,1,6,3,66.7
26,2017-01-13,24-172,FLA,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:16,2,1,6,14.3
27,2017-01-14,24-173,FLA,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,15:57,1,11,6,64.7
28,2017-01-17,24-176,FLA,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:36,1,5,3,62.5
29,2017-01-18,24-177,FLA,EDM,L-OT,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,21,16:19,0,10,3,76.9
30,2017-01-20,24-179,FLA,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,16:30,2,3,6,33.3
31,2017-01-23,24-182,FLA,ARI,L-OT,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,21,15:13,1,5,12,29.4
32,2017-01-26,24-185,FLA,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:52,1,8,4,66.7
33,2017-01-31,24-190,FLA,OTT,W,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,25,14:50,0,4,8,33.3
34,2017-02-03,24-193,FLA,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:57,1,0,5,0.0
35,2017-02-09,24-199,FLA,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,9:17,0,2,4,33.3
36,2017-02-11,24-201,FLA,NSH,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,17,9:57,2,5,5,50.0
37,2017-02-15,24-205,FLA,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,10:27,2,6,6,50.0
38,2017-02-20,24-210,FLA,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,12:50,3,1,8,11.1
39,2017-02-22,24-212,FLA,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:44,2,5,6,45.5
40,2017-02-24,24-214,FLA,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,6:55,0,1,2,33.3
41,2017-02-26,24-216,FLA,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:07,0,3,2,60.0
42,2017-02-28,24-218,FLA,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:44,2,2,3,40.0
43,2017-03-07,24-225,FLA,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,7:16,2,5,6,45.5
44,2017-04-01,24-250,FLA,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:33,1,1,1,50.0
45,2017-04-03,24-252,FLA,MTL,L,0,1,1,1,5,0,0,0,0,1,0,0,1,0.0,15,10:32,0,0,1,0.0
46,2017-04-06,24-255,FLA,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:59,0,0,1,0.0
47,2017-04-08,24-257,FLA,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,5:14,0,0,0,
48,2019-11-20,27-118,WSH,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:12,2,2,3,40.0
49,2019-11-23,27-121,WSH,VAN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:01,1,1,0,100.0
50,2021-01-26,28-185,WSH,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,13:33,0,1,5,16.7
51,2021-01-28,28-187,WSH,NYI,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,13,10:47,0,3,4,42.9
52,2021-01-30,28-189,WSH,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,7:22,1,3,3,50.0
53,2021-02-01,28-191,WSH,BOS,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,10,7:14,0,2,2,50.0
54,2021-02-04,28-194,WSH,NYR,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,12,10:03,0,1,5,16.7
55,2021-11-24,29-122,WSH,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,13,8:43,0,3,3,50.0
56,2021-11-26,29-124,WSH,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,10:01,0,4,5,44.4
57,2021-11-28,29-126,WSH,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:43,1,2,2,50.0
58,2021-11-30,29-128,WSH,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:12,0,5,2,71.4
59,2021-12-11,29-139,WSH,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,12:05,3,6,4,60.0
60,2021-12-15,29-143,WSH,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:48,0,0,2,0.0
61,2021-12-17,29-145,WSH,WPG,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,20,14:02,0,8,4,66.7
62,2022-01-02,29-161,WSH,NJD,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,12,8:36,0,3,7,30.0
63,2022-01-07,29-166,WSH,STL,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,10:23,1,5,1,83.3
64,2022-01-08,29-167,WSH,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:24,2,5,1,83.3
65,2024-02-06,31-196,WSH,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:49,0,2,3,40.0
66,2024-02-08,31-198,WSH,FLA,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,9:19,1,2,1,66.7
67,2024-02-10,31-200,WSH,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,11:11,2,3,2,60.0
68,2024-02-11,31-201,WSH,VAN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,10:20,0,2,2,50.0
69,2024-02-13,31-203,WSH,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:19,0,0,6,0.0
70,2024-02-17,31-207,WSH,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,16,13:06,0,3,5,37.5
71,2024-02-20,31-210,WSH,NJD,W,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,23,15:46,0,0,6,0.0
72,2024-02-22,31-212,WSH,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:15,1,3,3,50.0
73,2024-02-24,31-214,WSH,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:27,0,2,4,33.3
74,2024-02-26,31-216,WSH,OTT,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,21,15:52,0,7,7,50.0
75,2024-02-27,31-217,WSH,DET,L,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,18,12:55,0,5,3,62.5
76,2024-03-01,31-220,WSH,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:30,1,1,2,33.3
77,2024-03-03,31-222,WSH,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:09,3,4,3,57.1
78,2024-03-07,31-226,WSH,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,19,14:14,0,8,5,61.5
79,2024-03-09,31-228,WSH,CHI,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,14,10:08,0,3,4,42.9
80,2024-03-11,31-230,WSH,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:49,1,5,8,38.5
81,2024-03-20,31-239,WSH,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:40,0,2,0,100.0
82,2024-03-22,31-241,WSH,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:04,0,1,0,100.0
83,2024-03-26,31-245,WSH,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:27,0,0,0,
84,2024-03-28,31-247,WSH,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:03,1,4,3,57.1
85,2024-03-30,31-249,WSH,BOS,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,14,9:03,2,0,0,
86,2024-04-02,31-252,WSH,BUF,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,16:43,2,0,1,0.0
87,2024-04-04,31-254,WSH,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,13,9:15,1,1,0,100.0
88,2024-04-05,31-255,WSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:06,0,0,0,
89,2024-04-07,31-257,WSH,OTT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:46,1,0,0,
