,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-04-13,21-117,CBJ,PIT,W,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,15,11:56,0,0,0,
1,2023-04-14,21-118,CBJ,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,15:07,0,0,0,
2,2024-03-14,22-088,CBJ,OTT,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,9:48,0,0,0,
3,2024-03-16,22-090,CBJ,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,12:13,0,0,0,
4,2024-03-17,22-091,CBJ,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:14,0,0,0,
5,2024-03-19,22-093,CBJ,DET,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,13,10:08,0,0,2,0.0
6,2024-03-22,22-096,CBJ,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,12:05,1,0,0,
7,2024-03-23,22-097,CBJ,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:14,1,0,0,
8,2024-03-26,22-100,CBJ,ARI,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,17,13:59,0,1,1,50.0
9,2024-03-28,22-102,CBJ,PIT,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,12:34,0,0,0,
10,2024-03-30,22-104,CBJ,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:20,1,0,0,
11,2024-04-01,22-106,CBJ,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,12:47,1,0,0,
12,2024-04-04,22-109,CBJ,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,18:17,0,0,0,
13,2024-04-06,22-111,CBJ,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,16:24,1,0,0,
14,2024-04-07,22-112,CBJ,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:52,1,0,0,
15,2024-04-09,22-114,CBJ,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,14:53,0,0,0,
16,2024-04-11,22-116,CBJ,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,18,16:45,3,0,0,
17,2024-04-13,22-118,CBJ,NSH,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,16,13:06,0,0,0,
18,2024-04-16,22-121,CBJ,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,15:58,0,0,0,
