,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-02-20,21-358,FLA,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,14:47,1,0,0,
1,2016-02-28,22-001,FLA,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:48,0,0,0,
2,2016-04-09,22-042,FLA,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,22:01,0,0,0,
3,2016-10-13,22-229,FLA,NJD,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,23,22:12,1,0,0,
4,2016-10-15,22-231,FLA,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,19,17:28,0,0,0,
5,2016-10-18,22-234,FLA,TBL,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,22,20:17,1,0,0,
6,2016-10-20,22-236,FLA,WSH,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,21,20:08,1,0,0,
7,2016-10-22,22-238,FLA,COL,W,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,21,21:02,0,0,0,
8,2016-10-25,22-241,FLA,PIT,L,0,1,1,-2,0,0,0,0,0,0,1,0,3,0.0,20,17:34,1,0,0,
9,2016-10-27,22-243,FLA,TOR,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,21,19:44,1,1,0,100.0
10,2016-10-30,22-246,FLA,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,20:59,0,0,0,
11,2016-11-01,22-248,FLA,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,19:03,0,0,0,
12,2016-11-03,22-250,FLA,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,20:03,2,0,0,
13,2016-11-05,22-252,FLA,WSH,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,19,18:48,0,0,0,
14,2016-11-07,22-254,FLA,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,17:40,1,0,0,
15,2016-11-10,22-257,FLA,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,19:44,1,0,0,
16,2016-11-12,22-259,FLA,NYI,W,0,2,2,2,2,0,0,0,0,2,0,0,2,0.0,17,15:24,0,0,0,
17,2016-11-15,22-262,FLA,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,17:37,1,0,0,
18,2016-11-17,22-264,FLA,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,23,19:55,4,0,0,
19,2016-11-19,22-266,FLA,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,23:06,1,0,0,
20,2016-11-20,22-267,FLA,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,25,20:57,1,0,0,
21,2016-11-22,22-269,FLA,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,20:41,1,0,0,
22,2016-11-26,22-273,FLA,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,21:28,1,0,0,
23,2016-11-27,22-274,FLA,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,17:14,1,0,0,
24,2016-11-29,22-276,FLA,CHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,20:02,1,0,0,
25,2016-12-01,22-278,FLA,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,20:08,0,0,0,
26,2016-12-03,22-280,FLA,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,19:49,0,0,0,
27,2016-12-05,22-282,FLA,BOS,L-OT,0,1,1,-2,2,0,0,0,0,1,0,0,1,0.0,32,24:13,3,0,0,
28,2016-12-06,22-283,FLA,PHI,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,25,20:08,1,0,0,
29,2016-12-08,22-285,FLA,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,20:56,1,0,0,
30,2016-12-10,22-287,FLA,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,24,22:49,0,0,0,
31,2016-12-13,22-290,FLA,MIN,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,27,19:50,0,0,0,
32,2016-12-15,22-292,FLA,WPG,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,5,0.0,29,22:01,0,0,0,
33,2016-12-16,22-293,FLA,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,26,20:33,0,0,0,
34,2016-12-20,22-297,FLA,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,25,24:07,0,0,0,
35,2016-12-22,22-299,FLA,BOS,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,25,24:29,1,0,0,
