,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-13,18-110,MTL,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:48,0,0,0,
1,2016-10-18,18-115,MTL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:30,3,0,0,
2,2016-10-20,18-117,MTL,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,10:59,4,0,0,
3,2017-04-08,18-287,MTL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,17:13,3,0,0,
4,2017-10-06,19-103,TBL,FLA,W,0,1,1,1,2,0,0,0,0,1,0,0,4,0.0,22,16:03,0,0,0,
5,2017-10-07,19-104,TBL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:54,0,0,0,
6,2017-10-09,19-106,TBL,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:40,1,0,0,
7,2017-10-12,19-109,TBL,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,5:22,0,0,0,
8,2017-10-14,19-111,TBL,STL,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,16,10:27,3,0,0,
9,2017-10-16,19-113,TBL,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:37,0,0,0,
10,2017-10-17,19-114,TBL,NJD,L-SO,0,2,2,1,0,0,0,0,0,1,1,0,2,0.0,19,13:38,0,0,0,
11,2017-10-19,19-116,TBL,CBJ,W,2,0,2,2,0,2,0,0,1,0,0,0,3,66.7,17,12:49,1,0,0,
12,2017-10-21,19-118,TBL,PIT,W,1,1,2,1,0,0,1,0,0,1,0,0,1,100.0,19,16:56,2,0,0,
13,2017-10-24,19-121,TBL,CAR,W,1,0,1,1,0,1,0,0,1,0,0,0,5,20.0,20,14:23,2,0,0,
14,2017-10-26,19-123,TBL,DET,W,0,1,1,0,4,0,0,0,0,0,1,0,1,0.0,20,15:51,1,0,0,
15,2017-10-28,19-125,TBL,ANA,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,16:16,2,0,0,
16,2017-10-30,19-127,TBL,FLA,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,20,13:52,0,0,0,
17,2017-11-02,19-130,TBL,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:32,0,0,0,
18,2017-11-04,19-132,TBL,CBJ,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,16,13:03,1,0,0,
19,2017-11-08,19-136,TBL,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,15:26,3,0,0,
20,2017-11-09,19-137,TBL,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,14:01,2,0,0,
21,2017-11-12,19-140,TBL,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,14:18,1,0,0,
22,2017-11-16,19-144,TBL,DAL,W,1,1,2,3,0,1,0,0,1,1,0,0,3,33.3,20,14:16,1,0,0,
23,2017-11-18,19-146,TBL,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,18:37,1,0,0,
24,2017-11-22,19-150,TBL,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:54,1,0,0,
25,2017-11-24,19-152,TBL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:41,1,0,0,
26,2017-11-25,19-153,TBL,PIT,L,0,1,1,-1,2,0,0,0,0,0,1,0,2,0.0,21,17:17,1,0,0,
27,2017-11-28,19-156,TBL,BUF,W,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,15,12:38,0,0,0,
28,2017-11-29,19-157,TBL,BOS,L,0,1,1,0,2,0,0,0,0,0,1,0,0,,24,16:30,2,0,0,
29,2017-12-02,19-160,TBL,SJS,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,25,19:23,1,0,0,
30,2017-12-05,19-163,TBL,NYI,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,20,15:19,1,0,0,
31,2017-12-07,19-165,TBL,COL,W,0,0,0,2,2,0,0,0,0,0,0,0,2,0.0,20,14:17,1,0,0,
32,2017-12-09,19-167,TBL,WPG,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,24,19:23,0,0,0,
33,2017-12-12,19-170,TBL,STL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,21:30,0,0,0,
34,2017-12-14,19-172,TBL,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,4,0.0,24,17:37,4,0,0,
35,2017-12-16,19-174,TBL,COL,W,1,1,2,1,0,1,0,0,1,1,0,0,3,33.3,21,15:37,2,0,0,
36,2017-12-19,19-177,TBL,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,18,14:11,1,0,0,
37,2017-12-21,19-179,TBL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,20:38,0,0,0,
38,2017-12-23,19-181,TBL,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,18,15:20,0,0,0,
39,2017-12-28,19-186,TBL,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,18:49,1,0,0,
40,2017-12-29,19-187,TBL,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,15:53,2,0,0,
41,2017-12-31,19-189,TBL,CBJ,W,0,1,1,3,2,0,0,0,0,1,0,0,1,0.0,24,17:57,0,0,0,
42,2018-01-02,19-191,TBL,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,24,17:27,2,0,0,
43,2018-01-04,19-193,TBL,MTL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,21:37,3,0,0,
44,2018-01-06,19-195,TBL,OTT,L,0,1,1,-4,2,0,0,0,0,0,1,0,3,0.0,23,15:59,3,0,0,
45,2018-01-07,19-196,TBL,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,15:08,2,0,0,
46,2018-01-09,19-198,TBL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:31,1,0,0,
47,2018-01-11,19-200,TBL,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,21:07,2,0,0,
48,2018-01-18,19-207,TBL,VEG,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,24,21:06,1,0,0,
49,2018-01-20,19-209,TBL,MIN,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,22,19:13,3,0,0,
50,2018-01-22,19-211,TBL,CHI,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,20,17:08,3,0,0,
51,2018-01-30,19-219,TBL,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,20:25,2,0,0,
52,2018-02-01,19-221,TBL,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,13:04,1,0,0,
53,2018-02-03,19-223,TBL,VAN,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,17,12:33,0,0,0,
54,2018-02-05,19-225,TBL,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,14:38,1,0,0,
55,2018-02-08,19-228,TBL,VAN,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,19,16:03,1,0,0,
56,2018-02-10,19-230,TBL,LAK,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,17:14,0,0,0,
57,2018-02-12,19-232,TBL,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,15:58,2,0,0,
58,2018-02-13,19-233,TBL,BUF,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,14,12:09,2,0,0,
59,2018-02-15,19-235,TBL,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,16:47,0,0,0,
60,2018-02-17,19-237,TBL,NJD,L,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,21,15:31,0,0,0,
61,2018-02-20,19-240,TBL,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:34,0,0,0,
62,2018-02-22,19-242,TBL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,15:06,0,0,0,
63,2018-02-24,19-244,TBL,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:25,2,0,0,
64,2018-02-26,19-246,TBL,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,17,12:31,0,0,0,
65,2018-02-28,19-248,TBL,BUF,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,16:07,0,0,0,
66,2018-03-01,19-249,TBL,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:55,3,0,0,
67,2018-03-03,19-251,TBL,PHI,W,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,21,14:25,2,0,0,
68,2018-03-06,19-254,TBL,FLA,W,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0,19,17:29,2,0,0,
69,2018-03-08,19-256,TBL,NYR,W,0,2,2,1,2,0,0,0,0,2,0,0,4,0.0,22,15:57,1,0,0,
70,2018-03-10,19-258,TBL,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,19,16:26,1,0,0,
71,2018-03-13,19-261,TBL,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,16:20,2,0,0,
72,2018-03-17,19-265,TBL,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,17,14:04,2,0,0,
73,2018-03-18,19-266,TBL,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,13:41,1,0,0,
74,2018-03-20,19-268,TBL,TOR,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,13:22,0,0,0,
75,2018-03-22,19-270,TBL,NYI,W,1,1,2,3,0,0,1,0,0,1,0,0,1,100.0,11,7:58,0,0,0,
76,2018-03-24,19-272,TBL,NJD,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,22,18:00,1,0,0,
77,2018-03-26,19-274,TBL,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:39,1,0,0,
78,2018-03-29,19-277,TBL,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,12:07,2,0,0,
79,2018-03-30,19-278,TBL,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,21,13:46,0,0,0,
