,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2023-01-24,23-202,ARI,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:04,3,0,1,0.0
1,2023-03-03,23-240,ARI,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:49,3,0,0,
2,2023-03-12,23-249,ARI,MIN,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,13,6:03,0,0,0,
3,2023-03-22,23-259,ARI,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:19,1,0,0,
4,2023-03-24,23-261,ARI,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,7:56,2,0,0,
5,2023-03-26,23-263,ARI,COL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,3:50,0,0,0,
6,2023-03-27,23-264,ARI,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,8,4:01,1,0,0,
7,2023-03-31,23-268,ARI,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:00,1,0,0,
8,2023-04-01,23-269,ARI,SJS,L,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,14,8:54,4,0,0,
9,2023-04-03,23-271,ARI,SEA,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,13,9:30,1,1,0,100.0
10,2023-04-06,23-274,ARI,SEA,L,0,0,0,0,17,0,0,0,0,0,0,0,1,0.0,13,8:56,1,0,0,
11,2023-04-08,23-276,ARI,ANA,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,15,9:05,4,0,1,0.0
12,2023-04-10,23-278,ARI,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:29,4,0,0,
13,2023-04-13,23-281,ARI,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:35,1,0,0,
14,2023-11-18,24-135,ARI,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:47,1,0,0,
15,2023-11-20,24-137,ARI,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,6:33,3,0,0,
16,2023-11-25,24-142,ARI,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,5:36,1,0,0,
17,2023-11-28,24-145,ARI,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:02,3,1,0,100.0
18,2023-12-02,24-149,ARI,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:07,4,0,0,
19,2023-12-04,24-151,ARI,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,8:55,1,0,2,0.0
20,2023-12-07,24-154,ARI,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:24,1,0,1,0.0
21,2023-12-09,24-156,ARI,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:10,2,0,0,
22,2023-12-11,24-158,ARI,BUF,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,11,8:22,1,0,0,
23,2023-12-12,24-159,ARI,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:53,3,0,0,
