,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-04-19,24-083,MIN,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:33,3,0,0,
1,2022-04-21,24-085,MIN,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,9,7:21,4,0,0,
2,2023-12-12,25-320,TBL,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,6:56,2,0,0,
3,2024-01-25,25-364,TBL,ARI,W,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,14,8:29,3,0,0,
4,2024-01-27,26-001,TBL,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:50,2,0,0,
5,2024-02-07,26-012,TBL,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:36,2,0,0,
6,2024-02-08,26-013,TBL,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,9:39,2,0,0,
7,2024-02-10,26-015,TBL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:13,0,0,0,
8,2024-02-13,26-018,TBL,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:57,3,0,0,
9,2024-02-15,26-020,TBL,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,7:15,1,0,0,
10,2024-02-17,26-022,TBL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,13:26,4,0,0,
11,2024-02-19,26-024,TBL,OTT,L,1,0,1,0,2,1,0,0,0,0,0,0,2,50.0,21,14:37,5,0,0,
12,2024-02-22,26-027,TBL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,12:28,5,0,0,
13,2024-02-24,26-029,TBL,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,12:27,4,0,0,
14,2024-02-25,26-030,TBL,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,14:12,2,0,0,
15,2024-02-27,26-032,TBL,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,15:09,6,0,0,
16,2024-02-29,26-034,TBL,BUF,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,12:38,3,0,0,
17,2024-03-02,26-036,TBL,MTL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,25,15:49,2,0,1,0.0
18,2024-03-07,26-041,TBL,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:52,2,0,0,
19,2024-03-14,26-048,TBL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:31,4,0,0,
20,2024-03-16,26-050,TBL,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:50,0,0,0,
21,2024-03-23,26-057,TBL,LAK,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,11:50,4,0,0,
22,2024-03-27,26-061,TBL,BOS,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,9:58,2,0,0,
23,2024-03-30,26-064,TBL,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:37,4,0,0,
24,2024-04-01,26-066,TBL,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:02,2,0,2,0.0
25,2024-04-03,26-068,TBL,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,12:01,4,0,1,0.0
26,2024-04-04,26-069,TBL,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:41,1,0,0,
27,2024-04-06,26-071,TBL,PIT,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,12:23,2,0,0,
28,2024-04-09,26-074,TBL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:59,7,0,0,
29,2024-04-13,26-078,TBL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:02,2,0,0,
30,2024-04-15,26-080,TBL,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,10:02,2,0,0,
31,2024-04-17,26-082,TBL,TOR,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,20,12:10,6,0,0,
