,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-14,20-191,DET,TBL,L-OT,0,2,2,1,2,0,0,0,0,2,0,0,0,,25,20:21,3,0,0,
1,2021-10-16,20-193,DET,VAN,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,31,22:55,0,0,0,
2,2021-10-19,20-196,DET,CBJ,W,0,0,0,2,2,0,0,0,0,0,0,0,2,0.0,24,21:27,1,0,0,
3,2021-10-21,20-198,DET,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,19:08,0,0,0,
4,2021-10-23,20-200,DET,MTL,L,0,1,1,-2,0,0,0,0,0,0,1,0,1,0.0,23,24:03,0,0,0,
5,2021-10-24,20-201,DET,CHI,W,0,1,1,-1,2,0,0,0,0,0,1,0,1,0.0,29,23:19,1,0,0,
6,2021-10-27,20-204,DET,WSH,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,27,21:41,0,0,0,
7,2021-10-29,20-206,DET,FLA,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,28,26:31,4,0,0,
8,2021-10-30,20-207,DET,TOR,L,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,27,22:27,0,0,0,
9,2021-11-02,20-210,DET,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,24,22:28,0,0,0,
10,2021-11-04,20-212,DET,BOS,L,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,29,25:22,2,0,0,
11,2021-11-06,20-214,DET,BUF,W,1,0,1,3,0,1,0,0,1,0,0,0,1,100.0,27,21:50,1,0,0,
12,2021-11-07,20-215,DET,VEG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,22:58,2,0,0,
13,2021-11-09,20-217,DET,EDM,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,27,19:25,2,0,0,
14,2021-11-11,20-219,DET,WSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,27,23:16,2,0,0,
15,2021-11-13,20-221,DET,MTL,W,0,1,1,2,2,0,0,0,0,1,0,0,3,0.0,26,20:30,2,0,0,
16,2021-11-15,20-223,DET,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,28,22:41,2,0,0,
17,2021-11-16,20-224,DET,DAL,L,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,27,24:27,1,0,0,
18,2021-11-18,20-226,DET,VEG,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,23,18:59,1,0,0,
19,2021-11-20,20-228,DET,ARI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,22:35,1,0,0,
20,2021-11-24,20-232,DET,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,26,22:13,3,0,0,
21,2021-11-27,20-235,DET,BUF,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,25,21:05,0,0,0,
22,2021-11-30,20-238,DET,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,22:52,5,0,0,
23,2021-12-01,20-239,DET,SEA,W,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,24,23:00,1,0,0,
24,2021-12-04,20-242,DET,NYI,W,1,0,1,2,0,1,0,0,1,0,0,0,3,33.3,26,27:19,1,0,0,
25,2021-12-07,20-245,DET,NSH,L,0,1,1,-2,0,0,0,0,0,0,1,0,1,0.0,24,19:50,2,0,0,
26,2021-12-09,20-247,DET,STL,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,24,21:59,1,0,0,
27,2021-12-10,20-248,DET,COL,L,0,1,1,1,2,0,0,0,0,1,0,0,5,0.0,27,23:01,1,0,0,
28,2021-12-14,20-252,DET,NYI,W,0,1,1,1,0,0,0,0,0,0,1,0,5,0.0,24,22:28,0,0,0,
29,2021-12-16,20-254,DET,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,21,20:15,1,0,0,
30,2021-12-18,20-256,DET,NJD,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,27,24:31,0,0,0,
31,2021-12-31,20-269,DET,WSH,L,0,0,0,-1,4,0,0,0,0,0,0,0,3,0.0,28,22:39,3,0,0,
32,2022-01-02,20-271,DET,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,22:44,3,0,0,
33,2022-01-04,20-273,DET,SJS,W,0,1,1,2,0,0,0,0,0,0,0,1,1,0.0,27,21:08,4,0,0,
34,2022-01-08,20-277,DET,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,22:11,1,0,0,
35,2022-01-09,20-278,DET,ANA,L-SO,0,1,1,1,0,0,0,0,0,0,1,0,5,0.0,28,24:55,4,0,0,
36,2022-01-11,20-280,DET,SJS,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,20,19:07,4,0,0,
37,2022-01-13,20-282,DET,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,26,23:29,0,0,0,
38,2022-01-15,20-284,DET,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,28,21:54,0,0,0,
39,2022-01-17,20-286,DET,BUF,W,0,1,1,-1,0,0,0,0,0,0,0,1,2,0.0,26,22:01,1,0,0,
40,2022-01-21,20-290,DET,DAL,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,5,0.0,26,23:01,0,0,0,
41,2022-01-22,20-291,DET,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,26,26:32,1,0,0,
42,2022-01-26,20-295,DET,CHI,L,1,0,1,-2,0,0,1,0,0,0,0,0,1,100.0,21,22:42,0,0,0,
43,2022-01-28,20-297,DET,PIT,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,26,24:45,2,0,0,
44,2022-01-29,20-298,DET,TOR,L,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,21,23:42,1,0,0,
45,2022-01-31,20-300,DET,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,25:35,1,0,0,
46,2022-02-02,20-302,DET,LAK,L,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,23,22:39,3,0,0,
47,2022-02-09,20-309,DET,PHI,W,0,2,2,3,0,0,0,0,0,1,1,0,3,0.0,26,23:02,2,0,0,
48,2022-02-12,20-312,DET,PHI,W,1,0,1,2,0,0,1,0,1,0,0,0,2,50.0,28,24:53,2,0,0,
49,2022-02-14,20-314,DET,MIN,L,0,2,2,1,0,0,0,0,0,1,1,0,4,0.0,27,27:22,2,0,0,
50,2022-02-17,20-317,DET,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,26,26:07,0,0,0,
51,2022-02-23,20-323,DET,COL,L,0,2,2,-2,0,0,0,0,0,1,1,0,2,0.0,23,24:13,1,0,0,
52,2022-02-26,20-326,DET,TOR,L,0,2,2,-1,0,0,0,0,0,2,0,0,3,0.0,26,25:11,0,0,0,
53,2022-03-01,20-329,DET,CAR,W,0,1,1,1,0,0,0,0,0,0,1,0,2,0.0,31,25:09,2,0,0,
54,2022-03-04,20-332,DET,TBL,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,26,25:16,5,0,0,
55,2022-03-05,20-333,DET,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,24:06,3,0,0,
56,2022-03-08,20-336,DET,ARI,L,0,0,0,-4,4,0,0,0,0,0,0,0,3,0.0,22,20:07,3,0,0,
57,2022-03-10,20-338,DET,MIN,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,24:29,8,0,0,
58,2022-03-12,20-340,DET,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,25:04,0,0,0,
59,2022-03-15,20-343,DET,EDM,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,27,21:31,2,0,0,
60,2022-03-17,20-345,DET,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,23:58,2,0,0,
61,2022-03-19,20-347,DET,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,28,21:55,1,0,0,
62,2022-03-22,20-350,DET,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,22:25,1,0,0,
63,2022-03-24,20-352,DET,NYI,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,21,28:07,1,0,0,
64,2022-03-26,20-354,DET,TBL,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,25:57,2,0,0,
65,2022-03-27,20-355,DET,PIT,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,26,20:14,4,0,0,
66,2022-03-30,20-358,DET,NYR,L-OT,0,2,2,1,0,0,0,0,0,0,2,0,1,0.0,27,23:44,1,0,0,
67,2022-04-01,20-360,DET,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,23:32,2,0,0,
68,2022-04-03,20-362,DET,OTT,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,30,24:16,3,0,0,
69,2022-04-05,20-364,DET,BOS,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,26,23:04,5,0,0,
70,2022-04-06,21-000,DET,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,28,23:32,2,0,0,
