,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-10-08,20-200,WPG,BOS,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,15,10:00,1,0,0,
1,2015-10-09,20-201,WPG,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:48,0,0,1,0.0
2,2015-10-12,20-204,WPG,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:55,0,0,0,
3,2015-10-13,20-205,WPG,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,9:15,0,0,0,
4,2015-10-16,20-208,WPG,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:27,0,1,1,50.0
5,2015-10-23,20-215,WPG,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:03,0,0,0,
6,2015-10-25,20-217,WPG,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:32,0,0,1,0.0
7,2015-10-29,20-221,WPG,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:08,0,0,0,
8,2015-11-01,20-224,WPG,MTL,L,0,0,0,-1,4,0,0,0,0,0,0,0,0,,17,12:53,0,0,3,0.0
9,2015-11-04,20-227,WPG,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:23,0,6,2,75.0
10,2015-11-05,20-228,WPG,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:37,0,3,1,75.0
11,2015-11-10,20-233,WPG,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:31,0,0,0,
12,2015-11-12,20-235,WPG,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,14,10:23,0,,,
13,2015-11-14,20-237,WPG,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:20,0,0,0,
14,2016-03-18,20-362,WPG,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:23,1,1,0,100.0
15,2016-03-20,20-364,WPG,ANA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:01,0,0,0,
16,2016-03-22,21-000,WPG,VAN,W,0,0,0,1,2,0,0,0,0,0,0,0,5,0.0,24,20:33,0,0,0,
17,2016-03-24,21-002,WPG,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:07,0,0,0,
18,2016-03-26,21-004,WPG,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:12,2,0,0,
19,2016-03-28,21-006,WPG,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,9:15,1,0,0,
20,2016-03-30,21-008,WPG,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,16:09,0,0,0,
21,2016-04-01,21-010,WPG,CHI,L-OT,1,0,1,0,2,1,0,0,0,0,0,0,2,50.0,17,12:54,0,0,0,
22,2016-04-03,21-012,WPG,MIN,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,15,11:15,0,0,0,
23,2016-04-05,21-014,WPG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,12:19,0,0,0,
24,2016-04-07,21-016,WPG,SJS,W,0,2,2,1,0,0,0,0,0,1,1,0,0,,18,15:52,1,1,0,100.0
25,2016-04-09,21-018,WPG,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,14:11,1,0,0,
26,2016-11-04,21-227,WPG,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,16:24,0,5,4,55.6
27,2016-11-06,21-229,WPG,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,21,18:50,1,6,4,60.0
28,2016-11-08,21-231,WPG,DAL,W,0,2,2,0,0,0,0,0,0,0,2,0,2,0.0,21,14:45,0,6,2,75.0
29,2016-11-10,21-233,WPG,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,15:30,0,3,2,60.0
30,2016-11-11,21-234,WPG,COL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:34,0,4,4,50.0
31,2016-11-13,21-236,WPG,LAK,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,23,17:58,0,4,4,50.0
32,2016-11-15,21-238,WPG,CHI,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,21,13:31,0,7,5,58.3
33,2016-11-17,21-240,WPG,PHI,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,24,17:27,0,2,7,22.2
