,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2010-03-26,21-340,ANA,EDM,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,23,13:39,0,8,6,57.1
1,2010-03-29,21-343,ANA,DAL,W,1,0,1,0,0,0,1,0,0,,,,4,25.0,17,14:34,0,5,6,45.5
2,2010-03-31,21-345,ANA,COL,W,0,0,0,-1,2,0,0,0,0,,,,0,,19,16:19,0,2,3,40.0
3,2010-04-02,21-347,ANA,VAN,L-SO,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,15:10,0,1,8,11.1
4,2010-04-03,21-348,ANA,LAK,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,17,16:06,1,2,4,33.3
5,2010-04-06,21-351,ANA,LAK,L-SO,0,0,0,1,0,0,0,0,0,,,,1,0.0,19,13:21,1,3,7,30.0
6,2010-04-08,21-353,ANA,DAL,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,16:06,1,1,7,12.5
7,2010-04-09,21-354,ANA,STL,L,0,0,0,-1,2,0,0,0,0,,,,0,,11,7:57,0,5,0,100.0
8,2010-04-11,21-356,ANA,EDM,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,19,14:48,1,7,3,70.0
9,2010-11-03,22-197,ANA,TBL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,8:16,3,1,3,25.0
10,2010-11-05,22-199,ANA,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,15,10:26,3,3,2,60.0
11,2010-11-07,22-201,ANA,NSH,W,0,0,0,-1,2,0,0,0,0,,,,0,,11,6:50,1,2,3,40.0
12,2010-11-09,22-203,ANA,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,10,6:59,0,0,3,0.0
13,2010-11-10,22-204,ANA,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,9,6:49,0,3,1,75.0
14,2010-11-12,22-206,ANA,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,6:53,1,2,3,40.0
15,2010-11-14,22-208,ANA,CHI,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,12:32,1,5,3,62.5
16,2010-11-16,22-210,ANA,DAL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,8:31,0,4,2,66.7
17,2010-11-17,22-211,ANA,MIN,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,13:05,0,1,4,20.0
18,2010-11-19,22-213,ANA,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,9:39,0,4,4,50.0
19,2010-11-21,22-215,ANA,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,10:44,0,5,2,71.4
20,2010-11-26,22-220,ANA,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,16,11:00,1,2,6,25.0
21,2010-11-27,22-221,ANA,PHX,W,0,0,0,1,2,0,0,0,0,,,,0,,15,8:25,0,4,6,40.0
22,2010-11-29,22-223,ANA,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,13,11:40,3,2,3,40.0
23,2010-12-01,22-225,ANA,FLA,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,18,12:59,0,3,5,37.5
24,2010-12-03,22-227,ANA,DET,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,15,10:10,0,4,2,66.7
25,2010-12-05,22-229,ANA,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,17,9:46,0,5,6,45.5
26,2010-12-08,22-232,ANA,VAN,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,10,8:48,1,1,5,16.7
27,2010-12-10,22-234,ANA,CGY,W,0,0,0,1,0,0,0,0,0,,,,0,,13,10:53,1,5,4,55.6
28,2010-12-12,22-236,ANA,MIN,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,21,15:58,0,3,6,33.3
29,2010-12-15,22-239,ANA,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,18,12:57,2,5,1,83.3
30,2010-12-16,22-240,ANA,NYI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,9:59,0,3,4,42.9
31,2010-12-18,22-242,ANA,CAR,L,0,0,0,0,0,0,0,0,0,,,,0,,14,8:41,0,5,7,41.7
32,2010-12-20,22-244,ANA,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,11,7:30,0,4,1,80.0
33,2010-12-31,22-255,ANA,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,7,5:54,0,0,0,
34,2011-01-02,22-257,ANA,CHI,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,14,9:35,1,2,2,50.0
35,2011-11-01,23-195,ANA,WSH,L-OT,0,0,0,-2,0,0,0,0,0,,,,2,0.0,19,11:49,0,1,1,50.0
36,2011-12-08,23-232,ANA,STL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,12:27,0,2,3,40.0
37,2011-12-17,23-241,ANA,WPG,L,0,0,0,0,0,0,0,0,0,,,,0,,17,11:29,0,5,2,71.4
38,2011-12-19,23-243,ANA,DAL,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,17,13:06,0,4,6,40.0
39,2011-12-22,23-246,ANA,LAK,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,18,16:08,1,4,8,33.3
40,2011-12-26,23-250,ANA,SJS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,19,15:41,0,3,4,42.9
41,2011-12-29,23-253,ANA,VAN,L,1,0,1,-2,0,1,0,0,0,,,,4,25.0,19,15:06,0,8,10,44.4
42,2011-12-31,23-255,ANA,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,11,7:06,1,1,4,20.0
43,2012-01-04,23-259,ANA,SJS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,13,12:29,0,6,4,60.0
44,2012-01-06,23-261,ANA,NYI,W,0,0,0,-1,0,0,0,0,0,,,,0,,11,9:52,1,1,7,12.5
45,2012-01-10,23-265,ANA,DAL,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,21,14:35,2,7,3,70.0
46,2012-01-12,23-267,ANA,CGY,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:59,0,3,4,42.9
47,2012-01-13,23-268,ANA,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,10:19,0,0,6,0.0
48,2012-01-15,23-270,ANA,VAN,W,1,0,1,2,2,1,0,0,0,,,,3,33.3,22,14:06,0,6,6,50.0
49,2012-01-18,23-273,ANA,PHX,W,0,2,2,1,0,0,0,0,0,,,,1,0.0,15,12:33,0,6,2,75.0
50,2012-01-21,23-276,ANA,OTT,W,0,0,0,-1,0,0,0,0,0,,,,0,,17,12:43,0,4,1,80.0
51,2012-01-22,23-277,ANA,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,14,11:25,0,3,6,33.3
52,2012-01-24,23-279,ANA,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,15:42,0,7,6,53.8
53,2012-01-31,23-286,ANA,PHX,W,0,2,2,3,0,0,0,0,0,,,,2,0.0,17,11:00,0,6,2,75.0
54,2012-02-01,23-287,ANA,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,13:43,0,4,4,50.0
55,2012-02-03,23-289,ANA,CBJ,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,15:51,2,7,5,58.3
56,2012-02-06,23-292,ANA,CGY,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,13:49,1,7,6,53.8
57,2012-02-08,23-294,ANA,CAR,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,19,15:24,1,7,8,46.7
58,2012-02-10,23-296,ANA,DET,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,12:04,0,4,6,40.0
59,2012-02-12,23-298,ANA,CBJ,W,0,0,0,0,0,0,0,0,0,,,,0,,16,11:50,0,2,6,25.0
60,2012-02-14,23-300,ANA,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,14,10:55,0,2,7,22.2
61,2012-02-15,23-301,ANA,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,14:41,1,2,7,22.2
62,2012-02-17,23-303,ANA,NJD,L-SO,0,1,1,0,0,0,0,0,0,,,,3,0.0,18,14:58,1,2,9,18.2
63,2012-02-19,23-305,ANA,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,15,12:35,0,4,6,40.0
64,2012-02-21,23-307,ANA,TBL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,15,10:48,0,4,5,44.4
65,2012-02-23,23-309,ANA,CAR,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,16,12:08,1,5,6,45.5
66,2012-02-26,23-312,ANA,CHI,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,18,15:02,1,3,9,25.0
67,2012-02-27,23-313,ANA,COL,L,0,0,0,-1,0,0,0,0,0,,,,0,,20,16:17,0,7,6,53.8
68,2012-02-29,23-315,ANA,BUF,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,13:28,0,4,7,36.4
69,2012-03-02,23-317,ANA,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,7:24,0,5,2,71.4
70,2012-03-03,23-318,ANA,LAK,L,0,0,0,1,2,0,0,0,0,,,,2,0.0,17,12:00,0,5,7,41.7
71,2012-03-05,23-320,ANA,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,12,9:57,0,1,6,14.3
72,2012-03-08,23-323,ANA,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,7,4:14,0,3,1,75.0
73,2012-03-14,23-329,ANA,DET,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,13:40,1,4,5,44.4
74,2012-03-16,23-331,ANA,LAK,L,0,0,0,-1,0,0,0,0,0,,,,0,,12,8:56,0,4,4,50.0
75,2012-03-18,23-333,ANA,NSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,12:35,1,5,10,33.3
76,2012-03-19,23-334,ANA,SJS,W,0,3,3,3,0,0,0,0,0,,,,2,0.0,19,13:02,0,1,5,16.7
77,2012-03-21,23-336,ANA,STL,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,17,13:06,1,0,5,0.0
78,2012-03-25,23-340,ANA,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,10:22,0,0,6,0.0
79,2012-03-28,23-343,ANA,SJS,W,0,1,1,1,0,0,0,0,0,,,,0,,16,12:00,1,4,4,50.0
80,2012-03-31,23-346,ANA,PHX,L,0,0,0,0,2,0,0,0,0,,,,4,0.0,17,14:35,0,5,1,83.3
81,2012-04-01,23-347,ANA,EDM,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,16,13:55,1,7,6,53.8
82,2012-04-03,23-349,ANA,VAN,L-SO,0,0,0,-1,0,0,0,0,0,,,,2,0.0,22,13:06,0,4,8,33.3
83,2012-04-05,23-351,ANA,EDM,W,0,1,1,1,0,0,0,0,0,,,,0,,18,13:31,0,4,4,50.0
84,2012-04-07,23-353,ANA,CGY,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,11:20,0,2,3,40.0
85,2013-01-19,24-274,ANA,VAN,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,23,14:32,0,4,9,30.8
86,2013-01-21,24-276,ANA,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,19,14:59,0,4,4,50.0
87,2013-01-25,24-280,ANA,VAN,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,20,14:06,0,2,9,18.2
88,2013-01-26,24-281,ANA,NSH,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,14:36,1,4,2,66.7
89,2013-01-29,24-284,ANA,SJS,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,18:09,0,3,4,42.9
90,2013-02-01,24-287,ANA,MIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:37,1,2,2,50.0
91,2013-02-02,24-288,ANA,LAK,W,3,1,4,1,0,2,1,0,0,,,,4,75.0,19,10:22,0,7,2,77.8
92,2013-02-04,24-290,ANA,SJS,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,13:01,0,8,4,66.7
93,2013-02-06,24-292,ANA,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,12:34,0,7,6,53.8
94,2013-02-08,24-294,ANA,DAL,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,21,13:22,0,6,4,60.0
95,2013-02-09,24-295,ANA,STL,W,0,1,1,0,0,0,0,0,0,,,,0,,22,16:31,0,10,5,66.7
96,2013-02-12,24-298,ANA,CHI,W,0,1,1,0,0,0,0,0,0,,,,0,,19,15:06,0,4,4,50.0
97,2013-02-15,24-301,ANA,DET,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,13:45,1,0,5,0.0
98,2013-02-16,24-302,ANA,NSH,W,0,0,0,-2,0,0,0,0,0,,,,0,,22,17:31,2,3,10,23.1
99,2013-02-18,24-304,ANA,CBJ,W,0,0,0,-1,0,0,0,0,0,,,,0,,21,17:41,0,7,4,63.6
100,2013-02-24,24-310,ANA,COL,W,0,0,0,0,4,0,0,0,0,,,,2,0.0,19,17:10,0,9,5,64.3
101,2013-02-25,24-311,ANA,LAK,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,17:45,2,3,8,27.3
102,2013-02-27,24-313,ANA,NSH,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,22,19:10,0,4,7,36.4
103,2013-03-01,24-315,ANA,MIN,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,14:58,0,5,4,55.6
104,2013-03-02,24-316,ANA,PHX,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,20:54,1,7,8,46.7
105,2013-03-04,24-318,ANA,PHX,L-SO,0,1,1,1,0,0,0,0,0,,,,0,,25,18:13,1,6,13,31.6
106,2013-03-06,24-320,ANA,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,20,16:38,0,5,2,71.4
107,2013-03-08,24-322,ANA,CGY,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,17:04,1,3,8,27.3
108,2013-04-21,25-001,ANA,EDM,W,0,2,2,1,0,0,0,0,0,,,,1,0.0,23,16:25,0,3,6,33.3
109,2013-04-22,25-002,ANA,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,24,19:26,0,2,4,33.3
110,2013-04-25,25-005,ANA,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,22,17:00,1,11,10,52.4
111,2013-04-27,25-007,ANA,PHX,L,0,1,1,1,0,0,0,0,0,,,,6,0.0,22,18:21,0,9,8,52.9
112,2013-10-02,25-165,ANA,COL,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,20,15:18,0,5,4,55.6
113,2013-10-05,25-168,ANA,MIN,W,1,0,1,0,2,0,1,0,0,,,,2,50.0,24,17:50,0,7,10,41.2
114,2013-10-06,25-169,ANA,WPG,W,0,0,0,0,0,0,0,0,0,,,,0,,19,14:04,0,6,1,85.7
115,2013-10-10,25-173,ANA,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,15,11:41,0,5,3,62.5
116,2013-10-13,25-176,ANA,OTT,W,1,0,1,1,0,1,0,0,0,,,,5,20.0,19,14:32,0,5,4,55.6
117,2013-10-16,25-179,ANA,CGY,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,22,12:27,1,8,5,61.5
118,2013-10-18,25-181,ANA,PHX,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,19,13:26,0,4,7,36.4
119,2013-10-20,25-183,ANA,DAL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,14:13,1,7,12,36.8
120,2013-10-22,25-185,ANA,TOR,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,18,13:32,1,6,4,60.0
121,2013-10-24,25-187,ANA,MTL,L,0,1,1,1,2,0,0,0,0,,,,0,,15,12:20,0,7,5,58.3
122,2013-10-25,25-188,ANA,OTT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,26,17:45,0,8,9,47.1
123,2013-10-27,25-190,ANA,CBJ,W,0,1,1,-2,0,0,0,0,0,,,,2,0.0,23,17:45,0,9,7,56.3
124,2013-10-29,25-192,ANA,PHI,W,0,1,1,2,2,0,0,0,0,,,,3,0.0,25,19:25,0,7,10,41.2
125,2013-10-31,25-194,ANA,BOS,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,21:17,0,12,3,80.0
126,2013-11-02,25-196,ANA,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,17:26,0,11,8,57.9
127,2013-11-04,25-198,ANA,NYR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,14:00,0,8,11,42.1
128,2013-11-06,25-200,ANA,PHX,W,0,2,2,-1,0,0,0,0,0,,,,2,0.0,22,16:22,2,10,4,71.4
129,2013-11-08,25-202,ANA,BUF,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,14:22,0,7,6,53.8
130,2013-11-10,25-204,ANA,VAN,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,23,17:25,1,7,12,36.8
131,2013-11-12,25-206,ANA,FLA,L,0,1,1,1,0,0,0,0,0,,,,0,,25,20:24,0,7,18,28.0
132,2013-11-14,25-208,ANA,TBL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,17,13:57,2,6,10,37.5
133,2013-11-15,25-209,ANA,CAR,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,18:25,1,8,8,50.0
134,2013-11-18,25-212,ANA,PIT,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,11:53,0,4,5,44.4
135,2013-11-20,25-214,ANA,NJD,L-OT,1,1,2,0,0,0,1,0,0,,,,1,100.0,19,16:02,0,14,6,70.0
