,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-11-07,27-351,CGY,NYI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,9:30,1,0,0,
1,2022-11-08,27-352,CGY,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,14:54,1,0,0,
2,2022-11-10,27-354,CGY,BOS,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,19,13:10,0,0,0,
3,2022-11-14,27-358,CGY,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:26,0,0,0,
4,2023-11-04,28-348,CGY,SEA,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,21,12:27,0,0,0,
5,2023-11-07,28-351,CGY,NSH,W,0,2,2,0,0,0,0,0,0,2,0,0,1,0.0,18,11:50,1,0,0,
6,2023-11-10,28-354,CGY,TOR,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,11:55,1,0,0,
7,2023-11-11,28-355,CGY,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:58,3,0,0,
8,2023-11-14,28-358,CGY,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:31,0,0,0,
9,2023-11-16,28-360,CGY,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:37,1,0,0,
10,2023-11-18,28-362,CGY,NYI,L-SO,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,18,12:17,0,0,0,
11,2023-11-20,28-364,CGY,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:05,1,0,0,
12,2023-12-12,29-021,CGY,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,13:48,1,0,0,
13,2023-12-14,29-023,CGY,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:37,0,0,0,
14,2023-12-16,29-025,CGY,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:56,0,0,0,
15,2023-12-18,29-027,CGY,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,12:08,0,0,0,
16,2023-12-21,29-030,CGY,ANA,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,16,10:38,0,0,0,
17,2023-12-23,29-032,CGY,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:46,0,0,0,
18,2023-12-27,29-036,CGY,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,8:42,1,0,0,
19,2024-01-04,29-044,CGY,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,12:36,2,0,0,
20,2024-01-06,29-046,CGY,PHI,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,16,11:00,0,0,0,
21,2024-01-07,29-047,CGY,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,11:12,0,0,0,
22,2024-01-09,29-049,CGY,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:16,1,0,0,
23,2024-01-11,29-051,CGY,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,13:55,1,0,0,
24,2024-01-13,29-053,CGY,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,15:27,2,0,0,
25,2024-01-16,29-056,CGY,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:49,0,0,0,
26,2024-01-18,29-058,CGY,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,8:28,0,0,0,
27,2024-03-14,29-114,NJD,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,30,24:57,4,0,0,
28,2024-03-16,29-116,NJD,ARI,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,26,16:11,1,0,0,
29,2024-03-17,29-117,NJD,VEG,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:27,1,0,0,
30,2024-03-19,29-119,NJD,PIT,W,0,0,0,3,0,0,0,0,0,0,0,0,0,,21,14:29,1,0,0,
31,2024-03-21,29-121,NJD,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,16:59,1,0,0,
32,2024-03-23,29-123,NJD,OTT,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,26,17:01,0,0,0,
33,2024-03-24,29-124,NJD,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:21,1,0,0,
34,2024-03-26,29-126,NJD,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,18:24,0,0,0,
35,2024-03-29,29-129,NJD,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,14:45,0,0,0,
36,2024-04-06,29-137,NJD,OTT,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,23,17:27,4,0,0,
37,2024-04-07,29-138,NJD,NSH,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,17:22,1,0,0,
