,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2007-10-03,19-337,OTT,TOR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,10,7:36,1,0,0,
1,2007-10-04,19-338,OTT,TOR,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,15,11:39,2,0,0,
2,2007-10-06,19-340,OTT,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,11,9:14,1,0,0,
3,2007-10-08,19-342,OTT,NJD,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,11:42,1,0,0,
4,2007-10-10,19-344,OTT,ATL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,10:49,1,0,0,
5,2007-10-11,19-345,OTT,CAR,L,0,0,0,0,0,0,0,0,0,,,,0,,11,10:04,0,1,1,50.0
6,2007-10-13,19-347,OTT,NYR,W,0,0,0,-1,2,0,0,0,0,,,,0,,13,9:16,1,0,0,
7,2007-10-18,19-352,OTT,MTL,W,1,0,1,2,0,1,0,0,0,,,,3,33.3,15,12:03,1,0,0,
8,2007-10-20,19-354,OTT,FLA,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,7,4:44,1,0,0,
9,2007-10-27,19-361,OTT,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,8,7:38,1,0,0,
10,2007-11-01,20-001,OTT,ATL,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,11,8:44,0,1,0,100.0
11,2007-11-04,20-004,OTT,BOS,W,0,0,0,0,2,0,0,0,0,,,,0,,7,4:04,2,1,2,33.3
12,2007-11-06,20-006,OTT,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,10,9:30,1,0,0,
13,2007-11-10,20-010,OTT,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,7,5:31,1,1,1,50.0
