,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2010-10-07,19-201,CHI,COL,L-OT,0,0,0,-1,0,0,0,0,0,,,,3,0.0,25,19:21,1,0,0,
1,2010-10-09,19-203,CHI,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,13,9:59,0,0,0,
2,2010-10-11,19-205,CHI,BUF,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,20,13:17,0,0,0,
3,2010-10-13,19-207,CHI,NSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,19:50,0,0,0,
4,2010-10-15,19-209,CHI,CBJ,W,0,0,0,1,0,0,0,0,0,,,,0,,18,14:23,1,0,0,
5,2010-10-16,19-210,CHI,BUF,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,11,8:46,1,0,0,
6,2011-01-07,19-293,CHI,OTT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,15:41,1,0,0,
7,2011-01-09,19-295,CHI,NYI,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,18,16:34,0,0,0,
8,2011-01-12,19-298,CHI,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,20,14:48,2,0,0,
9,2011-01-15,19-301,CHI,NSH,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,21,13:13,0,0,0,
10,2011-01-16,19-302,CHI,NSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,12:36,0,0,0,
11,2011-01-22,19-308,CHI,DET,W,0,0,0,-1,0,0,0,0,0,,,,0,,22,12:19,0,0,0,
12,2011-01-23,19-309,CHI,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,13,9:23,0,0,0,
13,2011-01-25,19-311,CHI,MIN,L,0,0,0,-1,0,0,0,0,0,,,,0,,16,13:23,0,0,0,
14,2011-02-01,19-318,CHI,CBJ,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,14,9:21,1,0,0,
15,2011-02-04,19-321,CHI,VAN,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,14,8:39,0,0,0,
16,2011-02-07,19-324,CHI,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,16,10:19,0,0,0,
17,2011-02-09,19-326,CHI,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,17:20,0,0,0,
18,2011-02-11,19-328,CHI,DAL,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,22,17:01,0,0,0,
19,2011-02-12,19-329,CHI,PHX,L-SO,0,0,0,-1,0,0,0,0,0,,,,3,0.0,22,20:41,2,0,0,
20,2011-02-16,19-333,CHI,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,19,12:08,2,0,0,
21,2011-02-18,19-335,CHI,CBJ,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,25,18:05,0,0,0,
22,2011-02-20,19-337,CHI,PIT,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,23,18:49,2,0,0,
23,2011-02-21,19-338,CHI,STL,W,0,0,0,-1,0,0,0,0,0,,,,0,,20,17:05,0,0,0,
24,2011-02-24,19-341,CHI,NSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,14:52,0,0,0,
25,2011-02-27,19-344,CHI,PHX,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,26,23:11,1,0,0,
26,2011-02-28,19-345,CHI,MIN,W,0,0,0,1,0,0,0,0,0,,,,0,,23,18:27,2,0,0,
27,2011-03-02,19-347,CHI,CGY,W,0,0,0,1,0,0,0,0,0,,,,0,,16,12:04,0,0,0,
