,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-12,20-232,CHI,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:51,1,1,4,20.0
1,2016-10-14,20-234,CHI,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,11:45,0,3,6,33.3
2,2016-10-15,20-235,CHI,NSH,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,18,12:08,2,5,6,45.5
3,2016-10-18,20-238,CHI,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:05,0,3,7,30.0
4,2016-10-21,20-241,CHI,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,14:50,0,5,5,50.0
5,2016-10-22,20-242,CHI,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,9:05,0,1,8,11.1
6,2016-10-24,20-244,CHI,CGY,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,10:32,0,2,7,22.2
7,2016-10-28,20-248,CHI,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:38,0,2,2,50.0
8,2016-10-30,20-250,CHI,LAK,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,20,13:10,0,0,0,
9,2016-11-01,20-252,CHI,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,9:32,0,1,1,50.0
10,2016-11-03,20-254,CHI,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:10,0,2,3,40.0
11,2016-11-05,20-256,CHI,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:10,1,0,4,0.0
12,2016-11-06,20-257,CHI,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,13:45,0,2,2,50.0
13,2016-11-09,20-260,CHI,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:02,0,2,3,40.0
14,2016-11-11,20-262,CHI,WSH,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,17:20,0,0,2,0.0
15,2016-11-13,20-264,CHI,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,9:49,3,2,1,66.7
16,2016-11-15,20-266,CHI,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:46,0,1,2,33.3
17,2016-11-18,20-269,CHI,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:50,1,2,8,20.0
18,2016-11-19,20-270,CHI,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,17:52,0,0,0,
19,2016-11-21,20-272,CHI,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,15:46,1,0,0,
20,2016-11-23,20-274,CHI,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:22,0,1,3,25.0
21,2016-11-25,20-276,CHI,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:33,1,1,6,14.3
22,2016-11-26,20-277,CHI,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:29,1,4,4,50.0
23,2016-11-29,20-280,CHI,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:19,0,5,8,38.5
24,2016-12-01,20-282,CHI,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,10:15,0,1,4,20.0
25,2016-12-03,20-284,CHI,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:24,1,1,3,25.0
26,2017-01-15,20-327,CHI,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:29,0,1,1,50.0
27,2017-01-17,20-329,CHI,COL,W,1,1,2,0,0,1,0,0,0,1,0,0,2,50.0,16,9:52,0,1,3,25.0
28,2017-01-20,20-332,CHI,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:12,1,0,2,0.0
29,2017-01-22,20-334,CHI,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,10:29,0,2,0,100.0
