,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2017-10-07,18-276,NJD,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,19,15:44,2,4,5,44.4
1,2017-10-09,18-278,NJD,BUF,W,0,1,1,3,0,0,0,0,0,1,0,0,1,0.0,19,14:15,0,3,5,37.5
2,2017-10-11,18-280,NJD,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,14:03,0,4,6,40.0
3,2017-10-13,18-282,NJD,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:57,0,3,4,42.9
4,2017-10-14,18-283,NJD,NYR,W,0,1,1,-1,0,0,0,0,0,0,1,0,0,,23,17:04,3,3,10,23.1
5,2017-10-17,18-286,NJD,TBL,W,0,2,2,1,0,0,0,0,0,1,1,0,2,0.0,23,18:21,0,8,4,66.7
6,2017-10-19,18-288,NJD,OTT,W,2,1,3,1,0,2,0,0,0,1,0,0,2,100.0,24,18:20,1,6,10,37.5
7,2017-10-20,18-289,NJD,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,19,17:24,0,3,6,33.3
8,2017-10-27,18-296,NJD,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,23,18:50,0,8,6,57.1
9,2017-10-28,18-297,NJD,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:30,1,8,6,57.1
10,2017-11-01,18-301,NJD,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:40,0,1,4,20.0
11,2017-11-03,18-303,NJD,EDM,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,20,13:55,0,4,7,36.4
12,2017-11-05,18-305,NJD,CGY,L-SO,0,2,2,1,0,0,0,0,0,2,0,0,5,0.0,26,19:16,0,4,10,28.6
13,2017-11-07,18-307,NJD,STL,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,26,16:30,2,5,7,41.7
14,2017-11-09,18-309,NJD,EDM,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,24,21:18,1,3,6,33.3
15,2017-11-11,18-311,NJD,FLA,W,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,21,15:38,0,1,4,20.0
16,2017-11-12,18-312,NJD,CHI,W,1,2,3,0,0,1,0,0,0,1,1,0,1,100.0,23,13:14,0,5,5,50.0
17,2017-11-16,18-316,NJD,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,15:34,0,3,3,50.0
18,2017-11-18,18-318,NJD,WPG,L,0,1,1,-1,0,0,0,0,0,1,0,0,7,0.0,18,15:07,0,0,7,0.0
19,2017-11-20,18-320,NJD,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,16:28,0,3,7,30.0
20,2017-11-22,18-322,NJD,BOS,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,19:32,2,5,1,83.3
21,2017-11-24,18-324,NJD,VAN,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,21,14:36,3,3,4,42.9
22,2017-11-25,18-325,NJD,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,23,15:33,0,2,3,40.0
23,2017-11-27,18-327,NJD,FLA,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,25,17:59,1,0,5,0.0
24,2017-12-01,18-331,NJD,COL,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,19,17:15,0,4,10,28.6
25,2017-12-02,18-332,NJD,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,15:07,1,4,4,50.0
26,2017-12-05,18-335,NJD,CBJ,W,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,16,13:28,0,2,7,22.2
27,2017-12-08,18-338,NJD,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,17:44,2,9,9,50.0
28,2017-12-09,18-339,NJD,NYR,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,22,16:08,2,1,3,25.0
29,2017-12-12,18-342,NJD,LAK,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,21,16:28,1,8,4,66.7
30,2017-12-14,18-344,NJD,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,18:17,0,2,4,33.3
31,2017-12-15,18-345,NJD,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,16:06,0,6,5,54.5
32,2017-12-18,18-348,NJD,ANA,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,25,17:01,2,5,13,27.8
33,2017-12-21,18-351,NJD,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,23,17:21,1,3,7,30.0
34,2017-12-23,18-353,NJD,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:40,0,7,8,46.7
35,2017-12-27,18-357,NJD,DET,W,2,0,2,2,6,2,0,0,1,0,0,0,3,66.7,19,16:43,1,9,6,60.0
36,2017-12-29,18-359,NJD,BUF,L-OT,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,25,17:29,0,7,6,53.8
37,2017-12-30,18-360,NJD,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,17:27,0,5,7,41.7
38,2018-01-02,18-363,NJD,STL,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,23,15:31,1,6,6,50.0
39,2018-01-04,19-000,NJD,DAL,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,22,15:25,0,4,9,30.8
40,2018-01-07,19-003,NJD,NYI,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,16:17,1,6,4,60.0
41,2018-01-13,19-009,NJD,PHI,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,21,15:52,0,3,7,30.0
42,2018-01-16,19-012,NJD,NYI,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,19,17:10,0,4,10,28.6
43,2018-01-18,19-014,NJD,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,26,19:54,2,8,8,50.0
44,2018-01-20,19-016,NJD,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,23,17:04,0,1,5,16.7
45,2018-01-22,19-018,NJD,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,16:35,0,2,6,25.0
46,2018-01-23,19-019,NJD,BOS,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,12:49,0,1,4,20.0
47,2018-01-25,19-021,NJD,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,19,16:01,2,2,3,40.0
48,2018-01-30,19-026,NJD,BUF,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,23,16:10,0,8,7,53.3
49,2018-02-01,19-028,NJD,PHI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,22,15:16,1,7,11,38.9
50,2018-02-03,19-030,NJD,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,16:08,1,3,4,42.9
51,2018-02-06,19-033,NJD,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,16:19,2,3,7,30.0
52,2018-02-08,19-035,NJD,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,15:05,1,7,11,38.9
53,2018-02-10,19-037,NJD,CBJ,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,22,16:21,1,10,8,55.6
54,2018-02-11,19-038,NJD,BOS,L,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,22,16:38,0,5,8,38.5
55,2018-02-13,19-040,NJD,PHI,W,1,1,2,3,0,1,0,0,0,1,0,0,3,33.3,27,16:25,1,12,10,54.5
56,2018-02-15,19-042,NJD,CAR,W,1,2,3,3,0,1,0,0,0,2,0,0,2,50.0,22,14:46,1,5,8,38.5
57,2018-02-17,19-044,NJD,TBL,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,26,19:21,0,11,7,61.1
58,2018-02-18,19-045,NJD,CAR,W,1,0,1,-2,0,0,1,0,0,0,0,0,1,100.0,24,16:24,0,4,9,30.8
59,2018-02-20,19-047,NJD,CBJ,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,23,16:32,0,1,7,12.5
60,2018-02-22,19-049,NJD,MIN,L,0,0,0,-3,2,0,0,0,0,0,0,0,2,0.0,24,18:23,1,5,6,45.5
61,2018-02-24,19-051,NJD,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,15:23,2,5,4,55.6
62,2018-02-27,19-054,NJD,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,15:34,4,8,8,50.0
63,2018-03-01,19-056,NJD,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,15:40,1,4,6,40.0
64,2018-03-02,19-057,NJD,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:56,0,6,6,50.0
65,2018-03-04,19-059,NJD,VEG,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,15:03,2,9,9,50.0
66,2018-03-06,19-061,NJD,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:40,2,11,5,68.8
67,2018-03-08,19-063,NJD,WPG,L,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,22,17:48,0,5,12,29.4
68,2018-03-10,19-065,NJD,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,15:53,0,6,8,42.9
69,2018-03-14,19-069,NJD,VEG,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,20,12:28,0,8,7,53.3
70,2018-03-17,19-072,NJD,LAK,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,21,15:12,0,7,6,53.8
71,2018-03-18,19-073,NJD,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,15:39,1,1,6,14.3
72,2018-03-20,19-075,NJD,SJS,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,16:51,0,9,7,56.3
73,2018-03-23,19-078,NJD,PIT,W,1,1,2,0,0,1,0,0,0,1,0,0,3,33.3,24,16:57,0,12,10,54.5
74,2018-03-24,19-079,NJD,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,21,15:19,0,6,10,37.5
75,2018-03-27,19-082,NJD,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,17:23,0,5,13,27.8
76,2018-03-29,19-084,NJD,PIT,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,26,17:02,0,9,10,47.4
77,2018-03-31,19-086,NJD,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,19:05,3,8,11,42.1
78,2018-04-01,19-087,NJD,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,21,17:41,0,4,11,26.7
79,2018-04-03,19-089,NJD,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,17:32,0,6,3,66.7
80,2018-04-05,19-091,NJD,TOR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,24,17:05,0,9,9,50.0
81,2018-04-07,19-093,NJD,WSH,L,1,0,1,0,4,1,0,0,0,0,0,0,3,33.3,20,14:43,0,5,7,41.7
82,2018-10-06,19-275,NJD,EDM,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,21,16:47,1,6,11,35.3
83,2018-10-11,19-280,NJD,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,15:52,0,8,8,50.0
84,2018-10-14,19-283,NJD,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,21,21:23,0,11,9,55.0
85,2018-10-16,19-285,NJD,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,19,20:10,0,5,11,31.3
86,2018-10-18,19-287,NJD,COL,L,1,1,2,0,0,0,1,0,0,1,0,0,3,33.3,21,18:32,0,6,5,54.5
87,2018-10-20,19-289,NJD,PHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,19,15:57,1,0,9,0.0
88,2018-10-25,19-294,NJD,NSH,L-OT,2,0,2,2,0,1,1,0,0,0,0,0,3,66.7,26,18:10,1,3,10,23.1
89,2018-10-27,19-296,NJD,FLA,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,22,17:15,0,3,10,23.1
90,2018-10-30,19-299,NJD,TBL,L,0,0,0,-4,0,0,0,0,0,0,0,0,1,0.0,27,19:42,1,5,8,38.5
91,2018-11-01,19-301,NJD,DET,L,0,2,2,-2,0,0,0,0,0,0,2,0,2,0.0,22,19:36,0,9,12,42.9
92,2018-11-03,19-303,NJD,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,19,20:52,0,5,6,45.5
93,2018-11-05,19-305,NJD,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:05,0,10,11,47.6
94,2018-11-06,19-306,NJD,OTT,L,0,2,2,2,0,0,0,0,0,2,0,0,4,0.0,23,19:01,1,11,7,61.1
95,2018-11-09,19-309,NJD,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,17:05,0,4,7,36.4
96,2018-11-11,19-311,NJD,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:05,0,3,2,60.0
97,2018-11-21,19-321,NJD,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,15:12,0,5,6,45.5
98,2018-11-23,19-323,NJD,NYI,L-OT,0,0,0,2,0,0,0,0,0,0,0,0,4,0.0,22,21:59,3,1,6,14.3
99,2018-11-25,19-325,NJD,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:11,0,6,5,54.5
100,2018-11-26,19-326,NJD,FLA,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,19:48,1,5,6,45.5
101,2018-11-30,19-330,NJD,WSH,L,1,1,2,-1,0,1,0,0,0,1,0,0,2,50.0,22,21:25,0,10,8,55.6
102,2018-12-01,19-331,NJD,WPG,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,23,20:16,1,5,14,26.3
