,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-10-30,22-173,PHI,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,5:44,4,0,0,
1,2018-11-01,22-175,PHI,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:01,2,0,0,
2,2018-11-03,22-177,PHI,SJS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:44,1,0,0,
3,2018-11-05,22-179,PHI,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:13,0,0,0,
4,2018-11-08,22-182,PHI,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,7,4:10,1,0,0,
5,2018-11-10,22-184,PHI,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:59,2,0,0,
6,2018-11-13,22-187,PHI,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:41,3,0,0,
7,2018-11-15,22-189,PHI,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:36,1,0,0,
8,2018-11-17,22-191,PHI,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,5:10,0,0,0,
9,2019-12-15,23-219,PHI,WPG,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,19,13:07,3,0,1,0.0
10,2019-12-17,23-221,PHI,ANA,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,23,14:27,2,0,0,
11,2019-12-19,23-223,PHI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,13:26,1,0,0,
12,2019-12-21,23-225,PHI,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,22,15:18,6,1,1,50.0
13,2019-12-23,23-227,PHI,NYR,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,15,7:57,0,0,0,
14,2019-12-28,23-232,PHI,SJS,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,18,10:28,4,0,0,
15,2019-12-29,23-233,PHI,ANA,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,9:26,4,0,0,
16,2019-12-31,23-235,PHI,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,12:03,0,0,0,
17,2020-01-04,23-239,PHI,ARI,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,14:14,2,0,0,
18,2020-01-07,23-242,PHI,CAR,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,23,14:59,3,0,0,
19,2020-01-08,23-243,PHI,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,14,8:24,0,0,0,
20,2020-01-11,23-246,PHI,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,11:59,3,0,0,
21,2020-01-13,23-248,PHI,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,8:45,3,0,0,
22,2020-01-15,23-250,PHI,STL,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,11:05,2,0,0,
23,2020-01-16,23-251,PHI,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,13:13,3,0,0,
24,2020-01-18,23-253,PHI,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:27,4,0,0,
25,2020-01-21,23-256,PHI,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:17,2,0,0,
26,2020-01-31,23-266,PHI,PIT,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,7:47,7,0,0,
27,2020-02-01,23-267,PHI,COL,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,14,9:05,4,0,0,
28,2020-02-03,23-269,PHI,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:20,0,0,0,
29,2020-02-06,23-272,PHI,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,11:29,1,0,0,
30,2020-02-08,23-274,PHI,WSH,W,1,1,2,2,5,1,0,0,0,1,0,0,1,100.0,16,8:11,3,0,0,
31,2020-02-10,23-276,PHI,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,8:15,2,0,0,
32,2020-02-11,23-277,PHI,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:28,2,0,0,
33,2020-02-13,23-279,PHI,FLA,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,17,12:25,0,0,0,
34,2020-02-15,23-281,PHI,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,6:33,0,0,0,
35,2020-02-18,23-284,PHI,CBJ,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,19,10:56,2,0,0,
36,2020-02-20,23-286,PHI,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,12:11,4,0,0,
37,2020-02-22,23-288,PHI,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:28,2,0,0,
38,2020-02-25,23-291,PHI,SJS,W,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,16,12:41,1,0,0,
39,2020-02-28,23-294,PHI,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,13:32,3,0,0,
40,2020-03-01,23-296,PHI,NYR,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,18,10:56,3,0,0,
41,2020-03-04,23-299,PHI,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,19,12:55,3,0,0,
42,2020-03-05,23-300,PHI,CAR,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,22,14:30,0,0,0,
43,2020-03-07,23-302,PHI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:40,0,0,0,
44,2020-03-10,23-305,PHI,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:29,3,0,0,
45,2021-01-13,24-248,PHI,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,11:09,7,0,0,
46,2021-01-15,24-250,PHI,PIT,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,18,12:17,1,0,0,
47,2021-01-18,24-253,PHI,BUF,L,1,0,1,-1,4,1,0,0,0,0,0,0,1,100.0,16,11:56,1,0,0,
48,2021-01-19,24-254,PHI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:15,5,0,0,
49,2021-01-21,24-256,PHI,BOS,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,0,,14,10:35,0,0,0,
50,2021-01-23,24-258,PHI,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:46,3,0,0,
51,2021-01-26,24-261,PHI,NJD,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:03,1,0,0,
52,2021-01-28,24-263,PHI,NJD,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,10:18,0,0,0,
53,2021-01-30,24-265,PHI,NYI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,14:46,1,0,0,
54,2021-01-31,24-266,PHI,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:21,1,0,0,
55,2021-02-03,24-269,PHI,BOS,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,0,,18,11:11,5,0,0,
56,2021-02-05,24-271,PHI,BOS,L,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,13,8:16,2,0,0,
57,2021-02-07,24-273,PHI,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,11:24,0,0,0,
58,2021-02-18,24-284,PHI,NYR,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,23,16:31,4,0,0,
59,2021-02-21,24-287,PHI,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,16:03,5,0,0,
60,2021-02-24,24-290,PHI,NYR,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,22,18:08,6,0,0,
61,2021-02-27,24-293,PHI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:03,3,0,0,
62,2021-02-28,24-294,PHI,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,12:46,0,0,0,
63,2021-03-04,24-298,PHI,PIT,W,0,2,2,1,0,0,0,0,0,2,0,0,0,,20,12:29,4,0,0,
64,2021-03-06,24-300,PHI,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:38,6,0,0,
65,2021-03-07,24-301,PHI,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:23,2,0,0,
66,2021-03-09,24-303,PHI,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:13,4,0,0,
67,2021-03-11,24-305,PHI,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,13,6:58,3,0,0,
