,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-04,20-303,VEG,SJS,W,0,0,0,0,10,0,0,0,0,0,0,0,0,,18,13:57,0,0,0,
1,2019-10-08,20-307,VEG,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,17,13:52,1,0,0,
2,2019-10-10,20-309,VEG,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:23,1,0,0,
3,2019-10-12,20-311,VEG,CGY,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,14:04,2,0,0,
4,2019-10-13,20-312,VEG,LAK,W,0,1,1,0,2,0,0,0,0,0,1,0,0,,18,12:25,0,0,0,
5,2019-10-15,20-314,VEG,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,18:10,1,0,0,
6,2019-10-17,20-316,VEG,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:24,3,0,0,
7,2019-10-27,20-326,VEG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,18:34,0,0,0,
8,2019-11-05,20-335,VEG,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:02,1,0,0,
9,2019-11-07,20-337,VEG,TOR,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,17,10:31,0,0,0,
10,2019-11-10,20-340,VEG,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:49,1,0,0,
11,2019-11-13,20-343,VEG,CHI,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,21,16:07,4,0,0,
12,2019-11-16,20-346,VEG,LAK,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,15:34,2,0,0,
13,2019-11-17,20-347,VEG,CGY,W,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,24,18:22,6,0,0,
14,2019-11-19,20-349,VEG,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,17:09,1,0,0,
15,2019-11-21,20-351,VEG,SJS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,17:51,2,0,0,
16,2019-11-23,20-353,VEG,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:41,5,0,0,
17,2019-11-25,20-355,VEG,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:43,0,0,0,
18,2019-11-27,20-357,VEG,NSH,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,24,16:10,2,0,0,
19,2019-11-29,20-359,VEG,ARI,W,0,1,1,0,2,0,0,0,0,0,1,0,1,0.0,23,16:50,2,0,0,
20,2019-12-02,20-362,VEG,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,23,17:25,3,0,0,
21,2019-12-03,20-363,VEG,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,23,20:34,1,0,0,
22,2019-12-05,21-000,VEG,NYI,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,22,19:45,0,0,0,
23,2019-12-08,21-003,VEG,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,21:32,2,0,0,
24,2019-12-10,21-005,VEG,CHI,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,22,17:38,2,0,0,
25,2019-12-17,21-012,VEG,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,16:35,2,0,0,
26,2019-12-19,21-014,VEG,VAN,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,14:42,1,0,0,
27,2019-12-22,21-017,VEG,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,16:20,0,0,0,
28,2019-12-23,21-018,VEG,COL,L,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,23,15:20,5,0,0,
29,2019-12-27,21-022,VEG,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,17:42,3,0,0,
30,2020-01-02,21-028,VEG,PHI,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,25,15:30,5,0,0,
31,2020-01-04,21-030,VEG,STL,W,0,2,2,2,2,0,0,0,0,2,0,0,6,0.0,24,16:28,1,0,0,
32,2020-01-07,21-033,VEG,PIT,L,0,1,1,0,2,0,0,0,0,1,0,0,0,,19,16:07,0,0,0,
33,2020-01-09,21-035,VEG,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,17:59,6,0,0,
34,2020-01-14,21-040,VEG,BUF,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,15:07,1,0,0,
35,2020-01-16,21-042,VEG,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,19,14:03,3,0,0,
