,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-04-21,21-138,NJD,BUF,L,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,19,15:54,2,0,0,
1,2022-04-23,21-140,NJD,CAR,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,0,,21,13:55,4,0,0,
2,2022-04-24,21-141,NJD,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:34,3,0,0,
3,2022-04-28,21-145,NJD,CAR,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,21,18:59,3,0,0,
4,2022-04-29,21-146,NJD,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:04,4,0,0,
5,2022-12-23,22-019,NJD,BOS,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,14:03,1,0,0,
6,2022-12-28,22-024,NJD,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:01,1,0,0,
7,2022-12-30,22-026,NJD,PIT,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,5:56,4,0,0,
8,2023-01-07,22-034,NJD,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:56,3,0,0,
9,2023-01-10,22-037,NJD,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:24,2,0,0,
10,2023-01-13,22-040,NJD,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,17:35,8,0,0,
11,2023-01-14,22-041,NJD,LAK,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,17,12:01,3,0,0,
12,2023-01-16,22-043,NJD,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:13,5,0,0,
13,2023-01-19,22-046,NJD,SEA,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,7:04,1,0,0,
14,2023-01-26,22-053,NJD,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:07,3,0,0,
15,2023-11-02,22-333,SJS,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,19:16,2,0,0,
16,2023-11-04,22-335,SJS,PIT,L,0,0,0,-4,0,0,0,0,0,0,0,0,1,0.0,22,15:17,9,0,0,
17,2023-11-07,22-338,SJS,PHI,W,0,0,0,0,10,0,0,0,0,0,0,0,0,,26,19:58,1,0,0,
18,2023-11-09,22-340,SJS,EDM,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,24,21:16,5,0,0,
19,2023-11-10,22-341,SJS,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,22:39,4,0,0,
20,2023-11-12,22-343,SJS,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,16:22,2,0,0,
21,2023-11-14,22-345,SJS,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,18:43,1,0,0,
22,2023-11-16,22-347,SJS,STL,W,0,2,2,3,0,0,0,0,0,2,0,0,1,0.0,21,22:40,1,0,0,
23,2023-11-20,22-351,SJS,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,19:26,1,0,0,
24,2023-11-22,22-353,SJS,SEA,L,0,1,1,0,2,0,0,0,0,1,0,0,0,,24,16:52,1,0,0,
25,2023-11-24,22-355,SJS,MTL,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,0,,23,17:10,1,0,0,
26,2023-11-27,22-358,SJS,WSH,W,0,1,1,0,2,0,0,0,0,1,0,0,2,0.0,22,15:21,3,0,0,
27,2023-11-30,22-361,SJS,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,24,17:39,4,0,0,
28,2023-12-01,22-362,SJS,NJD,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,18:51,2,0,0,
29,2023-12-03,22-364,SJS,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,16:09,1,0,0,
30,2023-12-05,23-001,SJS,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,22,18:12,5,0,0,
31,2023-12-07,23-003,SJS,DET,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,21,15:56,7,0,0,
32,2023-12-10,23-006,SJS,VEG,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,13:55,3,0,0,
33,2023-12-12,23-008,SJS,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,15:48,3,0,0,
34,2023-12-15,23-011,SJS,ARI,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,21,15:47,3,0,0,
35,2023-12-17,23-013,SJS,COL,L,0,0,0,-1,10,0,0,0,0,0,0,0,4,0.0,22,16:29,4,0,0,
36,2023-12-19,23-015,SJS,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:17,1,0,0,
37,2023-12-21,23-017,SJS,ARI,L,0,0,0,-2,2,0,0,0,0,0,0,0,0,,16,16:23,1,0,0,
38,2023-12-23,23-019,SJS,VAN,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,10:27,5,0,0,
39,2023-12-27,23-023,SJS,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:06,2,0,0,
40,2023-12-28,23-024,SJS,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,17:53,5,0,0,
41,2023-12-31,23-027,SJS,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,29,20:51,4,0,0,
42,2024-01-06,23-033,SJS,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:01,7,0,0,
43,2024-01-11,23-038,SJS,MTL,W,1,0,1,2,0,1,0,0,1,0,0,0,2,50.0,17,13:58,3,0,0,
44,2024-01-13,23-040,SJS,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,13:28,3,0,0,
45,2024-01-15,23-042,SJS,BUF,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,16:43,6,0,0,
46,2024-01-16,23-043,SJS,CHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,17:12,5,0,0,
47,2024-01-20,23-047,SJS,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,15:31,0,0,0,
