,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2020-03-07,21-353,SJS,OTT,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,11:48,0,0,0,
1,2020-03-08,21-354,SJS,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:03,2,0,0,
2,2020-03-11,21-357,SJS,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:36,2,0,0,
3,2021-01-14,22-300,SJS,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:53,2,0,0,
4,2021-01-16,22-302,SJS,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,9:49,0,0,0,
5,2021-01-18,22-304,SJS,STL,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:03,0,0,0,
6,2021-01-20,22-306,SJS,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:12,0,0,0,
7,2021-01-22,22-308,SJS,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:18,0,0,0,
8,2021-01-24,22-310,SJS,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,10:17,2,0,0,
9,2021-01-26,22-312,SJS,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,14:27,2,0,0,
10,2021-01-28,22-314,SJS,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,9:38,0,0,0,
11,2021-02-05,22-322,SJS,ANA,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,14,11:16,0,0,0,
12,2021-02-06,22-323,SJS,ANA,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,13:17,2,0,0,
13,2021-02-09,22-326,SJS,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,15,12:10,2,0,0,
14,2021-02-11,22-328,SJS,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,24,16:09,1,0,0,
15,2021-02-13,22-330,SJS,VEG,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,23,18:23,3,0,0,
16,2021-02-15,22-332,SJS,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,21:41,3,0,0,
17,2021-02-18,22-335,SJS,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,22:10,4,0,0,
18,2021-02-20,22-337,SJS,STL,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,28,21:04,1,0,0,
19,2021-02-22,22-339,SJS,MIN,L,0,0,0,-2,9,0,0,0,0,0,0,0,0,,23,16:22,0,0,0,
20,2021-02-27,22-344,SJS,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,13:17,1,0,0,
21,2021-03-01,22-346,SJS,COL,W,0,0,0,3,2,0,0,0,0,0,0,0,0,,18,13:51,0,0,0,
22,2021-03-03,22-348,SJS,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,18:18,1,0,0,
23,2021-03-05,22-350,SJS,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:34,1,0,0,
24,2021-03-06,22-351,SJS,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,18:33,1,0,0,
25,2021-03-08,22-353,SJS,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,24,19:55,1,0,0,
26,2021-03-12,22-357,SJS,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,17:38,1,0,0,
27,2021-03-13,22-358,SJS,ANA,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,16:16,2,0,0,
28,2021-03-15,22-360,SJS,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,19:19,1,0,0,
29,2021-03-17,22-362,SJS,VEG,L,0,0,0,-3,2,0,0,0,0,0,0,0,0,,27,17:12,1,0,0,
30,2021-03-19,22-364,SJS,STL,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,27,18:47,1,0,0,
31,2021-03-20,23-000,SJS,STL,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,23,18:31,2,0,0,
32,2021-03-22,23-002,SJS,LAK,W,0,1,1,1,4,0,0,0,0,1,0,0,3,0.0,25,18:12,0,0,0,
33,2021-03-24,23-004,SJS,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:31,1,0,0,
34,2021-03-26,23-006,SJS,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,24,19:02,3,0,0,
35,2021-03-27,23-007,SJS,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:27,2,0,0,
