,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-10-08,18-256,CAR,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,18:06,1,0,0,
1,2015-10-10,18-258,CAR,DET,L,0,1,1,2,0,0,0,0,0,1,0,0,4,0.0,25,17:21,2,0,0,
2,2015-10-13,18-261,CAR,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,16:05,0,0,0,
3,2015-10-16,18-264,CAR,DET,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,20,14:41,0,0,0,
4,2015-10-17,18-265,CAR,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,20:30,0,0,0,
5,2015-10-21,18-269,CAR,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,24,16:32,0,0,0,
6,2015-10-23,18-271,CAR,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,16:13,1,0,0,
7,2015-10-24,18-272,CAR,SJS,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,20,16:12,1,0,0,
8,2015-10-29,18-277,CAR,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:19,0,0,0,
9,2015-10-30,18-278,CAR,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,12:55,0,0,0,
10,2015-11-01,18-280,CAR,TBL,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,19,14:59,1,0,0,
11,2015-11-06,18-285,CAR,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,28,20:05,1,0,0,
12,2015-11-12,18-291,CAR,MIN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:02,0,0,0,
13,2015-11-14,18-293,CAR,PHI,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,20:44,1,0,0,
14,2015-11-16,18-295,CAR,ANA,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,26,19:52,1,0,0,
15,2015-11-20,18-299,CAR,TOR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,15:57,1,0,0,
16,2015-11-22,18-301,CAR,LAK,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,22,18:37,1,0,0,
17,2015-11-23,18-302,CAR,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:11,2,0,0,
18,2015-11-25,18-304,CAR,EDM,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,16:30,1,0,0,
19,2015-11-27,18-306,CAR,BUF,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,17:34,1,0,0,
20,2015-11-30,18-309,CAR,NYR,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,23,19:34,1,0,0,
21,2015-12-03,18-312,CAR,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,20:55,4,0,0,
22,2015-12-05,18-314,CAR,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,16:42,2,0,0,
23,2015-12-06,18-315,CAR,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,22,18:37,1,0,0,
24,2015-12-08,18-317,CAR,DAL,L,0,2,2,1,0,0,0,0,0,1,1,0,4,0.0,28,18:07,0,0,0,
25,2015-12-11,18-320,CAR,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,18:21,0,0,0,
26,2015-12-12,18-321,CAR,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,15:21,0,0,0,
27,2015-12-15,18-324,CAR,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:12,0,0,0,
28,2015-12-18,18-327,CAR,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,15:59,2,0,0,
29,2015-12-19,18-328,CAR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,16:24,0,0,0,
30,2015-12-21,18-330,CAR,WSH,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,19:03,0,0,0,
