,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-02-05,21-319,PIT,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:11,0,3,5,37.5
1,2016-02-06,21-320,PIT,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:11,0,2,2,50.0
2,2016-02-08,21-322,PIT,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:50,1,5,7,41.7
3,2016-02-10,21-324,PIT,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:05,1,4,2,66.7
4,2016-02-12,21-326,PIT,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:06,2,1,3,25.0
5,2016-02-15,21-329,PIT,FLA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:34,0,5,4,55.6
6,2016-02-18,21-332,PIT,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:47,2,4,6,40.0
7,2016-02-20,21-334,PIT,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,8:02,1,3,2,60.0
8,2016-02-21,21-335,PIT,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:42,0,4,5,44.4
9,2016-02-24,21-338,PIT,BOS,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,20,14:08,0,6,4,60.0
10,2016-03-19,21-362,PIT,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,5:56,3,1,2,33.3
11,2016-03-20,21-363,PIT,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:53,3,3,9,25.0
12,2016-03-31,22-008,PIT,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,10,6:38,0,2,1,66.7
13,2016-04-02,22-010,PIT,NYI,W,1,0,1,1,0,0,0,1,1,0,0,0,1,100.0,14,9:19,2,7,1,87.5
14,2016-04-03,22-011,PIT,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,8:12,2,2,7,22.2
15,2016-04-05,22-013,PIT,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,10,7:56,0,3,3,50.0
16,2016-04-07,22-015,PIT,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,7,5:13,0,2,0,100.0
17,2016-04-09,22-017,PIT,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,24,17:53,1,7,12,36.8
18,2017-03-10,22-352,PIT,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:06,4,1,3,25.0
19,2017-03-11,22-353,PIT,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,13,8:21,1,1,1,50.0
20,2017-03-13,22-355,PIT,CGY,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,6:01,0,0,1,0.0
21,2017-03-15,22-357,PIT,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:09,2,0,0,
22,2017-03-21,22-363,PIT,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:49,1,0,1,0.0
23,2017-03-23,23-000,PIT,OTT,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,9:41,1,2,5,28.6
24,2017-03-24,23-001,PIT,NYI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:36,2,2,3,40.0
25,2017-03-26,23-003,PIT,PHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,15,8:27,1,1,2,33.3
26,2017-03-29,23-006,PIT,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:31,0,0,0,
27,2017-04-09,23-017,PIT,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,16:03,1,9,12,42.9
28,2017-10-04,23-195,STL,PIT,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,15:31,0,5,10,33.3
29,2017-10-07,23-198,STL,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,10:13,1,5,6,45.5
30,2017-10-10,23-201,STL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,10:57,1,1,7,12.5
31,2017-10-12,23-203,STL,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,14:17,2,6,10,37.5
32,2017-10-14,23-205,STL,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:43,0,0,5,0.0
33,2017-10-19,23-210,STL,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,11:48,0,3,2,60.0
34,2017-10-21,23-212,STL,VEG,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,17,10:35,2,6,4,60.0
35,2017-10-25,23-216,STL,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,12:28,3,3,6,33.3
