,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-04-12,19-141,BUF,TOR,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,28,19:50,1,0,0,
1,2022-04-14,19-143,BUF,STL,L,0,1,1,-1,2,0,0,0,0,1,0,0,3,0.0,30,23:10,0,0,0,
2,2022-04-16,19-145,BUF,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,22:59,0,0,0,
3,2022-04-17,19-146,BUF,PHI,W,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,26,22:09,0,0,0,
4,2022-04-21,19-150,BUF,NJD,W,1,0,1,3,0,1,0,0,0,0,0,0,1,100.0,31,22:21,0,0,0,
5,2022-04-23,19-152,BUF,NYI,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,28,21:11,0,0,0,
6,2022-04-28,19-157,BUF,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,29,21:39,0,0,0,
7,2022-04-29,19-158,BUF,CHI,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,26,23:22,0,0,0,
8,2022-10-13,19-325,BUF,OTT,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,25,20:53,0,0,0,
9,2022-10-15,19-327,BUF,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,20:30,0,0,0,
10,2022-10-18,19-330,BUF,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,26,23:41,0,0,0,
11,2022-10-20,19-332,BUF,CGY,W,0,2,2,1,0,0,0,0,0,1,0,1,1,0.0,32,20:39,1,0,0,
12,2022-10-22,19-334,BUF,VAN,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,32,25:27,0,0,0,
13,2022-10-25,19-337,BUF,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,28,24:04,1,0,0,
14,2022-10-27,19-339,BUF,MTL,L,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,30,23:54,0,0,0,
15,2022-10-29,19-341,BUF,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,29,23:43,0,0,0,
16,2022-10-31,19-343,BUF,DET,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,27,18:06,0,0,0,
17,2022-11-02,19-345,BUF,PIT,W,0,2,2,3,0,0,0,0,0,2,0,0,4,0.0,29,23:51,1,0,0,
18,2022-11-04,19-347,BUF,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,30,24:43,0,0,0,
19,2022-11-05,19-348,BUF,TBL,L,0,2,2,1,0,0,0,0,0,1,1,0,1,0.0,33,28:14,6,0,0,
20,2022-11-08,19-351,BUF,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,28,23:15,0,0,0,
21,2022-11-10,19-353,BUF,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,31,23:29,0,0,0,
22,2022-11-12,19-355,BUF,BOS,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,35,29:35,0,0,0,
23,2022-11-15,19-358,BUF,VAN,L,0,1,1,3,0,0,0,0,0,1,0,0,1,0.0,30,26:49,0,0,0,
24,2022-11-16,19-359,BUF,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,32,25:03,0,0,0,
25,2022-11-19,19-362,BUF,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,21:34,0,0,0,
26,2022-11-22,20-000,BUF,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,19:59,0,0,0,
27,2022-11-23,20-001,BUF,STL,W,0,1,1,2,0,0,0,0,0,0,1,0,1,0.0,31,25:12,0,0,0,
28,2022-11-25,20-003,BUF,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,23:15,1,0,0,
29,2022-11-28,20-006,BUF,TBL,L-OT,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,29,22:50,0,0,0,
30,2022-11-30,20-008,BUF,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,36,26:49,0,0,0,
31,2022-12-01,20-009,BUF,COL,L,0,0,0,-1,4,0,0,0,0,0,0,0,0,,28,21:35,0,0,0,
32,2022-12-04,20-012,BUF,SJS,W,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,31,22:45,0,0,0,
33,2022-12-07,20-015,BUF,CBJ,W,0,0,0,4,2,0,0,0,0,0,0,0,1,0.0,29,23:54,0,0,0,
34,2022-12-09,20-017,BUF,PIT,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,33,24:13,0,0,0,
35,2022-12-10,20-018,BUF,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,30,26:28,3,0,0,
36,2022-12-13,20-021,BUF,LAK,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,29,20:43,1,0,0,
37,2022-12-29,20-037,BUF,DET,W,0,2,2,2,2,0,0,0,0,1,1,0,2,0.0,27,21:08,0,0,0,
38,2022-12-31,20-039,BUF,BOS,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,35,28:44,1,0,0,
39,2023-01-01,20-040,BUF,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,31,25:15,1,0,0,
40,2023-01-03,20-042,BUF,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,30,21:44,0,0,0,
41,2023-01-07,20-046,BUF,MIN,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,33,28:53,0,0,0,
42,2023-01-09,20-048,BUF,PHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,28,22:46,0,0,0,
43,2023-01-10,20-049,BUF,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,29,25:35,0,0,0,
44,2023-01-12,20-051,BUF,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,25,21:58,0,0,0,
45,2023-01-14,20-053,BUF,NSH,W,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,28,25:31,1,0,0,
46,2023-01-16,20-055,BUF,FLA,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,30,20:50,0,0,0,
47,2023-01-17,20-056,BUF,CHI,L-OT,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,27,25:14,1,0,0,
48,2023-01-19,20-058,BUF,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,21:28,0,0,0,
49,2023-01-21,20-060,BUF,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,27,21:30,0,0,0,
50,2023-01-23,20-062,BUF,DAL,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,27,22:51,0,0,0,
51,2023-01-24,20-063,BUF,STL,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,26,19:28,0,0,0,
52,2023-01-26,20-065,BUF,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,27,22:08,0,0,0,
53,2023-01-28,20-067,BUF,MIN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,28,27:56,1,0,0,
54,2023-02-01,20-071,BUF,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,28,22:45,0,0,0,
55,2023-02-11,20-081,BUF,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,29,20:57,0,0,0,
56,2023-02-13,20-083,BUF,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,22:24,0,0,0,
57,2023-02-15,20-085,BUF,ANA,W,0,0,0,2,0,0,0,0,0,0,0,0,4,0.0,26,23:05,0,0,0,
58,2023-02-18,20-088,BUF,SJS,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,29,23:45,0,0,0,
59,2023-02-21,20-091,BUF,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,31,23:51,0,0,0,
60,2023-02-23,20-093,BUF,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,28,24:31,1,0,0,
61,2023-02-24,20-094,BUF,FLA,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,28,20:23,0,0,0,
