,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-13,21-179,NYR,NYI,W,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,23,13:53,1,0,0,
1,2016-10-15,21-181,NYR,STL,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,15:50,0,0,0,
2,2016-10-28,21-194,NYR,CAR,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,21,17:40,0,0,1,0.0
3,2016-10-30,21-196,NYR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,16:54,1,0,0,
4,2016-11-01,21-198,NYR,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,15:11,0,0,0,
5,2016-11-03,21-200,NYR,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,13:16,1,0,0,
6,2016-11-05,21-202,NYR,BOS,W,1,0,1,0,0,0,1,0,0,0,0,0,5,20.0,18,12:53,0,0,0,
7,2016-11-06,21-203,NYR,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,15,13:41,0,0,0,
8,2016-11-08,21-205,NYR,VAN,L,1,2,3,0,0,1,0,0,0,1,1,0,1,100.0,18,16:03,0,0,0,
9,2016-11-12,21-209,NYR,CGY,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,15:36,0,0,0,
10,2017-01-13,21-271,NYR,TOR,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,10:43,0,1,0,100.0
11,2017-01-14,21-272,NYR,MTL,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,27,17:39,0,0,0,
12,2017-01-17,21-275,NYR,DAL,L,1,2,3,1,0,1,0,0,0,2,0,0,1,100.0,27,18:04,1,0,0,
13,2017-01-19,21-277,NYR,TOR,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,25,14:49,0,0,0,
14,2017-01-22,21-280,NYR,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,23,17:04,0,0,0,
15,2017-01-23,21-281,NYR,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,13:04,0,0,0,
16,2017-01-25,21-283,NYR,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:42,1,0,0,
17,2017-01-31,21-289,NYR,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,10:42,1,0,1,0.0
18,2017-02-02,21-291,NYR,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:10,0,0,0,
19,2017-02-05,21-294,NYR,CGY,W,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,13,8:30,1,0,1,0.0
20,2017-02-07,21-296,NYR,ANA,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,15,9:56,1,0,0,
21,2017-02-09,21-298,NYR,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:26,2,0,0,
22,2017-02-11,21-300,NYR,COL,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,14,10:33,0,0,0,
23,2017-02-13,21-302,NYR,CBJ,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,13,9:00,0,0,0,
24,2017-02-19,21-308,NYR,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,10:46,1,0,0,
25,2017-02-21,21-310,NYR,MTL,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,11:23,0,0,0,
26,2017-03-02,21-319,NYR,BOS,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,22,15:13,0,0,0,
27,2017-03-04,21-321,NYR,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,14:19,0,0,0,
28,2017-03-06,21-323,NYR,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,13:04,0,0,0,
29,2017-03-07,21-324,NYR,FLA,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,21,14:53,1,0,0,
30,2017-03-09,21-326,NYR,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:35,0,0,0,
