,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-12,20-351,VEG,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,4:07,0,0,0,
1,2022-04-01,21-157,VEG,SEA,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16,8:53,0,0,0,
2,2022-12-23,22-058,VEG,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:14,0,0,0,
3,2022-12-27,22-062,VEG,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:42,0,0,0,
4,2022-12-28,22-063,VEG,ANA,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,16,12:12,0,0,0,
5,2023-03-12,22-137,VEG,STL,W,1,1,2,2,0,1,0,0,1,1,0,0,4,25.0,17,13:21,0,0,0,
6,2023-03-14,22-139,VEG,PHI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,15,11:58,0,0,0,
7,2023-03-16,22-141,VEG,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,16:37,0,0,0,
8,2023-03-19,22-144,VEG,CBJ,W,1,1,2,-1,0,0,1,0,1,0,1,0,2,50.0,17,14:32,2,0,0,
9,2023-03-21,22-146,VEG,VAN,W,1,0,1,2,2,1,0,0,1,0,0,0,3,33.3,18,13:37,0,0,0,
10,2023-03-23,22-148,VEG,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,15:09,0,0,0,
11,2023-03-25,22-150,VEG,EDM,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,19,13:51,1,0,0,
12,2023-03-28,22-153,VEG,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,15:17,0,0,0,
13,2023-03-30,22-155,VEG,SJS,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,12:02,0,0,0,
14,2023-04-03,22-159,VEG,MIN,W,2,0,2,2,0,2,0,0,0,0,0,0,2,100.0,22,16:10,0,0,1,0.0
15,2023-04-04,22-160,VEG,NSH,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,14:17,0,0,0,
16,2023-04-06,22-162,VEG,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:27,0,0,0,
17,2023-04-08,22-164,VEG,DAL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,23,16:46,0,0,0,
18,2023-04-11,22-167,VEG,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:44,0,0,0,
19,2023-04-13,22-169,VEG,SEA,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,15:13,0,0,0,
20,2023-10-12,22-351,VEG,SJS,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,18,12:35,0,0,0,
21,2023-10-14,22-353,VEG,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,11:51,1,0,0,
22,2023-10-27,23-001,VEG,CHI,L-OT,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,19,16:39,0,0,0,
23,2023-10-28,23-002,VEG,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,16,11:44,1,0,0,
24,2023-10-30,23-004,VEG,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,13:07,2,0,0,
25,2023-11-02,23-007,VEG,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,12:50,0,0,0,
26,2023-11-04,23-009,VEG,COL,W,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,15,12:06,0,0,0,
27,2023-11-05,23-010,VEG,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,17,15:25,0,0,0,
28,2023-11-08,23-013,VEG,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,12:05,0,0,0,
29,2023-11-10,23-015,VEG,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,14,12:12,0,0,0,
30,2023-11-14,23-019,VEG,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:54,0,0,0,
31,2023-11-16,23-021,VEG,MTL,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,13,10:38,0,0,0,
32,2023-12-09,23-044,VEG,DAL,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,14,14:29,0,0,0,
33,2023-12-19,23-054,VEG,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,14:18,0,0,0,
34,2023-12-21,23-056,VEG,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,11:12,1,0,0,
35,2023-12-23,23-058,VEG,FLA,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,17,14:49,0,0,0,
36,2023-12-27,23-062,VEG,ANA,L,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,15,11:30,0,0,0,
37,2023-12-28,23-063,VEG,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,11:32,0,0,0,
38,2024-01-04,23-070,VEG,FLA,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,18,13:56,2,0,1,0.0
39,2024-01-06,23-072,VEG,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,12:23,2,1,0,100.0
40,2024-01-10,23-076,VEG,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:02,0,0,0,
41,2024-01-11,23-077,VEG,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:31,0,0,0,
42,2024-01-13,23-079,VEG,CGY,L,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,21,16:25,1,0,0,
43,2024-01-15,23-081,VEG,NSH,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,17,13:29,0,0,0,
44,2024-01-18,23-084,VEG,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,12:59,0,0,0,
45,2024-01-20,23-086,VEG,PIT,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,20,16:03,1,1,1,50.0
46,2024-01-22,23-088,VEG,NJD,L-OT,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,19,12:30,0,0,0,
