,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2022-10-12,22-309,ANA,SEA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:16,0,0,0,
1,2022-10-15,22-312,ANA,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,11:10,2,0,1,0.0
2,2022-10-17,22-314,ANA,NYR,L,0,2,2,2,0,0,0,0,0,2,0,0,0,,13,11:03,0,1,0,100.0
3,2022-10-20,22-317,ANA,BOS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:53,1,0,0,
4,2022-10-23,22-320,ANA,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,10:52,0,0,0,
5,2022-11-09,22-337,ANA,MIN,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,12,8:56,0,0,0,
6,2022-11-12,22-340,ANA,CHI,L,0,0,0,-1,4,0,0,0,0,0,0,0,5,0.0,21,15:58,2,0,0,
7,2022-11-15,22-343,ANA,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:22,1,0,0,
8,2022-11-17,22-345,ANA,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:22,0,0,0,
9,2022-11-19,22-347,ANA,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:59,0,0,0,
10,2022-11-23,22-351,ANA,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,3:42,0,0,0,
11,2022-11-25,22-353,ANA,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,9:50,0,0,0,
12,2022-12-03,22-361,ANA,MIN,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,9:57,2,0,0,
13,2022-12-04,22-362,ANA,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,6:15,0,0,0,
14,2024-03-06,24-090,ANA,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:15,1,1,0,100.0
15,2024-03-12,24-096,ANA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:03,2,0,3,0.0
16,2024-03-14,24-098,ANA,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,11:52,3,0,0,
17,2024-03-15,24-099,ANA,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,11:59,2,0,0,
18,2024-03-17,24-101,ANA,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:40,3,0,2,0.0
