,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-15,21-095,CHI,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,13:51,0,0,0,
1,2021-01-17,21-097,CHI,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,13:33,1,0,0,
2,2021-01-19,21-099,CHI,FLA,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,15,10:48,0,0,0,
3,2021-01-22,21-102,CHI,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,10:30,0,0,0,
4,2021-01-24,21-104,CHI,DET,W,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,17,12:15,1,0,0,
5,2021-01-26,21-106,CHI,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:48,0,0,0,
6,2021-01-27,21-107,CHI,NSH,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,13:59,0,0,0,
7,2021-01-29,21-109,CHI,CBJ,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,11:41,0,1,1,50.0
8,2021-01-31,21-111,CHI,CBJ,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,16,14:03,0,6,4,60.0
9,2021-02-02,21-113,CHI,CAR,L-SO,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,20,16:50,1,5,8,38.5
10,2021-02-04,21-115,CHI,CAR,W,0,1,1,-2,0,0,0,0,0,0,1,0,2,0.0,13,6:56,1,0,2,0.0
11,2021-02-07,21-118,CHI,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:10,0,3,2,60.0
12,2021-02-09,21-120,CHI,DAL,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,17,12:41,0,0,0,
13,2021-02-11,21-122,CHI,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,11:42,1,0,0,
14,2021-02-13,21-124,CHI,CBJ,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,19,15:27,0,1,1,50.0
15,2021-02-15,21-126,CHI,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,14:45,0,1,0,100.0
16,2021-02-17,21-128,CHI,DET,W,1,0,1,0,0,0,1,0,1,0,0,0,2,50.0,16,10:07,0,1,1,50.0
17,2021-02-19,21-130,CHI,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,12:44,1,0,1,0.0
18,2021-02-23,21-134,CHI,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:20,0,1,0,100.0
19,2021-02-25,21-136,CHI,CBJ,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,14:22,0,2,7,22.2
20,2021-02-27,21-138,CHI,DET,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,14:33,0,1,0,100.0
21,2021-02-28,21-139,CHI,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,14:51,0,1,1,50.0
22,2021-03-04,21-143,CHI,TBL,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,20,16:42,0,0,2,0.0
